Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"Sri Ram Hospital, Shimla",18-D Sec-1 New Shimla,Unknown,Unknown,Unknown,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0841412,77.1706344
Indus Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0965206,77.1865105
Tenzin Hospital,Main Bye-Pass RoadPanthaghati (KH-22) Near Shiv MandirKasumpti,Unknown,Unknown,171009,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,https://tenzinhospital.com/,Unknown,31.0728641,77.1815652
"Civil Hospital, Junga","MDR 13, Near GSSS, Junga",Unknown,Unknown,Unknown,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0229142,77.1871684
Vijay Clinic,Khalini Chowk,Unknown,Unknown,Unknown,Himachal Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,31.0894911,77.1701038
"Neuro Centre, Shimla","Keyonthal Complex, Khalini",Unknown,Unknown,Unknown,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0900412,77.1711244
Regional Ayurvedic Hospital,Chotta Shimla Kasumpti Road,Unknown,Unknown,171002,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0844951,77.1813677
Bhartiya Chikitsa And Homeopethic Department,Shimla,Unknown,Unknown,171001,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0784226,77.1817084
Shoghi CHC,Shoghi,Unknown,Unknown,173219,Himachal Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,31.040515,77.1208459
Vikas Nagar PHC,Vikas Nagar,Unknown,Unknown,171009,Himachal Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,31.0814645,77.1795281
Lady Readings Hospital,Milsington Estate,Unknown,Unknown,171009,Himachal Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.0963776,77.1749767
Health Care Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,31.0998149,77.1397524
Lakhan Pal Medical Store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,31.0997858,77.1397981
