Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Krishna Mai Nursing Home and Navjeevan Test-Tube Baby Centre,"Killa Baag Morarji Peth,Solapur",Unknown,Unknown,413001,Maharashtra,Unknown,clinic,clinic,Unknown,Unknown,Unknown,17.6739047,75.9005915
Bhaveshwar Hospital,"207, Raviwar Peth, Rajendra Chowk",Unknown,Unknown,413401,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.6773768,75.9178265
"Chitale Clinic Private Limited, Solapur","Chitale Clinic, 165, D, Railway Lines",Unknown,Unknown,413001,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,17.6608527,75.9062442
Sambharam Nursing Home - Solapur,"1526, Daji Peth, Near Balaji Mandir",Unknown,Unknown,413005,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,17.6705172,75.9160638
Ashwini Sahakari Rugnaylay,North Sadar Bazar North Sadar Bazar,Unknown,Unknown,413003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.6608502,75.9082223
Utkarsh Hospital,"No. 1640, Civil Lines, Near Sat Rasta Off Lead V.D Kirpeker Road",Unknown,Unknown,413007,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.6570957,75.9065258
Kadadi Hospital,North,Unknown,Unknown,413002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.6820377,75.9058888
Raghvendra Hospital,"5, Maji Sainik Nagar Vijapur Road",Unknown,Unknown,413004,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.6455384,75.9002662
Dr. Nitin Rathi Hospital - Solapur,"647,P Mangalwar Peth Tilak Chowk",Unknown,Unknown,413002,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.6799186,75.9075186
Sunrise Hospital,Railway Lines Near Old Rto Office,Unknown,Unknown,413001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.6647023,75.9004272
