Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"Rama Hospital, Sonipat","Bahalgarh, Road , Bahalgarh, Near -Nh-1",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9634997,77.0876889
"Kalawati Hospital, Sonipat","Near Mission Chowk, Tika Ram Road",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9921155,77.0347635
Aarogyadham Charitable Eye Hospital,"Opp. Atlas Mandir, Atlas Road",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9777441,77.0231456
"Navjeevan Hospital, Sonipat",Near Kalupur Chungi,Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9777681,77.0126434
Vardhman General Hospital,"145-46, T.P. Scheme No. 15, Delhi Road, Near Civil Hospital",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9946005,77.0268074
Sarita Jain Hospital,"OppositeD.C. Jain High School,Near Sec - 23,Malhana Road",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9946272,77.0049938
"Gupta Nursing Home, Sonipat","Opp, Sector-14",Unknown,Unknown,131001,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9920401,77.0345368
Janta Charitable Hospital,"Near Sonipat Cooperative Bank, Dev Nagar",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9883968,77.0152077
Memorial Hospital,Delhi Road,Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9945198,77.0247543
Haryana Multispeciality Hospital - Sonipat,Opposite Bus Stand,Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9287017,77.0915492
Haryana Multispeciality Hospital - Sonipat,Opposite Bus Stand,Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9913263,77.0326418
"Dua Nursing Home, Sonipat","Hem Nagar, Delhi Road",Unknown,Unknown,131001,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9947395,77.0277965
Raj Child Health Care and Immunization Centre,1007 Sector 14,Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.998655,77.0304943
Dahiya Hospital,Old D.C. Road,Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9785312,77.0291449
"Patil Nursing Home, Sonipat",Adarsh Nagar,Unknown,Unknown,131001,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9969621,77.0279928
"Mittal Nursing Home, Sonipat",Model Town,Unknown,Unknown,131001,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9884475,77.0233335
Chauhan Hospital,"Kath Mandi, Rohtak Road",Unknown,Unknown,131001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9842252,77.0149903
