Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"Sub Health Center, Hazratbal",Hazaratbal,Unknown,Unknown,Unknown,Jammu and Kashmir,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.1310494,74.8425264
"Sub-Centre ,Shahanpora",Batapora,Unknown,Unknown,Unknown,Jammu and Kashmir,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.1511532,74.8515795
"Sub-Centre ,Syed Pora",Syed Pora,Unknown,Unknown,Unknown,Jammu and Kashmir,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.1744656,74.8926495
Handoo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,34.1521832,74.807488
Dr. Reshi's Kidney Care & Diagnostic Centre,"Syed Colony, Habak Naseem Bagh, Srinagar",Unknown,Unknown,190006,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.1438446,74.8382978
Unani Hospital,"Dargah Road, Nasim Bagh, Srinagar",Unknown,Unknown,190006,Jammu & Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,34.140298,74.838097
Urban Health Centre,"Khaja Bagh Colony, Zakura, Srinagar",Unknown,Unknown,190006,Jammu & Kashmir,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.1640025,74.8290109
Leprosy Hospital,"Lal Bazar, Srinagar",Unknown,Unknown,190006,Jammu & Kashmir,Unknown,hospital,hospital,Unknown,Unknown,Unknown,34.1153904,74.8273085
Ortho Plus Physiotherapy and Sports Injury Clinic,"Ganderbal Road, Soura, Srinagar",Unknown,Unknown,190011,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.1389192,74.8020021
Primary Health Centre,"Hazaratbal, Srinagar",Unknown,Unknown,190006,Jammu & Kashmir,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.1232573,74.8396705
Unani & Ayurvedic Clinic,"Alamgari Bazar, Srinagar",Unknown,Unknown,190011,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.1164045,74.8061904
Wasi Diagnostic Centre,"Baghwanpora, Srinagar",Unknown,Unknown,190023,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.1227646,74.8177573
Dr. Mir Nisar Ahmad's Clinic,"Alamgari Bazar, Hawal, Srinagar",Unknown,Unknown,190011,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.1132997,74.8079283
Departments of Community Medicines and Obstetrics/Gyanaecology Maternity Hospital Soura,"Soura, Srinagar",Unknown,Unknown,190011,Jammu & Kashmir,Unknown,hospital,hospital,Unknown,Unknown,Unknown,34.1394307,74.8023864
Psychiatric Hospital,"Khash Khash Bagh Road, Botaraj Colony, Srinagar",Unknown,Unknown,190003,Jammu & Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,34.10818,74.821428
Safa Marwah Hospital,"Upper Soura, Buchpora, Srinagar",90ft Road,Unknown,190020,Jammu & Kashmir,Unknown,hospital,hospital,Unknown,Unknown,Unknown,34.1437202,74.8089313
Dr. Nazir Sheikh Clinic,"Baghe Ali Mardan Khan, Srinagar",Unknown,Unknown,190011,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.122168,74.814351
Primary Helath Centre,"Zadibal, Srinagar",Unknown,Unknown,190002,Jammu & Kashmir,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.1135712,74.8065533
Govt. Urban Primary Health Centre LalBazaar,"Aram Pora Butakadal, Lal Bazar, Srinagar",Omer Colony Lane,Lalbazar,190023,Jammu & Kashmir,Unknown,Unknown,primary,Unknown,Unknown,Unknown,34.1252024,74.8160026
X ray clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,34.1519522,74.8022808
Physio 2 Fitness,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,physiotherapist,Unknown,Unknown,Unknown,34.1006736,74.8097208
Gulswarm Childrens Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,34.1077348,74.809285
Ain Posh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,34.1104727,74.8092014
