Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Aastha Heap Knee and Shoulder clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,21.1786781,72.8111114
Smt. R. B. Shah Mahavir Super Speciality Hospital / Shri Bachubhai Dahyabhai Mehta Mahavir Heart Institute,"At. Shree Mahavir Health Campus, Opposite Jeevan Bharti School",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1841759,72.8139384
MGG Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9495767,72.9179054
Maroli CHC,"Near Geb, Maroli, Chinam Road",Unknown,Unknown,396436,Gujarat,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.0204651,72.8875729
Tender Touch Childrens Hospital and Neonatal Unit,"2nd Floor , Ornate House ,Athwa Gate , Ring Road",Unknown,Unknown,395007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1851558,72.8122222
Verma Children Hospital,"Saibaba Nagar, Pandesara",Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1524368,72.8325668
Khushabu Hospital,"Jivan-Jyot Cinema, udhna road",Unknown,Unknown,394210,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.174891,72.8365264
"Urmil Heart and Lung Centre, Surat","4/735-Mali Falia, Allaya Wadi",Unknown,Unknown,395003,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1989466,72.8324602
"Khushi Hospital, Surat","Sri Sai Complex, Near Neelam Hotel, Kadodara Char Rasta, Kadodara",Unknown,Unknown,394315,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1659511,72.9623455
Burhani Hospital,"4/4740, Taiyebi Mohalla, Opposite Mahindharpura Police Station",Unknown,Unknown,395003,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1980588,72.834449
Asutosh Hospital,"Beside Kshetrapal Mandir, Rajeshree Hall Road, Majura Gate",Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1851177,72.820981
Jyoti Medical Hospital,"Hirachand Nagar, Opposite Sai Darshan Appartment, Station Road, Bardoli",Unknown,Unknown,394601,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1317249,73.1081235
The R. F. Daboo Parsi General Hospital,"Daboo Circle, Station Road",Unknown,Unknown,396445,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9529184,72.9219058
"Eye-Q Super Speciality Eye Hospitals, Udhana","2nd Floor, SNS House, Udhana Teen Rasta, Opposite Silicon Shoppers, Udhana Main Road, Udhana",Unknown,Unknown,394210,Gujarat,Unknown,hospital,Unknown,Unknown,https://eyeqindia.com/,Unknown,21.1724073,72.8397625
Apple Hospital,"Udhana Darwaja, Ring Road, Near Old Rajkumar Theatre",Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1829991,72.8315758
Shreyash Hospital,"Swaminarayan Complex, OppositeMajuragate Ring Road",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1810242,72.8187789
Yesha Super Speciality Hospital,"Near Railway Station, Near Arunodoy Hotel",Unknown,Unknown,396445,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9489707,72.9149213
Happy and Healthy Hospital,"B/141.1st Floor, Shankheshwar Complex, Opposite Raymonds Show Room, Kailasnagar",Unknown,Unknown,395003,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1851508,72.8207731
Rotary Eye Institute,"Smt. Lilavatiben Mohanlal Shah Eye Hospital, Dudhia Talao",Unknown,Unknown,396445,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9484954,72.9285436
Ashish Eye Hospital,Rustampura,Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1861924,72.8333232
Sharda Hospital And Research Centre,"Beside Kailasnagar Jain Derasar,Majuragate -Shankhuar Road",Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.183799,72.8193831
Girish Group Of Hospital,"Shankeshwar Complex, Majuragate",Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1853503,72.8199981
Arpan Public Charitable Trust,"2nd Floor, Kinara Apartment, Makkai Pool, Nanpura",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1925984,72.8155784
Dr. Kapse Children Hospital,"Akshar Complex, 1st Floor, Near Kwality Hotel, Makkaipool",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1931398,72.8165607
Raijiwala Eye Hospital,"First Flr, Firoz Chambers Behind Lalgate Police Chwki Knad Bazar",Unknown,Unknown,395003,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1991229,72.8257647
Kalp Medical Hospital,"14-Jay Jalaram Nagar-1, Dumbhal Road, Near Parvat Patiya",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1889822,72.8616989
Anand Hospital - Surat,"1/568-B, Por Mohallo. Opp State Bank Of India Timaliyawad, Nanpura",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.187808,72.8131147
D N Mehta Sarvajanik Hospital,J. N. Tata Road Lunsikui Lunsikui,Unknown,Unknown,396445,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9430815,72.9369718
Bhadra Memorial Eye Institute,"5, Kalpna Society, Adajan Road",Unknown,Unknown,395009,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1966785,72.8049485
Pals Hospital,"30, Vardhaman Complex, Opposite Uma Bhavan, Bavan",Unknown,Unknown,395003,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1678183,72.8141548
Ramaben Hospital,Rustomwadi Road,Unknown,Unknown,396445,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9539729,72.9230243
"Shruti Ear, Nose and Throat Hospital","Hiral, Opposite Sub. Jail, Ring Road",Unknown,Unknown,395002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1816703,72.8253034
Naaz Maternity and Gynaec Hospital,"37-1 Ankur Society,B/H Cbi , Panchbatti",Unknown,Unknown,392009,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1949379,72.8007317
Me And Mummy Hospital and Ivf and Endoscopy Centre,"3Road Floor, Jalnidhi, Oppl Bahumali Building, Nanpura",Unknown,Unknown,395001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.189091,72.8109308
Shree Sardar Smarak Hospital (Trust Hospital),"Sardar Bag, Bardoli",Unknown,Unknown,394601,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.1304964,73.108094
Pathik Children Hospital,"Virali Complex, Opp Jivan Jyot Cinema, Udhna Main Road",Unknown,Unknown,394210,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.173968,72.8376006
