Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Arcadia Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.2536627,72.9820759
Padmashree Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2122524,73.0918952
Bethany Hospital,"Lok Upvan Phase-Ii, Smt. Glady S Alvares Marg, Off Pokhran Road No-Ii",Unknown,Unknown,400610,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.2198203,72.9618661
Wellness Forever 24Hrs open,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.2256126,72.9703156
Saidhanhospital Iccu and Eye Care,"Vidhataapartments, Groundfloor, Mulund(E)",V B Phadke Marg,Mulund (East),400081,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1682476,72.9612909
"Chandraganga Hospital, Mulund","Chandraganga Apartments, V.B.Phadke Marg, Near Subway,Mulund (East)",Unknown,Mulund (East),400081,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1760293,72.9618357
Ambaji Medical Store,Unknown,Lokmanya Tilak Road,Mulund (East),Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1701579,72.9590168
Jupiter Scan Centre,Unknown,Purushottam Kheraj Road,Mulund(West),Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.172135,72.9474337
The Origin International Fertility Centre,The Origin Centre OppositeHiranandani Meadows Off Pokhran Raod No-2 Thane(W),Unknown,Thane,400610,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.227965,72.9694447
Dr.Mukhi's Raj Hospital,"109/1 Saraswati Sadan, Chs, Devi Dayal Road, Opposite Jalaram Ashish, Near T Ward Office, Mulund West",Unknown,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,http://www.drmukhirajhospital.com/,Unknown,19.1760945,72.9490036
Unknown,Unknown,Sane Guruji Rd,Unknown,400601,Unknown,Unknown,pharmacy,Unknown,9757432665,Unknown,Mo-Su 08:30-23:00,19.1871605,72.9718898
Ashwini Hospital and I. C. C. U. with Dialysis Centre,"P. K. Road, (Annexe), Lalan Building, 1st Floor Mulund (W)",Unknown,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1753107,72.9514943
Chiranjeevi Hospital,Unknown,Almeda Road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1979406,72.9681922
Wellness Forever ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1990805,72.9644017
Currae Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,https://www.currae.com/,Unknown,19.25583,72.971723
Dhanwantri Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2734457,72.9621847
"Aayush Hospital, Thane","Bldg No. E-2, 2nd & 3Road Floor, Radha Nagarshopping Complex, Radha Nagar, Opposite Radha Nagar Police Chowki, Khadakpada, Kalyan (West)","Marigold Apt. , Panchpakhdi, Opp Nitin co & Honda showroom,",Thane (West),421301,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.1984892,72.9657017
Unknown,Unknown,Road no 33,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2001317,72.9627237
Upasani Maternity and Surgical Nursing Home,"Rashman Apartments ,Sevaram Lalwani Road,Mulund ( West )",Sewaram Lalwani Road,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1732429,72.9547642
Highway Hospital,"Dev Ashish Chs, Maruthon Circle, E. E. Highway, Near Highway Darshan",Eastern Express Highway,Unknown,400604,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1894902,72.9630092
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2070682,72.9505093
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.2069089,72.9524408
