Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Balaji Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7863162,78.7755974
Murugan Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7858149,78.7761253
Cauvery Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7859381,78.775466
Ganesh physiotherapy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,physiotherapist,Unknown,Unknown,Unknown,10.7852501,78.7753002
Jeni Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,10.7859143,78.7754572
R.P.M. Kanaga Dentist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,10.7859131,78.7755904
Sujatha Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7858863,78.77558
Vasan Medical Hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7850797,78.7754792
LG Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7980349,78.7521043
Alvin Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7993396,78.7496107
Main Hospital,Unknown,Unknown,Trichy,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7789063,78.7974406
MedPlus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7984701,78.7518781
central Government railway Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,10.7857499,78.7251483
Krishna Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7987855,78.7517146
Chintamani medical branch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,10.7742952,78.7967951
"Vasan Eye Care Hospital, Kuttur","No. 77/4-B Vignes Nagar, Kuttur I",Unknown,Unknown,620019,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7990396,78.7492651
Nalam Hospital,"Plot No. 5/5, Highways Colony",Unknown,Unknown,620020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7834523,78.703182
Thilagavathy Hospital,"#12, Wireless Road,Airport ,Kamaraj Nagar",Unknown,Unknown,620007,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,10.7589696,78.7045486
"PHC, Navalpattu","Navalpet Burma Colony, Navalpattu",Unknown,Unknown,620016,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,10.73942,78.780613
"PHC, Kilakurichy","Near Post Office Kilakurichy, Nathamadipatti, Kilakurichy",Unknown,Unknown,620007,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,10.7636217,78.7356857
M.K.Kottai Dispensary UPHC,"Goldenrock Railway Workshop, Melakalkandarkottai, Kamaraj Road",Unknown,Unknown,620011,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,10.7828421,78.7394996
Thiruverambur PHC,"Thiruverumbur Road, Trichy, Gandhi Street",Unknown,Unknown,620013,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,10.7908192,78.7760056
Physiotherapy Clinic,Kattur,Unknown,Unknown,620019,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.7977816,78.7539946
Akshaya Hospital,"Sundarraj Nagar, Subramaniyapuram",Unknown,Unknown,620020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7834183,78.7008469
Rajappa Clinic,Unknown,Unknown,Unknown,620011,Tamil Nadu,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,10.786262,78.739017
ESI Dispensary,Maruthi Nagar,Unknown,Unknown,620007,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,10.7168196,78.7231098
Dr. Nagadeepan Hospital,Trichy,Unknown,Unknown,622515,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,10.710523,78.7253872
Velan Speciality Hospitals,Subramaniyapuram,Unknown,Unknown,620020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7822224,78.7016182
