Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Agarwal Eye Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7249013,77.7219613
Kartheek Nursing Home,"37,S T C Collage Road ,Perumalpuram",Unknown,Unknown,627007,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,8.7041101,77.7386166
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,8.7310565,77.7100358
Santhosh Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7622984,77.7096196
Vekateshwara Hospitals,#7D High Ground St Thomas Road,Unknown,Unknown,627011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7103302,77.7517073
"Vasan Eye Care Hospital, Tirunelveli","341/2, North Bye Pass Road, Vannarpettai",Unknown,Unknown,627003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7331477,77.7220957
"Dr Agarwal's Eye Hospital, Vannarpet","Land Mark Towers, 10/1/15,South Bye Pass Road, Opp:To Bsnl,Vannarpet",Unknown,Unknown,627003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.726199,77.7220716
Galaxy Hospitals,"110E/20/1, North By-Pass Road Vannarpet",Unknown,Unknown,627003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7336063,77.7231109
Dr Agnes' Joseph Hospital,"R5, Chatram St, Murugankurichi",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7249749,77.7309939
Dr. Nambiyappan Hospitals,"10-B/1H/4, T.V.M Road, Vannarpettai ( Behind Iskcon Temple)",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7282285,77.7232289
"A.J. Hospital, Tirunelveli","Trivandrum Road, Palayamkotta",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7195843,77.7321111
Subramaniam Nursing Home (Kidney Centre),Madurai Road,Unknown,Unknown,627001,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,8.736445,77.7118262
Sabeena Hospital,"50-Ab/5, Ambai Road , Kulavanigarpuram",Unknown,Unknown,627001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.706572,77.7257247
Csi Jayaraj Annapackiam Mission Hospital,"1-D/2,North Highground Road,Diocesan Office Campus,Palayamkootai",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7188725,77.7363248
Ranjeetham Nursing Home,"729-C, North 6Th Street, Thiyagarajanagar",Unknown,Unknown,627011,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,8.7000411,77.7554175
Sugham Health Centre,"#17 E, Perumal South Car Street,Near Pvt Theatre",Unknown,Unknown,627001,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,8.7250776,77.7085827
Annai Velankani Nursing Home,"Post Box No. 107, Murugankurichi Palayamkottal",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,clinic,04622501663,https://avhospitals.co.in/,24/7,8.7271323,77.7302402
Angel Heart Centre,"Eden,10/1,Main Road, Shanthinagar, Opposite Manikoondu",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7312177,77.7478744
Madhubala Hospital,"122 , Kamarajpur Road ,Anbu Nagar",Unknown,Unknown,627011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.707401,77.7484581
C S I Bellpins Indrani Chelladurai Mission Hospital,"Tiruchendur Road, Palayamkottai",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.727172,77.7479777
Tirunelveli Medical College and Hospital,"Tirunelveli Medical College Hospital, Near District Collector Camp Office",Unknown,Unknown,627008,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7119289,77.7507403
Raaja Hospital,"21, Svk Chekkad St, Pettai",Unknown,Unknown,627004,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7280124,77.7222513
Devi Hospital,District Science Centre Road Kokkirakulam,Unknown,Unknown,627004,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7250836,77.7179718
"Sms Hospital, Tirunelveli","No.28, Sivan North Car Street, Palayamkottsi",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.72501,77.7384652
"Krishna Hospital, Tirunelveli",No 4 North High Ground Road Palayamkottai Palayamkottai,Unknown,Unknown,627007,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7269984,77.7348013
"Sankar Hospital, Tirunelveli","24/49-B, V.K.Road",Unknown,Unknown,627001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7258478,77.7070834
Lakshmi Madhavan Hospital,"4A, Near Tnstc Depo, Vannarpettai, North Bye Pass Road",Unknown,Unknown,627009,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7262514,77.7211816
Csi Bellpins Indrani Chelladurai Mission Hospital,"Samathanapuram Road, Palayamkottai, Tirunelveli",Unknown,Unknown,627002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,8.7232798,77.7488801
