Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1007563,77.3563728
"Sri Kumaran Hospital, Tiruppur","774 - P. N. Road, Near Nre Bus Stand",Unknown,Unknown,641602,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.1307528,77.3412468
ESI Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1196849,77.3492741
Deepa Hospital,"55 / 27, 65/27 Stanes 2nd Street,Odakadu Road,Avinashi Road",Unknown,Unknown,641602,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1121508,77.3368929
"Saayi Prema, Tiruppur","3B, Nesavalar Colony Bus Stop To Sivan Theatre Road, Near New Bus Stand Tiruppur, Postal Colony",Unknown,Unknown,641601,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1286682,77.3404616
Alamelu Balaji Hospital (P) Ltd. - Tirupur,"No.23,Shri Vidhya Nagar Iiird Street,College Road",Unknown,Unknown,641603,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1139918,77.3222896
"Vasan Eye Care Hospital, Tirupur","No 83, Perumanallur Road, Nesavalar Colony, Tirupur",Unknown,Unknown,641602,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.127834,77.3415747
"Dsk Hospital, Tiruppur","19, Kathir Nagar, Kangeyam Road, Tiruppur",Unknown,Unknown,641604,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.102044,77.3692605
"Roopa Nursing Home, Coimbatore","Roopa Nh, Kongu Nagar Extension, Tiruppur, Kongu Nagar",Unknown,Unknown,641607,Tamil Nadu,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,11.1147893,77.3475668
Tirupur Medical Foundation (P) Limited,"Near Railway Station, Tiruppur, Uthukuli Road",Unknown,Unknown,641601,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1090003,77.3449825
"AG Hospital, Tiruppur","33/58, Near Sangeetha Theatre, Kpn Colony, 3Re Street, Kpn Colony",Unknown,Unknown,641602,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1090267,77.3528045
L.R.G.R Urban Primary Health Center,"Near 2Nd Railway Gate, Ramakrishnapuram, Kodi Kambam Road",Unknown,Unknown,641006,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,11.1137601,77.3545759
"Vishnu Medical Centre, Tiruppur","12/61-64, Near Esi Dispensary, Kongu Main Road, Renganathapuram 2Nd Street",Unknown,Unknown,641607,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.12036,77.350179
Mettupalayam Government Hospital,"Mettupalayam UPHC,Perumanallur Road,Tiruppur, Mettupalayam Bus Stop, Kuppandampalayam Library, Perumanallur Road",Unknown,Unknown,641602,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1188103,77.3402183
"Revathy Hospital, Tiruppur","Near Government High School, Kumar Nagar, Valayankadu Road",Unknown,Unknown,641603,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1202413,77.3291542
Sakthi Sugam Hospital - Tiruppur,"1A, Uthukuli Main Road, Palayakkadu, Palayakkadu, 2Nd North Street",Unknown,Unknown,641601,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.1151517,77.3621541
"S R Nursing Home, Tiruppur","Opp.Hero Honda Showroom, Kongu Nagar, Tiruppur, Elementary School Street",Unknown,Unknown,641607,Tamil Nadu,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,11.111432,77.3489019
Sree Saran Medical Centre,"Near Water Tank, P.N.Road, Tiruppur, Poyampalayam Pirivu",Unknown,Unknown,641602,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1488,77.346725
"Rams Hospital, Tiruppur","Near Church Opposite Bharath Petrol Bunk, Tiruppur, Murunga Palayam Main Road",Unknown,Unknown,641603,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1169009,77.3329355
Tirupur TSK Government Hospital,"Tsk UPHC,Avinashi Road,Tiruppur, Angle Hotel, Bunglow Stop",Unknown,Unknown,641018,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1150948,77.3344919
"Niranjana Hospital Anupparpalayam,Tiruppur","435/2, Andra Bank Backside, Periyar Colony, 1St Street, Saminathapuram",Unknown,Unknown,641652,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.1363086,77.3200071
