Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Tura Civil Hospital(DH),"Near Der Mile Petrol Pump, Der Mile, Tetengkol Araimile road",Unknown,Unknown,794101,Meghalaya,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.5147491,90.2037942
Tura Maternity and Child Hospital(SDH),"Near District Medical & Health Officer's office, Lower Babupara, Lower Babupara Road",Unknown,Unknown,794001,Meghalaya,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.514655,90.219953
"Sampalgre, Urban Primary Health Centre","Near Don Bosco School Playground, Sampalgre, Teteng Aja Road",Unknown,Unknown,794001,Meghalaya,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.5216626,90.2132555
Dobasipara Urban Health Centre,"Near Dobasipara BSF Camp, Dobasipara, Tura Dalu Road",Unknown,Unknown,794005,Meghalaya,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.506077,90.214867
Clear Vision Eye Care,"Tura, Meghalaya",Unknown,Unknown,794001,Meghalaya,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.516166,90.220322
T.B. Hospital,"Lower Wadanang, Tura, Meghalaya",Unknown,Unknown,794001,Meghalaya,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.5212405,90.2171856
"SubCentre, Tosekgre",Tosekgre,Unknown,Unknown,794001,Meghalaya,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.5392421,90.2876615
Tura Civil Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.5150175,90.2038069
V Health Care Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5160114,90.2160193
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5160408,90.2160618
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5162165,90.2189463
New Drugs House,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5160949,90.2192595
Downtown Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5160981,90.2193465
N. S. Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5164454,90.2202414
Rudra Healthcare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,25.5166577,90.2199894
Doctor Chamber,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,25.5197979,90.2191763
Kokhnal Medicos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.5199296,90.2193173
Tura Christian Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.5182853,90.2189168
Mr. Dentist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,25.5210079,90.2198474
