Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Anil Orthopaedic and Trauma Hospital,"Sevashram Chauraha,Subhash Nagar",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5826385,73.72245
Harsh Piles Chikitsa Kendra,"12, Shastri Nagar, Hiran Magri, Sector No. 3",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5783608,73.727168
Kalptaru Superspeciality Hospital,"Sector - 6, Hiran Magri",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5587385,73.7272646
Gattani Hospital,"462-A, Bhupalpura, Near Shastri Circle",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.588505,73.7010714
J.B.Hospital,"22, Hiran Magri, Sector - 6",Unknown,Unknown,313002,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5600339,73.7185433
J.P. Orthopaedic Hospital,"6, Sikh Colony, Near Gurudwara",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5793365,73.7111793
Geetanjali Medical College and Hospital,"Geetanjali Medicity, N H 8, Bypass, Hiranmagri Extn, Manwakheda",Unknown,Unknown,313002,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5530387,73.731683
"Goyal Hospital, Udaipur","Sector-5, Behind Akashwani Colony",Unknown,Unknown,313002,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5647263,73.7208018
Samar Hospital and Research Institute,"12-Durga Nursery Road, Near M.B College,Sardar Patel Marg",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5826927,73.7221268
Dr. Dalal Eye Hospital,"191/15, Ashok Nagar",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5885637,73.7040971
Alakh Nayan Mandir Eye Hospital,"Durga Nursery Road, Ashok Nagar, Udaipur",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,https://www.alakhnayanmandir.org/,Unknown,24.5861106,73.7091065
Dr. Chaudhary Hospital and Medical Research Centre Pvt. Ltd.,"473, Sector 4, , Hiran Magri",Unknown,Unknown,313002,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5666357,73.7218505
"Saraswati Hospital, Udaipur",Near Railway Station Khemali,Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5919805,73.7254004
"Sanjivani Hospital, Udaipur","6-Patho Ki Magri, Sevashram Chouraha",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5824955,73.7211372
Nirbhay Eye Hospital,"1-C Madhuban,11 Floor",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.585372,73.7338769
Babel Urology Hospital and Research Centre,"3, Bhopalpura, Khanpura Colony,""S"" Road, Near Bhupalpura Ground",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5943395,73.7012954
Kanak Hospital,"460, Sector-3 Hiran Magri, Main Road Opposite Reliance Fresh",Unknown,Unknown,313001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.5741117,73.7232023
Singhal Memorial Hospital and Research Centre,"Near Saibaba Temple, Sector 5, Hiran Magri",Unknown,Unknown,313002,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.560204,73.7233284
