Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Metro Hospital And Research Institute,"Near Amit Nagar Circle, Beside Kendriya Vidyalaya, Harni-Savi Road",Unknown,Unknown,390022,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.33499,73.2089837
Mental Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3176736,73.1989415
Sairam Chemist & Druggist,Unknown,"Opposite Sardar Bhavan Lane, Raopura",Vadodara,390001,Unknown,Unknown,pharmacy,Unknown,(0265) 2415439,Unknown,Unknown,22.3036205,73.2046619
Bhumi Nursing Home & Echo Doppler Clinic,Unknown,"Opp. Sardar Bhavan Lane, Jubilee Baug, Raopura",Vadodara,390001,Unknown,Unknown,hospital,Unknown,(0265) 2426318,Unknown,Unknown,22.3036505,73.2047701
shri padma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,22.3498793,73.2000949
Schvijk hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3512565,73.2012042
Astha Physiotherapy Clinic,Unknown,"Amrapali Complex,B/ h Yash complex, Gotri - Bhayali Road",Vadodara,390021,Unknown,Unknown,hospital,physiotherapist,+91 99988 46171,Unknown,Unknown,22.3128782,73.1384215
Dwarkesh Hospital,"10,11, Shivali Society 1, Vip Road, Near L & T Circle, Karelibaag",Unknown,Unknown,390018,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3248646,73.1978278
Harshal Generaland Surgical Hospital,1/37 Vrajvenu Complex Near Swami Narayan Gurukul,Unknown,Unknown,390019,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3004297,73.2231125
Bhailal Amin General Hospital,Gorwa Bhailal Amin Marg,Unknown,Unknown,390003,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.3253843,73.1631088
Brij Psychiatric Hospital,"Bhanu Sadan, Opp Nimbalkar Chambers, Jambupet",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3098142,73.1873332
BM Parikh Foundation Trust,"Samal Bechar's Pole,Near Ambematamandeir,M.G. Road, Mandavi",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3006735,73.2092294
Navrang Hospital,"Near Amit Nagar Circle, Beside Hdfc Bank, Vip Road, Karelibaug",Unknown,Unknown,390018,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3268271,73.2061046
Dr. Bhavesh Patel's Hospital,"5-B, Indraprasth Complex, 1st Floor, Nizampura, Opposite Swaminarayan Nagar",Unknown,Unknown,390002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3396366,73.1778905
Desai Urological and Maternity Hospital,"2nd & 3Road Floor, Abhinav Complex, Kamal Kunj Society , Delux , Nizampura",Unknown,Unknown,390009,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3341735,73.1811172
Uro - Care Hospital - Vadodara,"Sainath Marg, Near Vrajwadi Apartment",Unknown,Unknown,390007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3037135,73.1538525
Chiplonkar Eye Hospital,"Opposite Lakdipul, Dandia Bazar",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3003143,73.1974619
Sant Hospital,"Sainath Tower, G.P.O Road Raopura",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3016761,73.1984147
Acharya Nursing Home and Icu,"No. 88/89, Shree Jay Ambe Co-Op. Society,Opposite Gorwa Workshop,Subhampura",Unknown,Unknown,390023,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3261721,73.155714
Rudraksha Medical and Eye Care Centre,"5, Shantinath Complex, Opposite Mahavir Hall Cross Road, Ajwa Road",Unknown,Unknown,390019,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3430081,73.1757715
Nisarg Orthopaedic and Maternity Hospital,"B-1, Panchsheel, Near Zavernagar Society< Harni Varasiya Ring Road",Unknown,Unknown,390006,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3182731,73.2204612
"Ankur Children Hospital, Vihar Road","108,Shree Vihar Complex,Opposite Mahavir Hall, Vihar Road",Unknown,Unknown,390019,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3215968,73.2411504
Vraj Hospital,"2nd Floor, Shree Complex, Shrenik Park Cross Road, Akota",Unknown,Unknown,390020,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3472341,73.1745639
Kala Laser and Cosmetic Surgery Centre,"Gorund Floor, Ami Apartment-I, Lane Opposite Yes Bank,Race Course Circle",Unknown,Unknown,390007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3132981,73.1766218
Om Multi Speciality Hospital,"A-1, Jayshree Narayan Society, Samta Char Rasta, Subhanpura",Unknown,Unknown,390021,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3231785,73.1504716
Neurosurgical Hospital,"1st Floor, Sanstha Vasahat, Raopura",Unknown,Unknown,390001,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.302478,73.1998304
Neurology Hospital,"Prakruti Tower,Opposite Inox , Race Course",Unknown,Unknown,390007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.313471,73.1587912
Kamubala Poly Clinic,"53-B,Defence Coloony,Opp Girdhar Krupan Complex",Unknown,Unknown,390002,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3439198,73.1759928
Rishabh Nursing Home,"Opposite Golden-Silver Apartments,Subhanpura Main Road",Unknown,Unknown,390023,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3211998,73.1588729
Shri Narhari Arogya Kendra Hospital,Narayan Bhavan Fatehganj,Unknown,Unknown,390002,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.3182458,73.188335
Aum Sai Retina Care Centre,"Gorund Floor, Kashi Vishveshwar Tower-5, Behind Swagat Restaurant, Jetalpur Road",Unknown,Unknown,390007,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.314571,73.1711031
Aditya Oral And Maxillofacial Clinic,"2nd Floor, Innova House, Opposite Brahman Sabha Hall,Dandia Bazar",Unknown,Unknown,390001,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3002988,73.199544
Prutha Maternity Nursing Home,"3, Muktanand Society, Karelibaug",Unknown,Unknown,390001,Gujarat,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.3204963,73.1972091
