Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3162104,83.0050584
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3384937,82.9959608
Punjabi Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3460988,83.0372616
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3044003,82.9791034
The Apolo Clinic,B 38/46 H Raman Niwas Mahmoorganj,Unknown,Unknown,221002,Uttar Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,25.3041865,82.9784124
Ramakrishna Mission Home Of Service,"d-45, 5,Ramapura Luxa",Unknown,Unknown,221010,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3068304,82.9978198
Singh Medical And Surgical Centre,S-14/84G Taliyabagh Near Patel Dharmshala,Unknown,Unknown,221002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3264652,82.9927117
Jamea Hospital,Pilikothi Pilikothi,Unknown,Unknown,221001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3246623,83.0149859
Surya Super Speciality Hospital,"D 63/6- K Prime Tower, Mahmoorganj",Unknown,Unknown,221010,Uttar Pradesh,Unknown,hospital,hospital,Unknown,https://suryahealthcare.in/,Unknown,25.3051973,82.9805182
St Mary Hospital,"Korauta,Lohta,Gopalpur",Unknown,Unknown,221107,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.315928,82.9106507
Ajay Hospital Accident Care and Surgical Hospital,"S-2, 639/19,Mritunjaya Dham Colony,Kachari-Central Jail Road,Sikrol",Unknown,Unknown,221003,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.342448,82.9774846
"Janseva Hospital, Varanasi","Chandpur, Mudaila",Unknown,Unknown,221002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,www.jansevahospital.com,Unknown,25.3026937,82.952709
Arunoday Hospital,"D,59/71-B,Mehmoorganj",Unknown,Unknown,221001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3043668,82.9815736
Varuna Hospital,"Near Police Station, Manduadih",Unknown,Unknown,221002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3023421,82.9645711
"Vivek Hospital, Varanasi",Monduadin Mahraulli,Unknown,Unknown,221108,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3006034,82.9560819
Nandini Medicare,"C-33/52-Ie, Chandua Chittupur, Sigra",Unknown,Unknown,221002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3153485,82.9855648
Shubham Hospitals,Varanasi,Unknown,Unknown,221002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3117923,82.9856793
Prince Clinic and Nursing Home,"S. 17/330-E 1, Maldahiya",Unknown,Unknown,221002,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.3274904,82.9914415
Dr. S.Nath Memorial Eye Clinic Phaco and Laser Centre,Lahurabir Rd,Unknown,Unknown,221001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.3230301,83.0010518
R.K Netralaya,"Motijheet,Mahmoorganj",Unknown,Unknown,221002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3036115,82.9756862
The Fractures Clinic and Trauma Hospital,"B 38/47- 5, Mahmoorganj,opposit to Reliance Petrol Pump",Unknown,Unknown,221010,Uttar Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,25.3032363,82.9764466
Ashirvad Hospital and Research Center,"B.38/1-C, Birodpur, Mahmoorganj",Unknown,Unknown,221010,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3052664,82.9864379
"Vatsalya Hospital, Varanasi","S-2,656 C/4A,Sikraul(Anand Vatika Ki Gali ,Opp Circuit House ,Campus Police Station)",Unknown,Unknown,221007,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3484644,82.975772
Dev Matenity Home,"15/16, Mritunjay Dham Colony Raruna Vihar Near Jp Mehta Inter College",Unknown,Unknown,221001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3422395,82.9767966
Alliance Hospital,"C20/1-73 Ramakant Nagar Colony, Near Pisach Mochan",Unknown,Unknown,221010,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.3190508,82.9965833
"New Life Hospital, Varanasi","70- Gandhinagar, Sigra",Unknown,Unknown,221010,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.3129735,82.9900937
