Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Lakshmi Hoapital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.5131813,80.6642834
American Hospital,Unknown,M.G Road,Vijayawada,520002,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5049086,80.6308521
municipal health centre,Unknown,k t road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5429438,80.6136326
Kiran diabetic centre,Unknown,Sivalayam Street,Unknown,520011,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,16.5214935,80.6369506
Medical Hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,16.5330026,80.606358
MedPlus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,16.5226452,80.6036226
Vijaya Sri Blood Bank,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet,",Unknown,Vijayawada,520002,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5129072,80.6356533
Lions Blood Bank,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet",Unknown,Vijayawada,520002,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5101286,80.6347735
Lions District 316D Blood Bank,"Smt CH. Manju Vani Vara Prasad, H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet,",Unknown,Vijayawada,520002,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5102906,80.632503
Bethesda Blood Bank,"29-13-79/A, Ground Floor, Kaleswara Rao Road, Narsimharao Naidu Street, Governor Peta, Suryaraopet",Unknown,Vijayawada,520002,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,Unknown,16.5129715,80.6326807
Suraksha Voluntary Blood Bank,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet",Unknown,Vijayawada,520002,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5138915,80.6329047
Rotary Red Cross Blood Bank,"H.No: 26-5-5, G.S Raju Street, Gandhinagar",Unknown,Vijayawada,520003,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5184013,80.6246361
Ayush NRI LEPL Health Care Private Limited's Blood Bank,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar",Unknown,Vijayawada,520008,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,https://www.aayushhospitals.com/,24/7,16.5175218,80.6750965
YSR University General Hospital's Blood Bank,"Ring Road, Gunadala",Unknown,Vijayawada,520008,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5165884,80.6700003
St.Ann's Hospital Blood Bank,"Punnammathota, Bandhar Road",Unknown,Unknown,520002,Unknown,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.5046252,80.6311552
Chandamama Hospital,"Behind Ramakrishna Marbles, Srinagar Colony, Ring Road , Guru Nanak Colony, Vijayawada",Unknown,Unknown,520001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5058331,80.6630222
Health Care Global Curie City Cancer Centre - Vijayawada,"Besides Gowtham International School, Padavala Revu, Machawaram Down, Gunadala, Vijayawada",Unknown,Unknown,520004,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://www.hcgoncology.com,24/7,16.5238862,80.6550537
Shri Shiridi Sai Speech and Hearing Institute,"H.No: 29-6-32, 1St Floor ( Opposite Rajendra Medical Stores), Ramachandrarao Road (Nakkala Road, Suryaraopet, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5131271,80.6357177
Sekhar Ortho Center,"2 Nd Floor Bang Shopping Mall, Nakkal Road",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5130383,80.6339152
"Lakshmi Nurisng Home, Vijayawada","H.No: 32-2-10G, Madhu Nagar, Jammichetti, Moghalrajpuram",Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5081246,80.6424467
Raavella Eye Hospital,"D.No: 29-6-38, Opposite Appolo Diagnostic, Nakkal Road, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5114562,80.6320678
Suraksha Hospital,"D.No: 32-2-8A, Anjamma Street, OppositePost Office,",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5093873,80.6416681
Modern Retina Centre,"29-29-4 Kaleswararao Road, opp. SBI Zonal Office, Suryaraopeta, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,http://modernretinacentre.com,Unknown,16.5104937,80.635782
Sai Swetha Mother And Child Hospital,"H.No: 29-24-8, Boyapativari Street, Besides Gangaraju Kalyanamandapam, Suryaraopet Vijayawada 520002 Krishna",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.5134601,80.6373082
Meenakshi Eye Hospital,"29-19-81, Dornakal Road, Suryaraopet, near Police Commissioner's Office, Moghalrajpuram, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://meenakshieyehospital.com/,Unknown,16.5104796,80.6349251
Heart Care Centre,"Dornakal Road, Near Andhra Bank, Suryaraopet, VIJAYAWADA",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://www.heartcarecenter.co.in/,24/7,16.5112665,80.635723
Anurag Institute Of Medical Sciences,"H.No: 29-12-28, Opp Andhra Bank, Dornakal Road.Venkataratnam, Suryaraopet, Vijaywada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.5117255,80.6346193
St. Ann's Hospital,Unknown,Unknown,Unknown,520002,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.5045969,80.6311807
Sri Sai Hospital,"Nakkala Road, Suryaraopet, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5139551,80.6325245
V.G.R. Diabetes Specialities Hospital,"#40-5-19/18B, A.S Ramarao Road, Opp. Moghalraj Puram Caves, Vijayawada",Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://vgrdiabetes.in,Unknown,16.5057625,80.6468676
Sree Venkateswara Nursing Home,"D.No: 32-2-12A, Boyapati Madhava Rao Street, Mogalrajapuram, Vijayawada",Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5126487,80.641239
City Cancer Centre,"H.No: 33-25-33, Ch Venkata Krishnaiah Street, Suryaraopet, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5094934,80.6378674
Sri Srinivasachildrens Hospital,"1St, Cross, Nakkala Road Chiluku Durgaiah Street, Suryaraopet",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5134334,80.6340671
Metro Superspeciality Hospitals,"H.No: 29-14-32, Nakkal Cross Junction Road, Opposite Pramodini Imaging and Diagnostic Centre, Suryaraopet.",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5107753,80.6323032
Nori Multi Speciality Hospital,"24-2-16/A, Nageshwara Rao Panthulu Road, Gandhi Nagar, Vijayawada",Unknown,Unknown,520003,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5187317,80.631001
Rajeswari Hospital,"Chiluku Durgaiah Street, Suryaraopeta",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5136838,80.6329282
Mamata Childrens Hospital,"Ganapati Rao Road, Vijayawada",Unknown,Unknown,520001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5219898,80.6125179
Vijaya Durga Nursing Home,"H.No: 32-2-10A, Moghalarajpuram, Vijaywada",Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5081677,80.6420993
S.K. Super Speciality Laser Eye Hospital,"H.No: 29-13-87, Kaleswara Rao Road, Nakkala Road, 5th Lane, Suryaraopet,",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.5114311,80.6325594
Sumanth Nursing Home,"H.No: 33-1-5, Balaji Street Behind Iob, Seetharampuram",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5151894,80.6389739
Sreya Nursing Home,"Dornakal Road, Suryaraopeta, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5099466,80.6346367
Preethi Children's Hospital,"H.No: 29-28-72, Dasarivari Street, Suryaraopeta, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5113134,80.6370172
Chikitsa General Hospital,"Nunna Road, Payakapuram, Vijayawada",Unknown,Unknown,520015,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5478698,80.6542356
Praja VaidyaSaala ( ప్రజా వైద్యశాల ),"Opp. Swapna Theatre, Nunna, Vijayawada Rural",Unknown,Unknown,521212,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.5741988,80.682722
Mother & Child and Family Hospital,"H.No: 29-16-21, Dornakula Road, Suryaropet, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://familyhospital.in,Unknown,16.5122244,80.6352476
Andhra Hospitals,"D.No: 29-14-61, C.V.R. Complex, Prakasam Road, Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://andhrahospitals.org/,24/7,16.5110582,80.6296981
Sri Venkata Sai Urology and Maternity Center,"H.No: 29-4-6, Kodandaramireddi St, Near Elur Road",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5121833,80.6309433
Aswini Nursing Home,"D.No: 2-26-56, Jagadam Vari Street",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5151303,80.637268
Prabha Nursing Home,"B.R.P Road, Vijayawada",Unknown,Unknown,520001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5196549,80.615007
Sridevi Eye Hospital,"Bodemma Hotel Centre, Babu Rajendra Prasa Road, Tarapet, Vijayawada",Unknown,Unknown,520001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,www.sridevieyehospital.com,Unknown,16.5171438,80.6141822
Vasavya Nursing Home,"H.No: 40-9/1-26/1, Benz Circle, Vijayawada",Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5035727,80.6433744
Chaitanya Eye Hospital,Near Siddhartha Arts College Tikkil Road Mogalrajapuram Vijayawada 520010 Krishna,Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5042543,80.6476515
Usha Cardiac Centre Ltd,H.No: 39-2-11 Pithaiah Street Vijayawada 520010 Krishna,Unknown,Unknown,520010,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5010801,80.6425412
Help Hospital Pvt Limited,"D.No: 27-29-23, Behind Victoria Museum, M.G.Road, Vijayawada, Krishna",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5089713,80.6273572
Sindhura Hospital,"D.No: 29-10-36, Narasimharao Naidu Street, Suryaraopet Vijayawada",Unknown,Unknown,520002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.5125484,80.6333768
Trust Hospital,"H.No: 40-9-58A, Guttikonda Gopala Rao Street, Subregistrar Office Road, Kalanagar, Benz Circle, Vijayawada - 10",Unknown,Unknown,522510,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.5008409,80.6540103
