Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Rani Chandramathi Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.7287938,83.3366532
Visakha Homeo Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.7224616,83.3094001
Nikitha Hospital,"D.No: 54-13-6, Beside S.B.I., Seethammadhara junction.",Unknown,Unknown,530013,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,http://www.nikithahospital.com/,24/7,17.7426705,83.3146285
Appolo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.743378,83.3351151
Padmaja Hospital - Seethammadhara,Seethammadhara Jn,Unknown,Unknown,530013,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.7436298,83.3146125
Ravi's Clinic,Unknown,Pandurangaswamy Temple Road,Visakhapatnam,530003,Unknown,Unknown,doctors,doctor,"+918912727199, +918179738933",Unknown,"Mo-Sa 09:00-13:00, 16:00-20:00",17.7147258,83.3221856
Jyothi Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.739081,83.3229595
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,17.7251355,83.3335942
Durga Nursing Home,Unknown,Unknown,Unknown,530008,Unknown,Unknown,hospital,Unknown,"0891 255 8037

",Unknown,24/7,17.7362275,83.2713316
Vasu Deva Rao Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,17.7249342,83.3339991
Rama Hospitals,"H.No: 50-50-33/2, Ballayasastry Layout",NH5 Gurudwara line,Unknown,530013,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.7375272,83.3071191
kalavathi hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.7824442,83.2706719
LV Prasad Eye Hospital,"H.No: 11-113/1, Hanumanthawaka Junction",Unknown,Unknown,530040,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://www.lvpei.org,Unknown,17.7568569,83.3309144
Queens NRI Hospital,"H.No: 50 - 53 - 14, Gurudwara Lane, Seethammadhara, Beside A. P.E.P. D. C. L Corporation Ltd",Gurudwara,Unknown,530013,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://www.queensnrihospital.com/,24/7,17.7404353,83.3080536
