Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
life,Unknown,tilak road,warangal,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.9816379,79.6069372
Nirmal Hospital,"M.V.Colony, Desaipet Road",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9934072,79.6052304
Adarsha Nethralayam,"9-53, Mandi Bazar",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9850798,79.6001952
Sri Venkateshwara Nursing Home,"Narsampet Road, Pochamma Maidan, LB Nagar",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9858905,79.6028754
"Urban Health Centre, Fort Warangal","Fort Warangal, Near West Fort",ST Colony,Unknown,506002,Telangana,Unknown,Unknown,centre,Unknown,Unknown,Unknown,17.9694578,79.6097901
PHC,"Keerthinagar, Gorrekunta, Near Boddari",Laxmipuram TSHB Colony,Unknown,506002,Telangana,Unknown,Unknown,centre,Unknown,Unknown,Unknown,17.9796337,79.6314356
"Government Homoeo Dispensary, Geesugonda (NRHM)",Unknown,Geesugonda Road,Unknown,Unknown,Telangana,Unknown,doctors,doctor,Unknown,Unknown,Unknown,17.9631763,79.6963142
CKM Government Maternity Hospital,"Market Street,Matwada.",Warangal,Unknown,506001,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9771347,79.6013955
Samraksha Super Speciality Hospital,"Venkatrama Theatre Junction, Narasampet Road, Warangal",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9779512,79.6094575
"SubCentre, NN Thanda",Unknown,Nandanaik Thanda,Unknown,Unknown,Telangana,Unknown,health_post,yes,Unknown,Unknown,Unknown,17.9656966,79.6979168
"Sub Centre, Enumamula","46/1/198, Yenumamula, Near Govt School area",near church,Unknown,506166,Telangana,Unknown,clinic,centre,Unknown,Unknown,Unknown,17.9864326,79.6240796
"SubCentre, Godepally",Unknown,Bc colony,Unknown,Unknown,Telangana,Unknown,health_post,yes,Unknown,Unknown,Unknown,17.9177416,79.6378836
Venkateswara Clinic,Keerthi Nagar Colony,Unknown,Unknown,506013,Telangana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,17.9773882,79.6296
Vanamala Clinic,"DR BACHHU MURALI KRISHNA MD, opp. Sri lakshmi home foods",Unknown,Unknown,506002,Telangana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,17.9789443,79.6010388
Sri Srinivasa sunshine hospital,"khammam-warangal Hwy,Hotal sharanya",Unknown,Unknown,506002,Telangana,Unknown,hospital,Unknown,Unknown,Unknown,24/7,17.96078,79.60042
Pallavi Hospital,"H.No: 16-4-1411,oposite manikanta matching centre",Unknown,Unknown,506002,Telangana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.97215,79.60131
NNR Hospital,H.No: 11-23-1352,Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9795931,79.6010242
Indo American Neuro Center,"Warangal-Narsampet Rd, Harikrishna Cotton Traders,Dayanand Colony",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.97737,79.60931
Ganga Multi speciality Hospital,"23, Narsampet Rd, Dayanand Colony",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9774635,79.6086161
"ESI Hospital,Warangal","Narsampet Road,state bank of india",Unknown,Unknown,506013,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9693445,79.6258742
Apple Hospital,"pochham main Road, Sherpura",Unknown,Unknown,506002,Telangana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9876012,79.6006239
