Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"Civil hospital, Manimajra",Civil Hospital Manimajra,Old Ropar Road,Unknown,160101,Chandigarh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7128525,76.8424183
Arya Hospital,"801, Mani Majra",Unknown,Unknown,160101,Chandigarh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7174644,76.832989
Tricity Hospital Pvt. Ltd.,"Sco - 831, Nac, Manimajra",Unknown,Unknown,160101,Chandigarh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7104462,76.8429682
Dr Monicas Laser Eye Clinic,"Sco -4 Swastik Vihar ,Mansa Devi Complex",Unknown,Unknown,134109,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.7247853,76.8549094
Bandhu Nursing Home,469 Sector 7,Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.703228,76.8408908
Malhotra Nursing Home,"# 302, Sector-7",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7036639,76.8475547
Singla Orthopaedic Centre / Ortho Nava Hospital,"# 873, Sector - 8",Unknown,Unknown,134109,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7019895,76.839433
"Narula Nursing Home, Panchkula","#131, Sector 7",Unknown,Unknown,134109,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.7052275,76.8498078
Kl Nursing Home,"House No-46,Sector 6",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7085875,76.8534663
Verma Maternity Centre & Nursing Home,"270,Sector-6",Unknown,Unknown,134109,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.7069894,76.8601772
Dhar Pediatric Centre,Sco 94 Ff Swastik Vihar,Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7156508,76.8492982
Happy Family Maternitys Children Hospital Pvt Ltd,"Nursing Home Site No.-1,Adjoining Gh-34, Sector-5, (Mansadevi Complex)",Unknown,Unknown,134109,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7158261,76.8389341
Police Hospital,Unknown,Sector 26,Unknown,160019,Chandigarh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7232383,76.8122966
Civil Dispensary Manimajra,Civil Dispensary MHC Manimajra,Modern Housing complex Manimajra,Unknown,160101,Chandigarh,Unknown,clinic,centre,Unknown,Unknown,Unknown,30.7127455,76.832944
Ayurvedic Dispensary Sector-28,Unknown,Sector - 28/B,Unknown,160028,Chandigarh,Unknown,clinic,centre,Unknown,Unknown,Unknown,30.716941,76.8050253
"Civil Dispensary, Sector-26",Unknown,Sector 26,Unknown,160019,Chandigarh,Unknown,clinic,centre,Unknown,Unknown,Unknown,30.721436,76.810789
"Civil Dispensary, CITCO",Unknown,Industrial Area Phase 1,Chandigarh,160002,Chandigarh,Unknown,clinic,centre,Unknown,Unknown,Unknown,30.708218,76.804312
Government Dispensary Sector 4,"Sector 4, MDC Sector 4, Panchkula",Unknown,Unknown,134114,Haryana,Unknown,clinic,centre,Unknown,Unknown,Unknown,30.7270766,76.8543219
Dr. Priyanka Sharma Gynaecologist,"1550, Sector 7-C, Chandigarh",Unknown,Unknown,160019,Chandigarh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.735249,76.800628
Athena Clinic,"SCO 31, Sarovar Path,Inner Market, Sector 7-C, Chandigarh",Unknown,Unknown,160019,Chandigarh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7353319,76.8014004
Eden Hospital,"Plot No-115, Near Hometel Hotel, Phase 1, Chandigarh",Unknown,Unknown,160002,Chandigarh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,30.7091481,76.8027108
Dr. Surbhi's Dermatocare Skin & Hair Clinic,"Scf 67, First Floor, Sector 6 Market, Next To Hdfc Bank, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.7058329,76.8572514
Dr. K.P's Eye Care and Laser Centre,"Sco No 811, Opp Fun Republic, Kalka-Shimla Highway",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.711242,76.844428
Sleep Moksha- The Sleep Wellness Clinic,"#182, Sector 6, Mansa Devi Complex, Panchkula",Unknown,Unknown,134114,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7247778,76.8505065
Ritu Chaudhary Hearing and Speech Clinic,"S.C.O 98, Ground Floor, Swastik Vihar, Mansa Devi Temple Complex, Sector 5",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.715478,76.849178
Siddharth Multi Speciality Clinic,"S.C.O. 45, Swastik Vihar, Mansa Devi Complex, Panchkula, Sector 5, Chandigarh",Unknown,Unknown,134114,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7164841,76.851091
Paras Bliss Hospital,"Panchkula Room No. 31, Mansa Devi Complex, Swastik Vihar, Phase 1, Sector 5, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7170829,76.8513837
National Physiotherapy and Rehabilitation Centre,"Old Bhainsa Tibba Marg, Near Railway Under Bridge, Mansa Devi Complex, Bhainsa Tibba, Mdc Sector 4",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.719954,76.852733
Skin Treatment Centree,"Chandimandir Cantonment, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.71266,76.853318
Aneja Dental Clinic Orthodontic Implant & Oral Care Centre,"House No. 145, Aneja Dental Clinic, Sector 6, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,dentist,dentist,Unknown,Unknown,Unknown,30.7068338,76.8548739
Tara Skin Clinic,"Sco 41, Ground Floor, Swastik Vihar, Mansa Devi Complex, Sector 5, Panchkula",Unknown,Unknown,134114,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7166327,76.8510569
Auricle Clinic,"Mansa Devi Complex, Sco-124, First Floor, Sector 5, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7135068,76.8496002
Dr. Krishan Lal Singla Clinic,"House Number 44, Sector 6, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.7066749,76.8561604
G&G Child Care Clinic,"Scf 67, Sector 6 Market, Panchkula",Unknown,Unknown,134109,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,30.7058969,76.8570847
