Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,39.6226306,20.8485888
Hitna pomoć,Unknown,Vaka Đurovića,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4456312,19.2626088
Dom zdravlja Konik,Unknown,Aleksandra Puškina,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.437135,19.2819026
Dom zdravlja Pobrežje,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4309282,19.2585181
Dom zdravlja Blok 5,Unknown,Trg Nikole Kovačevića,Podgorica,81000,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4462195,19.2433933
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.9938837,21.4119567
Ремедиум,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0061233,21.3816633
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.991882,21.4273351
Брза помош-амбуланта,Unknown,Димитар Влахов,Охрид,6000,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,41.1128747,20.8069305
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.3681454,21.2485188
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.512695,21.2171596
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4461105,19.2435397
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.9964256,21.4996627
Зегин,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,41.9984708,21.4226797
Зегин,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0023086,21.4626489
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.002633,21.464621
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.9950445,21.4332098
Зегин,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.9932326,21.4154083
Eye Center VIZIA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.006422,21.3825263
Klinika Kirurgjike,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.6443638,21.1623712
AMF SHEREMET / Nr. 05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.4347732,20.3272679
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.0374713,21.4252136
SANITA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,41.181565,20.6795882
City hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,41.1810946,20.6791796
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.1815448,20.6792497
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.1815291,20.6790178
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,41.322252,19.8191476
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.3190371,19.8176901
Ars Dent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.6683926,21.1752568
Ambulanca Medizinale për Familje,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,41.991036,20.706698
Barnatore Olisa,Unknown,Nëna Terezë,Unknown,12000,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Sa,42.6371156,21.0924325
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.0891068,21.0142087
Farmalek 2005,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.0880394,21.0118055
Epoha,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.0910636,21.0131144
Anafarm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.0920662,21.0122775
Здравствен дом Ресен,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,41.0899619,21.0073455
RAMKU Pharmacy,Unknown,Gazmend Zajmi,Prishtina,10060,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.6556532,21.1772096
Fidanfarm,Unknown,Qendra tregetare Te Posta e re,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+38338544031,Unknown,09:00-20:00,42.650795,21.1575166
Poliklinika GALAXY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.653818,21.1517616
Ambulanca e Fshatit,Unknown,Sadovina e Jerlive,VITI,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.3239009,21.295711
"Klinika Private ""Diagnoza""",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,42.470487,21.4644709
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.0080827,21.338885
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.007708,21.3381661
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.0087603,21.3394643
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0380108,21.348844
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,39.6238173,19.9212518
Tea Medica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,030317848,Unknown,Mo-Su 08:00-22:00,42.0981925,19.0960707
