Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.5731928,1.4703799
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5717761,1.4844043
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.5489957,1.6468331
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.5527445,1.6281598
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.542566,1.6608472
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.5544735,1.6533601
Farmàcia del Pas,Unknown,Carrer Major,Pas de la Casa,AD200,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5423906,1.7339056
Farmàcia de les Pistes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5413859,1.7338899
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.469295,1.4928644
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4622203,1.4905657
Farmàcia Rocamora,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.508252,1.5339584
Unknown,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5089308,1.5285239
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+376 828 717,Unknown,Unknown,42.5084733,1.5319874
Farmacia Garalla,Unknown,Avinguda Sant Antoni,La Massana,AD400,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5464466,1.5141083
Unknown,Unknown,Avinguda Sant Antoni,La Massana,AD400,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5451142,1.5151179
Farmàcia de les Escoles,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5097292,1.5406185
Berdental,Unknown,Carrer de la Unió,Unknown,Unknown,Unknown,Unknown,dentist,dentist,+376 821 712,http://www.ber.dental,Mo-We 09:15-17:15; Tu-Th 12:00-20:00; Fr 09:15-14:00,42.5067594,1.5344867
Centre de rehabilitació funcional Lourdes Guardia,Unknown,Plaça Coprínceps,Unknown,Unknown,Unknown,Unknown,doctors,doctor,+376 800 690,Unknown,Unknown,42.5087352,1.5398243
Centre mèdic laurèdia,Unknown,Unknown,Sant Julià de Lòria,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.4649967,1.490469
Farmàcia Edelweiss,Unknown,Carrer Bonaventura Riberaygua,Andorra la Vella,AD500,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5063496,1.5300827
Mitjavila,Unknown,Plaça Príncep Benlloch,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+376 820 224,Unknown,Unknown,42.5077429,1.5220419
Bio-Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.5085424,1.5362728
Urgències del Pas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.5454392,1.7305619
Farmàcia Manresa,Unknown,Plaça del Consell,Encamp,AD200,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5362656,1.5825936
Guitart,Unknown,Carrer Prada Casadet,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5062257,1.5228292
Unknown,Unknown,Avinguda de François Mitterrand,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5367021,1.5830445
Galeno,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5087827,1.5342651
Farmacia Pasteur,Unknown,Carrer Bonaventura Armengol,Andorra la Vella,AD500,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5081056,1.5291926
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5084629,1.5350342
Farmacia Pirineus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5088247,1.5356696
Farmàcia Europa,Unknown,Unknown,Escaldes-Engordany,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5085366,1.5361153
Farmacia Carlemany,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5086569,1.5376578
Farmacia Guerrero,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5086226,1.539779
Valira,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5071181,1.5266591
Farmacia del Pont,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5080866,1.5256307
González-Adrio,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.507807,1.5246432
Roser Miró,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5073253,1.5328032
Farmacia Galeno 3,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5085881,1.5336527
Farmacia Gerrero,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5085599,1.5266738
Farmacia Pasteur,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5077734,1.5307045
Unknown,Unknown,Carrer de la Geneta,Juberri,AD600,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,42.439031,1.4918613
Osteopata Blanchon,Unknown,Avinguda de François Mitterrand,Unknown,Unknown,Unknown,Unknown,doctors,doctor,+376 728 148,Unknown,"Mo-Sa 09:00-13:00, 14:00-20:00",42.5358795,1.582083
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Sa 09:00-14:00,16:00-20:00; Su 09:30-13:15,13:30-20:00; Sa 09:00-17:00; PH closed",42.5656271,1.5972618
Unknown,Unknown,Avinguda del Princep Benlloch,Andorra la Vella,AD500,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5055011,1.5158775
Unknown,Unknown,Avinguda del Princep Benlloch,Andorra la Vella,AD500,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.507086,1.5189227
Farmàcia Baixench,Unknown,Plaça del Consell,Encamp,AD200,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.5358218,1.5822472
Centre d'atenció primaria La Llanterna,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,42.5149379,1.5315156
Prat del Roure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,audiologist,Unknown,Unknown,Unknown,42.5112192,1.5361905
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,audiologist,Unknown,Unknown,Unknown,42.4617648,1.5025314
IMO Andorra,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,+376 885 544,https://www.imo.es/nuestras-clinicas/imo-andorra/,Unknown,42.5097813,1.5347466
Centre Mèdic i Quirúrgic,Unknown,Avinguda de les Nacions Unides,Escaldes-Engordany,AD700,Unknown,Unknown,clinic,clinic,+376 801 222,https://cmqandorra.com/,Unknown,42.5096389,1.5347278
