Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Zum Heiligen Petrus,Unknown,Sankt-Peter-Hauptstraße,Graz,8042,Unknown,AT,pharmacy,pharmacy,Unknown,https://www.petrus-apotheke.at/,Mo-Fr 08:00-18:00; Sa 08:00-12:00,47.0578483,15.4711077
Malven Apotheke - Langenbach,Unknown,Freisinger Straße,Langenbach,85416,Unknown,DE,pharmacy,pharmacy,+49 8761 7299969,https://malven-apotheke.com/,"Mo-Fr 08:30-13:00,14:30-18:30; We 08:30-13:00; Sa 08:30-12:30",48.4356187,11.8465169
Apotheke Kirchbichl,Unknown,Tirolerstraße,Kirchbichl,6322,Unknown,AT,pharmacy,pharmacy,Unknown,http://www.apothekekirchbichl.at/,"Mo-Th 08:15-12:30,14:00-18:30; Fr 08:00-12:30,14:00-18:30; SA 08:00-12:00; PH off",47.5099517,12.0846273
Teurnia Apotheke,Unknown,Mölltalstraße,Unknown,9813,Unknown,AT,pharmacy,pharmacy,+47692234,https://teurnia-apotheke.at/,Unknown,46.8371835,13.3723167
Apotheke Liebenau,Unknown,Ostbahnstraße,Graz,8041,Unknown,AT,pharmacy,pharmacy,+43 316 472324,Unknown,"Mo-Fr 08:00-17:00; Sa 09:00-18:00; Su,PH off",47.0407724,15.4644615
Apotheke Zum heiligen Leonhard,Unknown,Wöllersdorfer Straße,Markt Piesting,2753,Unknown,AT,pharmacy,Unknown,Unknown,Unknown,"Mo-Fr 08:00-12:00,14:00-18:00;Sa 08:00-12:00",47.8722569,16.1295187
Bärenapotheke,Unknown,Herrengasse,Graz,8010,Unknown,AT,pharmacy,pharmacy,+43 316 830267,https://baerenapotheke.at/,Mo-Fr 08:00-18:00; Sa 08:00-17:00,47.0701905,15.4399178
Löwen-Apotheke,Unknown,Wiener Straße,Graz,8020,Unknown,AT,pharmacy,pharmacy,+43 316 714691,Unknown,Unknown,47.0785075,15.4274803
Paracelsus-Apotheke,Unknown,Schimmelgasse,Enzesfeld-Lindabrunn,2551,Unknown,AT,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:00-12:00,14:00-18:00; Sa 08:00-12:00",47.9207027,16.1837502
Dr. Moser Wolfgang,Unknown,Selzergasse,Wien,1150,Unknown,AT,dentist,dentist,Unknown,Unknown,Unknown,48.1979178,16.3229542
Rosen-Apotheke,Unknown,Talstraße,Weingarten,88250,Unknown,DE,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:30-12:30,14:00-18:00; Sa 09:00-12:30",47.8068218,9.6367802
Petri-Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.petriapo.de/,Mo-Fr 08:00-19:00; Sa 08:00-14:00,48.2081561,11.3296411
Apotheke Hagenberg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,"Mo-Fr 08:00-12:30,14:00-18:00; Sa 08:00-12:00",48.3672097,14.5167252
"Mund-, Kiefer-, Gesichtschirurgie",Unknown,Lindwurmstraße,München,80337,Unknown,DE,hospital,hospital,+49 89 5160-0,https://www.lmu-klinikum.de/,Unknown,48.1310014,11.5605247
Dr. von Haunersches Kinderspital,Unknown,Lindwurmstraße,München,80337,Unknown,DE,hospital,hospital,+49 89 4400 -52811,https://www.lmu-klinikum.de/,Unknown,48.1302821,11.5592053
Poliklinik Zahnärztliche Prothetik,Unknown,Goethestraße,München,80336,Unknown,DE,hospital,hospital,+49 89 5160-0,https://www.lmu-klinikum.de/,Unknown,48.131676,11.5581961
Poliklinik Zahnerhaltung und Parodontologie,Unknown,Goethestraße,München,80336,Unknown,DE,hospital,hospital,+49 89 5160-0,https://www.lmu-klinikum.de/,Unknown,48.1313295,11.5581921
Poliklinik Kieferorthopädie,Unknown,Goethestraße,München,80336,Unknown,DE,hospital,hospital,+49 89 5160-3233,https://www.lmu-klinikum.de/,Unknown,48.1309824,11.5581778
"Apotheke ""Zum goldenen Reichsapfel""",Unknown,Singerstraße,Wien,1010,Unknown,AT,pharmacy,pharmacy,+43 1 5124144,https://reichsapfel-apotheke.at/,Mo-Fr 08:00-18:00; Sa 08:00-12:00,48.2069576,16.3746041
Allerheiligen Apotheke,Unknown,Allerheiligenplatz,Unknown,1200,Unknown,AT,pharmacy,pharmacy,+4313304323,https://apotheke.wien,Mo-Fr 08:00-18:00; Sa 08:00-12:00,48.2380608,16.3840794
