Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Salmanyia Medical Complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.2171501,50.5717556
Ministry of Health Phsyciatric Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.2175185,50.5672168
Bahrain Down's Syndrome Care Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,26.2108596,50.5908358
Kims Bahrain Medical Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.2028806,50.5959675
Kingdom Ayurvedic Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.2041128,50.5973363
Al Reaya Medical Complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.2190001,50.5746636
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,26.1464015,50.5778206
Unknown,Unknown,Unknown,مدينة عيسى,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,26.1672532,50.5633268
Nutriton Center,Unknown,2825,Unknown,Unknown,Unknown,Unknown,clinic,clinic,17564870,https://www.drnutrition.com/,Sa-Th 10:00-22:00; Fr 15:30-22:00,26.2324649,50.534926
New cardiac hospital,Unknown,Awali,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.0909223,50.5516222
al hayia pharmacy,Unknown,Al-Doha Avenue,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,24/7,26.1692443,50.5571851
مستشفى ابن النفيس,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.2052,50.5793
Unknown,Unknown,3709,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,26.2027264,50.5961238
Al Maraya Pharmacy - صيدلية المرايا,Unknown,Unknown,Kawara Village / Tubli Village,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,24/7,26.1805381,50.5474595
مركز الهلال متعدد التخصصات الطبية,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,17495555,Unknown,Unknown,26.11949,50.5659431
Seef Dental,Unknown,3621,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,26.2354657,50.5327144
Al Turki Medical Est.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,26.2366458,50.5958939
Snow White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,26.2367818,50.5961422
Rula Pharmacy,Unknown,Palace Avenue,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,26.2275851,50.5882383
