Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Victoire,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 09:00-13:00,14:00-18:30; Sa 09:00-12:30; Su off",50.8313153,4.347231
Marienapotheke,Unknown,Rurdorfer Straße,Linnich,52441,Unknown,DE,pharmacy,pharmacy,+49 2462 8033,Unknown,Unknown,50.9767335,6.2682136
ZIM Jülich,Unknown,Marktplatz,Jülich,52428,Unknown,DE,doctors,doctor,Unknown,Unknown,"Mo-Fr 08:00-10:00 open ""Akutspechstunde"" || Mo-Fr 07:30-13:00 open ""Sprechstunde"", Mo,Tu,Th 14:30-17:00 open ""Sprechstunde"" || ""Nach Vereinbarung""; Sa-Su, PH off",50.9216459,6.3580566
Elkerliek Ziekenhuis,Unknown,Wesselmanlaan,Helmond,5707HA,Unknown,Unknown,hospital,hospital,+31 492 595 555,https://www.elkerliek.nl,Unknown,51.4818128,5.6424049
Enten Apotheke,Unknown,Karmelitergasse,Wegberg,41844,Unknown,DE,pharmacy,pharmacy,+49 2434 2121,https://www.enten-apotheke.de/,"Mo-Fr 08:00-13:00,14:30-18:30; We 08:00-13:00",51.1404639,6.2776652
Post Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:30-13:00,14:30-18:30; We 08:30-13:00",51.1440672,6.2794335
Kurbrunnen Apotheke,Unknown,Kurbrunnenstraße,Aachen,52066,Unknown,DE,pharmacy,pharmacy,+49 241 503484,Unknown,"Mo,Tu 08:30-18:00; We 08:30-14:00; Th,Fr 08:30-18:00",50.7684401,6.0953269
Vandaele,Unknown,Jules Van Ooststraat,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,http://www.apovandaele.be,Unknown,50.9981168,3.42133
Prikken,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,51.0111154,4.3351179
Nord-Apotheke,Unknown,Nordstraße,Jülich,52428,Unknown,DE,pharmacy,pharmacy,Unknown,https://www.nord-apotheke-juelich.de/,Mo-Fr 08:00-18:30; Sa 08:00-13:00,50.9303738,6.3594902
Rur-Apotheke,Unknown,Kleine Kölnstraße,Jülich,52428,Unknown,DE,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:30;Sa 08:00-14:30,50.9216391,6.3618153
Deroisy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 10:00-18:00,50.8528368,4.3555072
Iris-Apotheke,Unknown,Sperberstraße,Unknown,41239,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,51.152958,6.420159
Farma-Plus Apotheke,Unknown,Am Bahnhof,Wegberg,41844,Unknown,DE,pharmacy,pharmacy,+49 2434 9936880,https://farma-plus-wegberg.de/,Mo-Sa 08:30-19:30,51.1441958,6.2832621
Linden-Apotheke,Unknown,Vorster Straße,Unknown,41169,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:30-13:00,14:30-18:30; We,Sa 08:30-13:00",51.2057093,6.3420806
Nikolaus-Apotheke,Unknown,Vorster Straße,Unknown,41169,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,51.2048236,6.3430645
Bacciocco-Apotheke,Unknown,Marktplatz,Jülich,52428,Unknown,DE,pharmacy,pharmacy,Unknown,https://www.apotheke-bacciocco.de/,Mo-Fr 08:00-18:30; Sa 08:00-14:00,50.9216605,6.358251
Post-Apotheke,Unknown,Kölnstraße,Jülich,52428,Unknown,DE,pharmacy,pharmacy,Unknown,https://www.post-apotheke-juelich.de/,Mo-Fr 08:00-18:30; Sa 09:00-15:00,50.9225557,6.3601236
Regniers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 09:00-19:00; Sa 09:30-13:00,50.8322047,4.3522097
multiPharma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.multipharma.be,Unknown,50.8305121,4.345792
Dhaenens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,51.2478647,5.4390084
Park Apotheke,Unknown,August-Schmidt-Platz,Herzogenrath,52134,Unknown,DE,pharmacy,pharmacy,+49 2406 64380,https://www.park-apotheke-herzogenrath.de/,"Mo,Tu,Th,Fr 08:30-13:00, 14:30-18:30; We 08:30-13:00;Sa 09:00-13:00;PH off",50.8862273,6.1184577
