Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Общинска болница Др. Стамен Григоров,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.8347151,22.6548696
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.8351055,22.6503968
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.6708241,23.3951367
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.6646613,23.3901724
18-ти ДКЦ - филиал металург,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.7098958,23.3819755
Студио СЕВ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Mo-Fr 08:00-17:30; Sa 08:00-14:00,42.6584876,23.3636377
Здравен център Лечител,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.700216,23.331046
2-ри ДКЦ,Unknown,Хан Крум,София,Unknown,Unknown,Unknown,hospital,hospital,+359 2 988 2868;+359 2 987 3402;+359 2 987 3403,https://sofia.myhealth.bg/centers/6/dkts-2,Unknown,42.6913656,23.3240667
Медицински център Д-р Й. С. Грийнберг,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.6738353,23.3682006
Медицински център,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.694409,23.28312
Център за рехабилитация Диел,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.6892292,23.3071799
Национален център по физикално лечение и рехабилитация,Unknown,бул. Овча купел,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,http://www.rehabilitacia-ovchakupel.com/,Unknown,42.676759,23.2699979
4 работническа поликлиника,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.7006765,23.3106482
"МБАЛ ""Царица Йоанна"" - обслужване на дипломати и чужденци",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.700561,23.338996
Медицински център Покров Богородичен,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.6819069,23.3244826
