Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Respaldo Dr Kingsale,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,12.5434181,-70.058194
Centro Medical Tera Corá,Unknown,Weg naar Westpunt,Tera Corá,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.2255573,-69.0329999
Botica Tera Corá,Unknown,Weg naar Westpunt,Tera Corá,Unknown,Unknown,Unknown,pharmacy,pharmacy,+59998647788,Unknown,Unknown,12.2253677,-69.0328227
Dr Spong,Unknown,Siberie,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.2252307,-69.0327392
Centro Medical Tera Corá,Unknown,Weg naar Westpunt,Tera Corá,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.2254954,-69.0330505
Practice For Advanced Dentistry,Unknown,Unknown,Oranjestad,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.5528213,-70.0377971
Orthodontics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.5420757,-70.0194073
Botica Paradera,Unknown,Shiribana,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.5355202,-70.0071916
Unknown,Unknown,Fergusonstraat,Oranjestad,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.5137935,-70.0226006
Clinic Dr. Croes Medicina Integral,Unknown,Madiki Kavel,Oranjestad,Unknown,Unknown,AW,doctors,doctor,Unknown,Unknown,Unknown,12.537172,-70.0395458
dr. Mungra,Unknown,Hooiberg,Unknown,Unknown,Unknown,AW,doctors,doctor,Unknown,Unknown,Unknown,12.5149929,-69.9971861
Unknown,Unknown,Neptunesstraat,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,12.5200177,-70.0264376
Dr. Lampe,Unknown,Stadionweg,Unknown,Unknown,Unknown,AW,doctors,doctor,Unknown,Unknown,Unknown,12.5103678,-70.0260208
Botica Aloe,Unknown,Pos Chikito,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.4606693,-69.9605391
Dra. J.J. Geerman-Tromp,Unknown,Savaneta,Unknown,Unknown,Unknown,AW,doctors,doctor,584224,Unknown,"Mo-Sa 08:00-12:30, 15:00-17:00; Su 08:00-10:00",12.4490472,-69.942937
Dr B.A. Every,Unknown,Bernhardstraat,Unknown,Unknown,Unknown,AW,doctors,doctor,5844484,Unknown,Unknown,12.4351678,-69.9022068
Dent-Q Clinic,Unknown,Mgr. M.J. Niewindtstraat,Unknown,Unknown,Unknown,Unknown,dentist,dentist,5842422,Unknown,Unknown,12.435082,-69.9026072
Drs. J. Samuels,Unknown,Constantijn Huygenstraat,Unknown,Unknown,Unknown,Unknown,doctors,doctor,+297-5830877,Unknown,Mo-Fr 08:30-10:00,12.5138871,-70.0294758
Dr. Bermudez,Unknown,Herman Gorterstraat,Oranjestad,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.5134055,-70.0302281
Aruba Orthodontic Clinic,Unknown,Ponton,Unknown,Unknown,Unknown,AW,dentist,dentist,Unknown,Unknown,Unknown,12.5377274,-70.0312443
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,12.5753185,-70.0433585
dent clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.5665051,-70.0403993
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.5744982,-70.0440588
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.5751968,-70.0433727
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.5750536,-70.043378
Aruba Dental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.542551,-70.0568537
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.5193662,-70.0270862
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.5182481,-70.0348677
Children's and Youth Psychiatry,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.5421853,-70.0566735
KNO Clinic Cosmetic Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,12.5426102,-70.0566881
A. Kawaiah Orthodontic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.5182433,-70.0271132
Urology Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.5407453,-70.058021
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,12.5420544,-70.0566101
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,12.5201835,-70.0277663
Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.5400759,-70.0595063
Fysio Healthcare,Unknown,Bernhardstraat,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Mo-Fr 08:00-19:00,12.4364166,-69.9118458
Botica Di Servicio Seroe Preto,Unknown,Weg Sero Preto,San Nicolaas,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://boticadiservicio.com/,Mo-Sa 08:00-20:00,12.4393598,-69.9103361
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,12.440536,-69.9195626
Unknown,Unknown,Santa Cruz,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Su 08:00-08:00,12.5092568,-69.9811493
