OSM_Data
"{'type': 'node', 'id': 3840337963, 'lat': 6.7311795, 'lon': -3.4878618, 'tags': {'amenity': 'pharmacy', 'dispensing': 'Pharmacie du Marché', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'source': 'bing;survey'}}"
"{'type': 'node', 'id': 4262495193, 'lat': 6.7266073, 'lon': -3.4984378, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du carrefour'}}"
"{'type': 'node', 'id': 4535656300, 'lat': 7.1289663, 'lon': -3.2014039, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Nouvelle Pharmacie du Djuablin'}}"
"{'type': 'node', 'id': 4535710889, 'lat': 7.1344757, 'lon': -3.2024786, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie K. Boilot'}}"
"{'type': 'node', 'id': 5209368964, 'lat': 7.058471, 'lon': -3.9612231, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'name:fr': 'Pharmacie du marché'}}"
"{'type': 'node', 'id': 5209369823, 'lat': 7.0568882, 'lon': -3.9609149, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'La paix de Daoukro', 'name:fr': 'La paix de Daoukro'}}"
"{'type': 'node', 'id': 6026566386, 'lat': 7.0575585, 'lon': -3.9676906, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""DE l'AMITIER""}}"
"{'type': 'node', 'id': 6137061184, 'lat': 6.1036408, 'lon': -3.8615018, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de santé scolaire et universitaire'}}"
"{'type': 'node', 'id': 6466415860, 'lat': 6.7284689, 'lon': -3.5079145, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique médicale saint david'}}"
"{'type': 'node', 'id': 6466420560, 'lat': 6.7414124, 'lon': -3.5057019, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Providence'}}"
"{'type': 'node', 'id': 6466422044, 'lat': 7.1366567, 'lon': -3.1969164, 'tags': {'healthcare': 'centre', 'name': 'Centre verzeri'}}"
"{'type': 'node', 'id': 6466425838, 'lat': 7.3654422, 'lon': -3.2052187, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de santé communautaire de Tankesse'}}"
"{'type': 'node', 'id': 6466426018, 'lat': 7.1468232, 'lon': -3.203454, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Mairie Nord'}}"
"{'type': 'node', 'id': 6482114690, 'lat': 6.3887875, 'lon': -3.8880214, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande pharmacie'}}"
"{'type': 'node', 'id': 6482115856, 'lat': 6.0929274, 'lon': -3.8640203, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie ADZOPE'}}"
"{'type': 'node', 'id': 6652804768, 'lat': 7.0567227, 'lon': -3.9608085, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Paix', 'opening_hours': 'Mo-Fr 08:00-20:00'}}"
"{'type': 'node', 'id': 7722307385, 'lat': 6.7259274, 'lon': -3.4973745, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Dispensaire Urbain de Dioulakro'}}"
"{'type': 'node', 'id': 7731727469, 'lat': 7.1274396, 'lon': -3.199305, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Hôpital Général d'Agnibilekro""}}"
"{'type': 'node', 'id': 7731738265, 'lat': 7.122943, 'lon': -3.2021418, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Penielle', 'name:fr': 'Pharmacie Plénitude'}}"
"{'type': 'node', 'id': 7741436327, 'lat': 6.8251613, 'lon': -3.5696308, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Centre de Santé Urbain d'Amelekia""}}"
"{'type': 'node', 'id': 7741551049, 'lat': 7.2008129, 'lon': -3.1053911, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé de Diemba'}}"
"{'type': 'node', 'id': 8186941407, 'lat': 7.1379412, 'lon': -3.1981587, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Palazzolo'}}"
"{'type': 'node', 'id': 8455777021, 'lat': 6.0751691, 'lon': -3.409682, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Nouvelle Pharmacie de Bettié'}}"
"{'type': 'node', 'id': 8455777129, 'lat': 6.6733416, 'lon': -3.9712488, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""PHARMACIE D'ARRAH""}}"
"{'type': 'node', 'id': 9134748259, 'lat': 6.7403369, 'lon': -3.5061576, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Centre Antituberculeux d'Abengourou""}}"
"{'type': 'node', 'id': 9134748260, 'lat': 6.7397636, 'lon': -3.5063221, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""District sanitaire d'Abengourou""}}"
"{'type': 'node', 'id': 10292073609, 'lat': 6.2244547, 'lon': -3.7733036, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Dépot de produits pharmaceutiques'}}"
"{'type': 'node', 'id': 10696947905, 'lat': 7.128251, 'lon': -3.1997851, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Mai'}}"
"{'type': 'node', 'id': 10698365807, 'lat': 7.1231628, 'lon': -3.2021457, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Plénitude'}}"
"{'type': 'node', 'id': 10706970505, 'lat': 7.1281458, 'lon': -3.1998219, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Mai'}}"
"{'type': 'node', 'id': 10722536205, 'lat': 7.1204621, 'lon': -3.2028082, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'ONG fraternité'}}"
"{'type': 'node', 'id': 11186442126, 'lat': 6.7249166, 'lon': -3.5057628, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Saint Famille'}}"
"{'type': 'node', 'id': 11191123737, 'lat': 6.8300624, 'lon': -3.5738161, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie d'Amelekia""}}"
"{'type': 'node', 'id': 11191243084, 'lat': 6.999512, 'lon': -3.3586163, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie d'Apprompronou""}}"
"{'type': 'node', 'id': 11193827457, 'lat': 6.7300868, 'lon': -3.5081807, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre Médical Elohim'}}"
"{'type': 'node', 'id': 11247828193, 'lat': 6.5627461, 'lon': -3.7602631, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Liddell'}}"
"{'type': 'node', 'id': 11279387976, 'lat': 6.2442578, 'lon': -3.7937633, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de Santé'}}"
"{'type': 'node', 'id': 11279539060, 'lat': 6.1020832, 'lon': -3.856507, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Eureka'}}"
"{'type': 'node', 'id': 11770710931, 'lat': 6.7321767, 'lon': -3.4877967, 'tags': {'healthcare': 'nurse', 'name': 'Infirmière Cie'}}"
"{'type': 'node', 'id': 11804257747, 'lat': 7.0557647, 'lon': -3.9639277, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de santé des armées'}}"
"{'type': 'node', 'id': 12472749301, 'lat': 6.3272377, 'lon': -3.4467669, 'tags': {'amenity': 'hospital', 'name': 'Hôpital'}}"
"{'type': 'node', 'id': 12473967103, 'lat': 6.3272284, 'lon': -3.4461388, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie'}}"
"{'type': 'node', 'id': 12473998903, 'lat': 6.4534713, 'lon': -3.3895982, 'tags': {'amenity': 'hospital', 'name': 'Centre de santé de Bokakokoré'}}"
"{'type': 'node', 'id': 12504469402, 'lat': 6.4507913, 'lon': -2.9733155, 'tags': {'amenity': 'clinic', 'name': 'CHPS Compound'}}"
