OSM_Data
"{'type': 'node', 'id': 3840337963, 'lat': 6.7311795, 'lon': -3.4878618, 'tags': {'amenity': 'pharmacy', 'dispensing': 'Pharmacie du Marché', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'source': 'bing;survey'}}"
"{'type': 'node', 'id': 4256920799, 'lat': 6.6514385, 'lon': -4.2065206, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Sion', 'wheelchair': 'yes'}}"
"{'type': 'node', 'id': 4262495193, 'lat': 6.7266073, 'lon': -3.4984378, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du carrefour'}}"
"{'type': 'node', 'id': 4306293392, 'lat': 6.6550724, 'lon': -4.2106774, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5209368964, 'lat': 7.058471, 'lon': -3.9612231, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du marché', 'name:fr': 'Pharmacie du marché'}}"
"{'type': 'node', 'id': 5209369823, 'lat': 7.0568882, 'lon': -3.9609149, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'La paix de Daoukro', 'name:fr': 'La paix de Daoukro'}}"
"{'type': 'node', 'id': 5864438642, 'lat': 6.0010813, 'lon': -4.3196448, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 6026566386, 'lat': 7.0575585, 'lon': -3.9676906, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""DE l'AMITIER""}}"
"{'type': 'node', 'id': 6137061184, 'lat': 6.1036408, 'lon': -3.8615018, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Centre de santé scolaire et universitaire'}}"
"{'type': 'node', 'id': 6320440486, 'lat': 5.9309666, 'lon': -4.2143906, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Grande Pharmacie de l'Agneby""}}"
"{'type': 'node', 'id': 6320440490, 'lat': 5.9302448, 'lon': -4.219722, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande Pharmacie Commerce'}}"
"{'type': 'node', 'id': 6466415860, 'lat': 6.7284689, 'lon': -3.5079145, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique médicale saint david'}}"
"{'type': 'node', 'id': 6466420560, 'lat': 6.7414124, 'lon': -3.5057019, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Providence'}}"
"{'type': 'node', 'id': 6482114690, 'lat': 6.3887875, 'lon': -3.8880214, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande pharmacie'}}"
"{'type': 'node', 'id': 6482115856, 'lat': 6.0929274, 'lon': -3.8640203, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie ADZOPE'}}"
"{'type': 'node', 'id': 6652804768, 'lat': 7.0567227, 'lon': -3.9608085, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Paix', 'opening_hours': 'Mo-Fr 08:00-20:00'}}"
"{'type': 'node', 'id': 7720448542, 'lat': 6.7700097, 'lon': -4.2922321, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Urbain de Assié-Koumassi'}}"
"{'type': 'node', 'id': 7722307385, 'lat': 6.7259274, 'lon': -3.4973745, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Dispensaire Urbain de Dioulakro'}}"
"{'type': 'node', 'id': 7741436327, 'lat': 6.8251613, 'lon': -3.5696308, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Centre de Santé Urbain d'Amelekia""}}"
