OSM_Data
"{'type': 'node', 'id': 4041551651, 'lat': 29.7053042, 'lon': 105.7220871, 'tags': {'amenity': 'pharmacy', 'name': '太乙堂大药房'}}"
"{'type': 'node', 'id': 4041632492, 'lat': 29.7055439, 'lon': 105.7103698, 'tags': {'amenity': 'hospital', 'name': '大足区中医院'}}"
"{'type': 'node', 'id': 4564692335, 'lat': 29.5821918, 'lon': 106.3097153, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '好德医院'}}"
"{'type': 'node', 'id': 5279582476, 'lat': 30.1199565, 'lon': 105.3506681, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '安岳县中医医院(新区总院)'}}"
"{'type': 'node', 'id': 5299340251, 'lat': 29.8587883, 'lon': 105.9703712, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '铜梁区侣俸中心卫生院'}}"
"{'type': 'node', 'id': 6712730085, 'lat': 30.7398208, 'lon': 106.0576606, 'tags': {'amenity': 'hospital', 'name': 'hospital'}}"
"{'type': 'node', 'id': 6720241827, 'lat': 29.9833757, 'lon': 106.254666, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '和平医院'}}"
"{'type': 'node', 'id': 6720241828, 'lat': 29.9830725, 'lon': 106.2550945, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '骨康医院'}}"
"{'type': 'node', 'id': 6723423830, 'lat': 29.9921428, 'lon': 106.2623118, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '长松诊所'}}"
"{'type': 'node', 'id': 6723423834, 'lat': 29.9940274, 'lon': 106.2609454, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '友好医院'}}"
"{'type': 'node', 'id': 7230122597, 'lat': 29.6082118, 'lon': 106.2988124, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '桐君阁大药房'}}"
"{'type': 'node', 'id': 7333778917, 'lat': 30.0248336, 'lon': 106.2792659, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '黑岩村卫生室'}}"
"{'type': 'node', 'id': 7410323337, 'lat': 30.0272634, 'lon': 106.2917193, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '合川钓鱼城街道巴湾社区卫服务站'}}"
"{'type': 'node', 'id': 7410323338, 'lat': 30.0119262, 'lon': 106.2739524, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '合川钓鱼城街道盐溪桥社区卫服务站'}}"
"{'type': 'node', 'id': 7410323339, 'lat': 29.9920523, 'lon': 106.2634702, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '合川钓鱼城街道别凡溪社区卫服务站'}}"
"{'type': 'node', 'id': 7473192262, 'lat': 30.0400988, 'lon': 106.1477247, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '重庆市合川区中医院渭沱分院'}}"
"{'type': 'node', 'id': 7473815398, 'lat': 30.0862044, 'lon': 106.1670056, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '大石中心医院尖山分院二门诊'}}"
"{'type': 'node', 'id': 7475243616, 'lat': 30.0009298, 'lon': 106.131233, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '铜溪镇中心卫生院'}}"
"{'type': 'node', 'id': 7829059275, 'lat': 29.9420477, 'lon': 106.3479981, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 7829063686, 'lat': 29.9431756, 'lon': 106.3491578, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '金利大药房'}}"
"{'type': 'node', 'id': 7829063721, 'lat': 29.9440728, 'lon': 106.3496022, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '桐君阁大药房'}}"
"{'type': 'node', 'id': 7963992306, 'lat': 29.9830599, 'lon': 106.2498227, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '希尔安大药房'}}"
"{'type': 'node', 'id': 7963992348, 'lat': 29.9863467, 'lon': 106.2660058, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '南津街街道白塔社区卫生服务站'}}"
"{'type': 'node', 'id': 8121387545, 'lat': 29.4304985, 'lon': 106.2739448, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Zhenshanmei Pharmacy'}}"
"{'type': 'node', 'id': 8121387546, 'lat': 29.4284869, 'lon': 106.2810035, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Fucheng Pharmacy'}}"
"{'type': 'node', 'id': 8889723004, 'lat': 30.7670813, 'lon': 106.0546042, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '王定华诊所'}}"
"{'type': 'node', 'id': 9459809781, 'lat': 29.970108, 'lon': 106.292395, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '合川区东津沱社区卫生服务中心'}}"
"{'type': 'node', 'id': 11128844920, 'lat': 29.7066152, 'lon': 105.7118842, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 11327810211, 'lat': 29.9181647, 'lon': 105.6874463, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '顶新卫生院'}}"
"{'type': 'node', 'id': 11665553775, 'lat': 29.6121932, 'lon': 106.2422736, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '传染病医院'}}"
"{'type': 'node', 'id': 12147277900, 'lat': 29.6267684, 'lon': 106.3399838, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '陈家桥社区医院'}}"
"{'type': 'node', 'id': 12299653835, 'lat': 29.6136229, 'lon': 106.2881707, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '金梦谷大药房'}}"
