OSM_Data
"{'type': 'node', 'id': 3743372147, 'lat': 11.7212118, 'lon': 1.7641685, 'tags': {'amenity': 'clinic', 'name': 'Centre Médical De Mahadaga', 'operator': 'ARC', 'operator:type': 'ngo', 'source': 'survey'}}"
"{'type': 'node', 'id': 4402436093, 'lat': 11.1276428, 'lon': 2.9304851, 'tags': {'amenity': 'pharmacy', 'name': 'NA SIARA', 'name:en': 'NA SIARA', 'name:fr': 'NA SIARA'}}"
"{'type': 'node', 'id': 4402557389, 'lat': 11.1326941, 'lon': 2.9266025, 'tags': {'amenity': 'pharmacy', 'name': 'Albarka', 'name:en': 'Albarka', 'name:fr': 'Albarka'}}"
"{'type': 'node', 'id': 6821955729, 'lat': 11.6475736, 'lon': 2.540068, 'tags': {'amenity': 'clinic'}}"
"{'type': 'node', 'id': 6851651731, 'lat': 11.2980549, 'lon': 2.4344856, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie de Banikoara', 'wheelchair': 'yes'}}"
"{'type': 'node', 'id': 8985401860, 'lat': 11.8728211, 'lon': 1.7783689, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9006508198, 'lat': 11.9572067, 'lon': 1.9903225, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9028613917, 'lat': 11.1141565, 'lon': 2.9365741, 'tags': {'amenity': 'hospital', 'name': 'Hôpital Arabe'}}"
"{'type': 'node', 'id': 9209544593, 'lat': 11.8822244, 'lon': 1.8644813, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 10567589904, 'lat': 11.1973173, 'lon': 2.3177971, 'tags': {'amenity': 'hospital', 'name': 'Centre de santé'}}"
"{'type': 'node', 'id': 10567600776, 'lat': 11.1741405, 'lon': 2.2948266, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie'}}"
"{'type': 'node', 'id': 11393841777, 'lat': 11.7197824, 'lon': 1.7716205, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11403359554, 'lat': 11.6557722, 'lon': 1.8102162, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11403361802, 'lat': 11.6098739, 'lon': 1.8246035, 'tags': {'amenity': 'hospital', 'name': 'CSPS'}}"
"{'type': 'node', 'id': 11546105832, 'lat': 11.8370962, 'lon': 1.9142255, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11551887037, 'lat': 11.8027844, 'lon': 1.8769415, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11583873607, 'lat': 11.7341045, 'lon': 1.8208753, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11640999644, 'lat': 11.8252288, 'lon': 1.7963639, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11728321888, 'lat': 11.6269944, 'lon': 2.0160153, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
