OSM_Data
"{'type': 'node', 'id': 3540398298, 'lat': 29.3571481, 'lon': 104.7634704, 'tags': {'amenity': 'hospital', 'name': '自贡市第一人民医院'}}"
"{'type': 'node', 'id': 3540732369, 'lat': 29.3541243, 'lon': 104.7737481, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '自贡市第四人民医院'}}"
"{'type': 'node', 'id': 5279582476, 'lat': 30.1199565, 'lon': 105.3506681, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '安岳县中医医院(新区总院)'}}"
"{'type': 'node', 'id': 5504227933, 'lat': 29.999049, 'lon': 104.8847833, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '资阳市小院中心卫生院'}}"
"{'type': 'node', 'id': 5504227935, 'lat': 29.9990845, 'lon': 104.886093, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '黄牙科'}}"
"{'type': 'node', 'id': 5663459470, 'lat': 29.2068428, 'lon': 105.0924421, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '井坝村卫生室'}}"
"{'type': 'node', 'id': 5674335219, 'lat': 29.2097482, 'lon': 105.092452, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '盐都大药房'}}"
"{'type': 'node', 'id': 6269215382, 'lat': 30.1247582, 'lon': 104.6202238, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 6269536728, 'lat': 30.1103187, 'lon': 104.6293375, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6269536729, 'lat': 30.1109109, 'lon': 104.6288977, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 7165314727, 'lat': 30.1524435, 'lon': 104.6258717, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 7566133576, 'lat': 30.1171251, 'lon': 104.9093243, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 8872495852, 'lat': 29.3159631, 'lon': 104.8085791, 'tags': {'amenity': 'clinic', 'name': '康明诊所', 'phone': '+86 153 2837 6037'}}"
"{'type': 'node', 'id': 8872495871, 'lat': 29.3144806, 'lon': 104.8088453, 'tags': {'amenity': 'pharmacy', 'name': '健芝源大药房'}}"
"{'type': 'node', 'id': 8872495875, 'lat': 29.3145258, 'lon': 104.8093622, 'tags': {'amenity': 'pharmacy', 'name': '和平药房'}}"
"{'type': 'node', 'id': 8872495892, 'lat': 29.3146961, 'lon': 104.8106835, 'tags': {'amenity': 'pharmacy', 'name': '健之佳健康药房'}}"
"{'type': 'node', 'id': 8872495896, 'lat': 29.3148729, 'lon': 104.8106853, 'tags': {'amenity': 'pharmacy', 'name': '春天大药房'}}"
"{'type': 'node', 'id': 8926001704, 'lat': 29.1845677, 'lon': 104.9561867, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '富顺天善眼科医院'}}"
"{'type': 'node', 'id': 9163874661, 'lat': 30.3905085, 'lon': 104.5444041, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '杏林大药房'}}"
"{'type': 'node', 'id': 9163874662, 'lat': 30.3911387, 'lon': 104.5441827, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '圆心大药房'}}"
"{'type': 'node', 'id': 9622767177, 'lat': 29.2430845, 'lon': 105.0838018, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '骑龙镇社区医院'}}"
"{'type': 'node', 'id': 11121440116, 'lat': 29.4430359, 'lon': 104.7428584, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '界牌镇卫生院'}}"
"{'type': 'node', 'id': 12181868042, 'lat': 30.2935918, 'lon': 104.3645441, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '天府校区医院'}}"
