OSM_Data
"{'type': 'node', 'id': 4780270221, 'lat': 21.8613394, 'lon': 106.7552192, 'tags': {'amenity': 'pharmacy', 'name:vi': 'Nhà Thuôc'}}"
"{'type': 'node', 'id': 4780440521, 'lat': 21.8585808, 'lon': 106.7590206, 'tags': {'amenity': 'pharmacy', 'name:vi': 'Đinh đức thấu'}}"
"{'type': 'node', 'id': 5372787721, 'lat': 21.9499432, 'lon': 106.6962045, 'tags': {'amenity': 'pharmacy', 'name:en': 'Pharmacy'}}"
"{'type': 'node', 'id': 12014334178, 'lat': 22.8385725, 'lon': 107.2009174, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '民生口腔'}}"
"{'type': 'node', 'id': 12014338933, 'lat': 22.8377131, 'lon': 107.201695, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '诺贝尔口腔'}}"
"{'type': 'node', 'id': 12014357486, 'lat': 22.8388255, 'lon': 107.2014631, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '许明口腔'}}"
"{'type': 'node', 'id': 12014399269, 'lat': 22.8362503, 'lon': 107.2017784, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '国源药业'}}"
"{'type': 'node', 'id': 12015889133, 'lat': 22.1100116, 'lon': 106.7551975, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '一心堂'}}"
"{'type': 'node', 'id': 12034939961, 'lat': 22.1103471, 'lon': 106.756015, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '蓝天药业'}}"
"{'type': 'node', 'id': 12048648051, 'lat': 22.1095389, 'lon': 106.7569234, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '国源药房'}}"
"{'type': 'node', 'id': 12098252072, 'lat': 22.8359821, 'lon': 107.2041768, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '方略药业'}}"
"{'type': 'node', 'id': 12320058827, 'lat': 22.8354033, 'lon': 107.2036005, 'tags': {'healthcare': 'yes', 'healthcare:speciality': 'chiropractic', 'name': '杰康正骨', 'office': 'therapist'}}"
"{'type': 'node', 'id': 12320058830, 'lat': 22.8354465, 'lon': 107.2042489, 'tags': {'healthcare': 'alternative', 'healthcare:speciality': 'acupuncture', 'name': '养生园艾灸馆'}}"
