OSM_Data
"{'type': 'node', 'id': 3052008554, 'lat': -4.0842372, 'lon': -63.1407219, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Independência', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Drogaria Drogalar'}}"
"{'type': 'node', 'id': 3052016710, 'lat': -4.0839932, 'lon': -63.1412202, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Independência', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Drogaria São Francisco'}}"
"{'type': 'node', 'id': 3052141188, 'lat': -4.0891775, 'lon': -63.1439498, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Gonçalves Ledo', 'addr:suburb': 'Espírito Santo', 'amenity': 'hospital', 'emergency': 'no', 'healthcare': 'hospital', 'name': 'Unidade Básica de Saúde - Espírito Santo'}}"
"{'type': 'node', 'id': 3052184856, 'lat': -4.0913041, 'lon': -63.1481343, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Gonçalves Ledo', 'addr:suburb': 'Espírito santo', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 3052226876, 'lat': -4.0907176, 'lon': -63.1369458, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Vieira Martins', 'addr:suburb': 'Itamarati', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 3052679243, 'lat': -4.0896554, 'lon': -63.1388248, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Santos Dumont', 'addr:suburb': 'Duque de Caxias', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Unidade Básica de Saúde - Duque de Caxias'}}"
"{'type': 'node', 'id': 3052684030, 'lat': -4.089827, 'lon': -63.1359978, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Vieira Martins', 'addr:suburb': 'Santa Helena', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Unidade Básica de Saúde - Santa Helena'}}"
"{'type': 'node', 'id': 3052684813, 'lat': -4.0881807, 'lon': -63.136521, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Vieira Martins', 'addr:suburb': 'Chagas Aguiar', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 3052709033, 'lat': -4.0873974, 'lon': -63.1416801, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Gonçalves Ledo', 'addr:suburb': 'Centro', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 3283772521, 'lat': -4.0852845, 'lon': -63.1400294, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Independência', 'addr:suburb': 'Centro', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Unidade Básica de Saúde - Centro'}}"
"{'type': 'node', 'id': 3283784637, 'lat': -4.0842933, 'lon': -63.143745, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Dois de Dezembro', 'addr:suburb': 'Centro', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 3283786206, 'lat': -4.0842972, 'lon': -63.1437849, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Rua Dois de Dezembro', 'addr:suburb': 'Centro', 'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'Consultório Odontológico'}}"
"{'type': 'node', 'id': 3283809616, 'lat': -4.0873877, 'lon': -63.1463771, 'tags': {'addr:city': 'Coari', 'addr:postcode': '69460-000', 'addr:street': 'Dois de Dezembro', 'addr:suburb': 'Tauá-mirin', 'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
