OSM_Data
"{'type': 'node', 'id': 3743372147, 'lat': 11.7212118, 'lon': 1.7641685, 'tags': {'amenity': 'clinic', 'name': 'Centre Médical De Mahadaga', 'operator': 'ARC', 'operator:type': 'ngo', 'source': 'survey'}}"
"{'type': 'node', 'id': 3743389485, 'lat': 12.0750023, 'lon': 1.7869202, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'CSPS Urbain de Diapaga', 'operator:type': 'public', 'source': 'survey'}}"
"{'type': 'node', 'id': 8937021639, 'lat': 11.9700195, 'lon': 1.5637064, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8947264144, 'lat': 11.9246342, 'lon': 1.6257378, 'tags': {'amenity': 'hospital', 'name': 'Centre médical', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8968621277, 'lat': 11.9734357, 'lon': 1.7282613, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8985401860, 'lat': 11.8728211, 'lon': 1.7783689, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9006508198, 'lat': 11.9572067, 'lon': 1.9903225, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 9209544593, 'lat': 11.8822244, 'lon': 1.8644813, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11188270552, 'lat': 11.8036245, 'lon': 1.6623929, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11188270715, 'lat': 11.8218081, 'lon': 1.5308346, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11188271319, 'lat': 11.7649168, 'lon': 1.6958106, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11205908628, 'lat': 11.8557211, 'lon': 1.695246, 'tags': {'amenity': 'hospital', 'name': 'Centre médical'}}"
"{'type': 'node', 'id': 11236663162, 'lat': 11.7871792, 'lon': 1.6471861, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11267100593, 'lat': 11.7624931, 'lon': 1.5102795, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11272947030, 'lat': 11.7181055, 'lon': 1.6115946, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11293929310, 'lat': 11.5895665, 'lon': 1.5265846, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11306996696, 'lat': 11.6060931, 'lon': 1.5912755, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11332922314, 'lat': 11.6575979, 'lon': 1.7027199, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11337935870, 'lat': 11.6257741, 'lon': 1.6661681, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11355728581, 'lat': 11.6780264, 'lon': 1.7217529, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11393841777, 'lat': 11.7197824, 'lon': 1.7716205, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11403359554, 'lat': 11.6557722, 'lon': 1.8102162, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11403361802, 'lat': 11.6098739, 'lon': 1.8246035, 'tags': {'amenity': 'hospital', 'name': 'CSPS'}}"
"{'type': 'node', 'id': 11546105832, 'lat': 11.8370962, 'lon': 1.9142255, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11551887037, 'lat': 11.8027844, 'lon': 1.8769415, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11583873607, 'lat': 11.7341045, 'lon': 1.8208753, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11610000316, 'lat': 11.8156122, 'lon': 1.7398632, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11616149099, 'lat': 11.7924935, 'lon': 1.7389821, 'tags': {'amenity': 'hospital', 'name': 'Centre Médical', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11640999644, 'lat': 11.8252288, 'lon': 1.7963639, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11728321888, 'lat': 11.6269944, 'lon': 2.0160153, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire', 'operator': 'Public'}}"
"{'type': 'node', 'id': 11821856845, 'lat': 11.9329545, 'lon': 1.4958358, 'tags': {'amenity': 'hospital', 'name': 'CSPS', 'operator': 'Public'}}"
