OSM_Data
"{'type': 'node', 'id': 4941384803, 'lat': -4.269659, 'lon': -41.7736365, 'tags': {'amenity': 'pharmacy', 'name': 'Farmácia 24 Horas', 'opening_hours': '24/7'}}"
"{'type': 'node', 'id': 4941389859, 'lat': -4.2739335, 'lon': -41.7803782, 'tags': {'amenity': 'pharmacy', 'brand': 'Drogaria Globo', 'brand:wikidata': 'Q56351623', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Globo'}}"
"{'type': 'node', 'id': 4941389862, 'lat': -4.2746298, 'lon': -41.7789637, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 4941389864, 'lat': -4.274869, 'lon': -41.7789506, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6404322649, 'lat': -3.809937, 'lon': -41.8224312, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Unidade Básica Avançada de Saúde'}}"
"{'type': 'node', 'id': 9081152520, 'lat': -3.5075749, 'lon': -42.1941612, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'UMS de Joaquim Pires'}}"
"{'type': 'node', 'id': 9496473308, 'lat': -4.4318351, 'lon': -42.3590286, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9498459657, 'lat': -4.1586734, 'lon': -42.6016183, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9501133736, 'lat': -4.223549, 'lon': -42.2856209, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9502752195, 'lat': -4.2310703, 'lon': -42.0776461, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9503622590, 'lat': -3.5381417, 'lon': -41.5785299, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9505692795, 'lat': -3.3689206, 'lon': -41.5765049, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 9505783737, 'lat': -3.3341201, 'lon': -42.00603, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
