OSM_Data
"{'type': 'node', 'id': 2483017354, 'lat': 6.6227975, 'lon': -5.913364, 'tags': {'addr:city': 'Sinfra', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Sinfra'}}"
"{'type': 'node', 'id': 4052762164, 'lat': 5.5724043, 'lon': -6.5927899, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Sainte Delphine'}}"
"{'type': 'node', 'id': 4257720847, 'lat': 6.1268767, 'lon': -5.9469532, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Centrale'}}"
"{'type': 'node', 'id': 4262572089, 'lat': 5.830018, 'lon': -5.3593521, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Nouvelle'}}"
"{'type': 'node', 'id': 4262572389, 'lat': 6.2362538, 'lon': -6.1722082, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Sekle'}}"
"{'type': 'node', 'id': 4437956790, 'lat': 6.11337, 'lon': -5.9348493, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Keita', 'name:fr': 'Clinique Keita'}}"
"{'type': 'node', 'id': 4437982089, 'lat': 6.1291939, 'lon': -5.94434, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Principale', 'name:fr': 'Pharmacie Principale'}}"
"{'type': 'node', 'id': 4442502540, 'lat': 6.1324092, 'lon': -5.9432634, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Sainte Pauline', 'operator': 'GAGNOA'}}"
"{'type': 'node', 'id': 4442508830, 'lat': 6.1288036, 'lon': -5.9396182, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Infirmerie CIE Gagnoa'}}"
"{'type': 'node', 'id': 4442516135, 'lat': 6.1423458, 'lon': -5.9523963, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique le Ghery'}}"
"{'type': 'node', 'id': 4577203705, 'lat': 6.1408309, 'lon': -5.9468009, 'tags': {'addr:city': 'Gagnoa', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Ahouane', 'operator': 'Gagnoa'}}"
"{'type': 'node', 'id': 4665830501, 'lat': 6.7816361, 'lon': -6.5495723, 'tags': {'amenity': 'doctors', 'fixme': 'no buildings visible, please confirm location.', 'healthcare': 'doctor', 'name': 'Kekegoz', 'name:fr': 'Kekegoz'}}"
"{'type': 'node', 'id': 5321457121, 'lat': 6.2883133, 'lon': -6.281265, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Centre de santé Dignago'}}"
"{'type': 'node', 'id': 5773636354, 'lat': 5.7836165, 'lon': -6.6025582, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du SUD-OUEST'}}"
