OSM_Data
"{'type': 'node', 'id': 2933118523, 'lat': -15.9428605, 'lon': -50.1359416, 'tags': {'amenity': 'clinic', 'emergency': 'yes', 'healthcare': 'clinic', 'name': 'SAMU'}}"
"{'type': 'node', 'id': 4146686178, 'lat': -15.3094374, 'lon': -49.5933733, 'tags': {'addr:city': 'Ceres', 'addr:housenumber': '100', 'addr:postcode': '76300-000', 'addr:street': 'Rua São Patrício', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hospital São Patrício', 'ref:CNES': '2337495', 'ref:vatin': 'BR01380237000108'}}"
"{'type': 'node', 'id': 4269622090, 'lat': -15.3087701, 'lon': -49.5965414, 'tags': {'addr:housenumber': '88', 'addr:postcode': '76300-000', 'addr:street': 'Rua Joao R Silva ou 09', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Esplêndida - Centro de Excelência em Saúde e Estética', 'phone': '+55 62 3307 1133'}}"
"{'type': 'node', 'id': 4381258422, 'lat': -15.4506501, 'lon': -50.3605449, 'tags': {'addr:postcode': '76740-000', 'addr:suburb': 'Centro', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hospital Materno Infantil Faina', 'operator:ref:vatin': 'BR25141318000113', 'phone': '+55 62 386 1491', 'ref:CNES': '2437678'}}"
"{'type': 'node', 'id': 4437964531, 'lat': -16.4069225, 'lon': -49.6074618, 'tags': {'addr:city': 'Inhumas', 'amenity': 'clinic', 'emergency': 'no', 'name': 'Unidade Básica de Saúde da Família', 'opening_hours': '07:00-13:00'}}"
"{'type': 'node', 'id': 4530629390, 'lat': -15.9338013, 'lon': -50.1406263, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmácia Bom Jesus', 'name:pt': 'Farmácia Bom Jesus'}}"
"{'type': 'node', 'id': 5201090621, 'lat': -15.3109496, 'lon': -49.5942026, 'tags': {'amenity': 'clinic', 'name': 'Cdc'}}"
"{'type': 'node', 'id': 6595254428, 'lat': -16.2027974, 'lon': -50.3131179, 'tags': {'addr:housenumber': '1128', 'addr:postcode': '76160-000', 'addr:street': 'Avenida Norte Sul', 'addr:suburb': 'Centro', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hospital Municipal São Vicente de Paula', 'operator:ref:vatin': 'BR02164804000151', 'phone': '+55 62 3679 1745', 'ref:CNES': '2441500'}}"
"{'type': 'node', 'id': 8560236893, 'lat': -16.5133641, 'lon': -50.3746496, 'tags': {'addr:city': 'São Luis de Montes Belos', 'addr:postcode': '76100-000', 'addr:street': 'Rua 03', 'addr:suburb': 'Vila Popular', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'general', 'name': 'Hospital Regional de São Luís de Montes Belos - Dr. Geraldo Landó', 'operator:ref:vatin': 'BR02529964000157', 'phone': '+55 64 99333-5798', 'ref:CNES': '2382474', 'website': 'https://hospital-drgeraldolando.org.br/'}}"
"{'type': 'node', 'id': 9778097614, 'lat': -15.9328542, 'lon': -50.1406453, 'tags': {'amenity': 'pharmacy', 'name': 'Nossa rede'}}"
"{'type': 'node', 'id': 9778107108, 'lat': -15.9347669, 'lon': -50.1430968, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Drogaria Vila Boa'}}"
"{'type': 'node', 'id': 10984473117, 'lat': -15.9361165, 'lon': -50.1429343, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farma Vida'}}"
"{'type': 'node', 'id': 10984473118, 'lat': -15.9362196, 'lon': -50.1429224, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmácia do Joaquim'}}"
"{'type': 'node', 'id': 11047283086, 'lat': -15.9389995, 'lon': -50.1437443, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': ""Clínica Sant'Ana""}}"
"{'type': 'node', 'id': 11047319863, 'lat': -15.9392757, 'lon': -50.1426416, 'tags': {'healthcare': 'laboratory', 'name': 'Laboratório Cabral'}}"
"{'type': 'node', 'id': 11232391283, 'lat': -15.9285397, 'lon': -50.1457001, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Unidade Básica de Saúde Odilon Santana de Camargo', 'operator': 'Secretaria Municipal de Saúde de Goiás', 'operator:type': 'government'}}"
"{'type': 'node', 'id': 11390372789, 'lat': -15.9396928, 'lon': -50.1530556, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clínica Médica e Psicóloga Rio Vermelho'}}"
"{'type': 'node', 'id': 11493151070, 'lat': -15.9426986, 'lon': -50.1422147, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmácia Goiás'}}"
"{'type': 'node', 'id': 11508597718, 'lat': -16.5205838, 'lon': -50.3688678, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Instituto Fausto Messias'}}"
"{'type': 'node', 'id': 11526086005, 'lat': -16.5380027, 'lon': -50.3700771, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Policlínica'}}"
"{'type': 'node', 'id': 11527751838, 'lat': -16.5218489, 'lon': -50.3712276, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Drogaria Popular'}}"
"{'type': 'node', 'id': 11527770311, 'lat': -16.522565, 'lon': -50.3707211, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Golden Med'}}"
