OSM_Data
"{'type': 'node', 'id': 3764959467, 'lat': 35.3982688, 'lon': 116.5879338, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '济宁市第一人民医院'}}"
"{'type': 'node', 'id': 3791125836, 'lat': 34.8244967, 'lon': 115.5412088, 'tags': {'amenity': 'hospital', 'name': '曹县公费医院'}}"
"{'type': 'node', 'id': 3835329558, 'lat': 34.8327763, 'lon': 115.5240195, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '住院药房'}}"
"{'type': 'node', 'id': 3835348057, 'lat': 34.8324575, 'lon': 115.5236386, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '发热门诊'}}"
"{'type': 'node', 'id': 3835349957, 'lat': 34.8326574, 'lon': 115.5240249, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': '住院处办公室'}}"
"{'type': 'node', 'id': 5166718440, 'lat': 34.7849888, 'lon': 116.083371, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '誉天大药房'}}"
"{'type': 'node', 'id': 5217640702, 'lat': 34.7773456, 'lon': 116.1025393, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '单州口腔医院'}}"
"{'type': 'node', 'id': 6595034807, 'lat': 35.4099647, 'lon': 116.5840741, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '牙科医院'}}"
"{'type': 'node', 'id': 7370644105, 'lat': 35.9209313, 'lon': 116.4661248, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '东平县疾病预防控制中心'}}"
"{'type': 'node', 'id': 7469303546, 'lat': 35.9342508, 'lon': 116.4645358, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '中医治未病中心'}}"
"{'type': 'node', 'id': 7600096185, 'lat': 35.9122959, 'lon': 116.4501288, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '顺安大药房'}}"
"{'type': 'node', 'id': 7600125787, 'lat': 35.917141, 'lon': 116.4661173, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 7627815534, 'lat': 35.9207627, 'lon': 116.4659883, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '东平县疾病预防接种门诊'}}"
"{'type': 'node', 'id': 7627815645, 'lat': 35.9170109, 'lon': 116.4661053, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '范村大药房'}}"
"{'type': 'node', 'id': 7641852967, 'lat': 35.9199818, 'lon': 116.4655073, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '葆春堂大药房'}}"
"{'type': 'node', 'id': 7667053737, 'lat': 35.919705, 'lon': 116.4608974, 'tags': {'amenity': 'clinic', 'healthcare': 'alternative;clinic', 'name': '四海城中西医结合诊所', 'phone': '+86 158 6600 1604'}}"
"{'type': 'node', 'id': 7679812609, 'lat': 35.9211306, 'lon': 116.4659391, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '东平县皮肤诊所'}}"
"{'type': 'node', 'id': 8785120223, 'lat': 34.9505524, 'lon': 115.8834571, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武县人民医院'}}"
"{'type': 'node', 'id': 8953414694, 'lat': 34.9503589, 'lon': 115.8902818, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武县同济医院'}}"
