OSM_Data
"{'type': 'node', 'id': 3100445654, 'lat': 9.6603069, 'lon': -73.7476821, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 3100445661, 'lat': 9.6601641, 'lon': -73.7479052, 'tags': {'amenity': 'hospital', 'name': 'Hospital'}}"
"{'type': 'node', 'id': 3100445664, 'lat': 9.6603069, 'lon': -73.7486477, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 3100445665, 'lat': 9.6602223, 'lon': -73.7487603, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 4436290889, 'lat': 9.0095179, 'lon': -73.9712399, 'tags': {'amenity': 'pharmacy', 'name': 'La Rebaja n° 3', 'name:es': 'La Rebaja n° 3'}}"
"{'type': 'node', 'id': 6955955486, 'lat': 9.1922213, 'lon': -72.6670508, 'tags': {'amenity': 'hospital', 'name': 'Ambulatorio Rural'}}"
"{'type': 'node', 'id': 10979947040, 'lat': 8.9912312, 'lon': -73.9716342, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 10979947041, 'lat': 8.9930392, 'lon': -73.9714367, 'tags': {'amenity': 'pharmacy', 'brand': 'Farmacenter', 'brand:wikidata': 'Q62563928', 'healthcare': 'pharmacy', 'name': 'Farmacenter'}}"
"{'type': 'node', 'id': 10979947051, 'lat': 8.9932943, 'lon': -73.9707382, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 10979947052, 'lat': 8.993289, 'lon': -73.9710291, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 10979947058, 'lat': 8.9926942, 'lon': -73.9705893, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist'}}"
"{'type': 'node', 'id': 10979947067, 'lat': 8.9928412, 'lon': -73.9710761, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 10979947070, 'lat': 8.9929459, 'lon': -73.9711016, 'tags': {'healthcare': 'laboratory'}}"
"{'type': 'node', 'id': 10979947073, 'lat': 8.9931313, 'lon': -73.971174, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 11034558220, 'lat': 9.0079959, 'lon': -73.971373, 'tags': {'healthcare': 'yes', 'name': 'La Candelaria'}}"
