OSM_Data
"{'type': 'node', 'id': 3392317860, 'lat': 44.7626104, 'lon': 129.683339, 'tags': {'amenity': 'hospital', 'name': '林业医院'}}"
"{'type': 'node', 'id': 5382019748, 'lat': 45.3470917, 'lon': 130.8362824, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '华泰'}}"
"{'type': 'node', 'id': 5382019751, 'lat': 45.3472086, 'lon': 130.837366, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '宝康医药连锁'}}"
"{'type': 'node', 'id': 5382019758, 'lat': 45.3474323, 'lon': 130.8377942, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '天成药店'}}"
"{'type': 'node', 'id': 5382019759, 'lat': 45.3474736, 'lon': 130.837873, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 5382045976, 'lat': 45.3476625, 'lon': 130.8382184, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '迈典口腔门诊部'}}"
"{'type': 'node', 'id': 5382045993, 'lat': 45.3517439, 'lon': 130.8404827, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5382085226, 'lat': 45.3448997, 'lon': 130.839356, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '东方药店'}}"
"{'type': 'node', 'id': 5408899303, 'lat': 44.6908646, 'lon': 130.5363551, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5408899307, 'lat': 44.690749, 'lon': 130.5341299, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '马桥河镇医院'}}"
"{'type': 'node', 'id': 5409044239, 'lat': 44.9246388, 'lon': 130.5204025, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '穆棱市人民医院'}}"
"{'type': 'node', 'id': 5426227083, 'lat': 45.2917072, 'lon': 130.9478014, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '康新医院'}}"
"{'type': 'node', 'id': 5643716229, 'lat': 45.2294555, 'lon': 130.4010123, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '奎山骨科医院'}}"
"{'type': 'node', 'id': 5738883508, 'lat': 45.283553, 'lon': 130.9464279, 'tags': {'healthcare': 'yes', 'name': '疾病预防控制中心'}}"
"{'type': 'node', 'id': 5800103104, 'lat': 45.308271, 'lon': 130.9417745, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '铁路医院'}}"
"{'type': 'node', 'id': 5814145053, 'lat': 45.3144104, 'lon': 130.9421114, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '鸡西大众医院'}}"
"{'type': 'node', 'id': 6197789798, 'lat': 45.3562809, 'lon': 130.8406669, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '誉寿堂药店', 'phone': '2579929'}}"
"{'type': 'node', 'id': 7743814303, 'lat': 45.3017127, 'lon': 130.918067, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '锐健大药房'}}"
"{'type': 'node', 'id': 7743840088, 'lat': 45.3019138, 'lon': 130.9189297, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '同安药店'}}"
"{'type': 'node', 'id': 7743840089, 'lat': 45.3019898, 'lon': 130.9192713, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '鑫丰药店'}}"
"{'type': 'node', 'id': 7743840090, 'lat': 45.3013492, 'lon': 130.9191579, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 7743840092, 'lat': 45.3011688, 'lon': 130.9182684, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '厚德医药'}}"
"{'type': 'node', 'id': 7743840094, 'lat': 45.3012135, 'lon': 130.918427, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '王永利中医综合诊所'}}"
"{'type': 'node', 'id': 7743840095, 'lat': 45.3012283, 'lon': 130.918478, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '我爱我家医药连锁建平福药房'}}"
"{'type': 'node', 'id': 7872491087, 'lat': 45.2905272, 'lon': 130.9433271, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'general', 'name': '鸡兴村卫生所'}}"
"{'type': 'node', 'id': 7997083653, 'lat': 45.2866132, 'lon': 130.2520635, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'general', 'name': '镇北卫生室'}}"
"{'type': 'node', 'id': 7997083659, 'lat': 45.2941393, 'lon': 130.2671837, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': '李家起名馆'}}"
"{'type': 'node', 'id': 7997083660, 'lat': 45.2942282, 'lon': 130.2672455, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': '冉家起名馆'}}"
"{'type': 'node', 'id': 8123915354, 'lat': 45.2828007, 'lon': 130.9402232, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '宝康医药连锁'}}"
"{'type': 'node', 'id': 8123915355, 'lat': 45.2827194, 'lon': 130.9403855, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '世纪辰浮大药房'}}"
"{'type': 'node', 'id': 8123915359, 'lat': 45.2836696, 'lon': 130.9387622, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '华泰大药房'}}"
"{'type': 'node', 'id': 8664348404, 'lat': 45.3497719, 'lon': 130.8425039, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '南京同仁堂'}}"
"{'type': 'node', 'id': 8671838667, 'lat': 45.356039, 'lon': 130.8411651, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '惠仁堂大药房', 'phone': '2576116'}}"
