OSM_Data
"{'type': 'node', 'id': 3296326431, 'lat': 34.8193193, 'lon': 117.2962128, 'tags': {'amenity': 'pharmacy', 'name': '百健药品超市'}}"
"{'type': 'node', 'id': 3296334063, 'lat': 34.8186962, 'lon': 117.2962047, 'tags': {'amenity': 'pharmacy', 'name': '济世堂药房'}}"
"{'type': 'node', 'id': 3296388040, 'lat': 34.8180326, 'lon': 117.2962014, 'tags': {'amenity': 'pharmacy', 'name': '天缘药品超市'}}"
"{'type': 'node', 'id': 3764959467, 'lat': 35.3982688, 'lon': 116.5879338, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '济宁市第一人民医院'}}"
"{'type': 'node', 'id': 4511501474, 'lat': 34.2879755, 'lon': 117.1856258, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '清云诊所'}}"
"{'type': 'node', 'id': 4511501848, 'lat': 34.2885705, 'lon': 117.1855664, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '恒昌药店', 'wheelchair': 'no'}}"
"{'type': 'node', 'id': 4532638837, 'lat': 34.2645404, 'lon': 117.1716724, 'tags': {'amenity': 'pharmacy', 'drive_through': 'no', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5570993221, 'lat': 34.2491182, 'lon': 117.1998497, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '徐医附三院'}}"
"{'type': 'node', 'id': 6595034807, 'lat': 35.4099647, 'lon': 116.5840741, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '牙科医院'}}"
"{'type': 'node', 'id': 7413947103, 'lat': 34.2641582, 'lon': 117.1661726, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '徐州市建筑工人医院'}}"
"{'type': 'node', 'id': 7426020301, 'lat': 34.2572518, 'lon': 117.2333166, 'tags': {'healthcare': 'yes', 'name': '云龙区黄山社区卫生服务中心'}}"
"{'type': 'node', 'id': 7426213631, 'lat': 34.2584924, 'lon': 117.226808, 'tags': {'healthcare': 'yes', 'name': '梅园社区卫生服务站'}}"
"{'type': 'node', 'id': 7456211419, 'lat': 34.2854575, 'lon': 117.1831407, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '鼓楼区妇幼保健所'}}"
"{'type': 'node', 'id': 8820921453, 'lat': 34.2660499, 'lon': 117.19683, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '徐州市公共卫生医疗中心门诊部'}}"
"{'type': 'node', 'id': 8940453449, 'lat': 34.2632907, 'lon': 117.150505, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '段庄街道卫生服务中心'}}"
"{'type': 'node', 'id': 11984953501, 'lat': 34.9365411, 'lon': 116.7537616, 'tags': {'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'general', 'name': '鱼台县第三人民医院'}}"
