OSM_Data
"{'type': 'node', 'id': 2705153223, 'lat': 23.9931621, 'lon': 97.9002592, 'tags': {'amenity': 'hospital', 'name': 'ႁူင်းယႃလူင် ၵူႊလွင်ႈလွင်ႈ', 'name:en': 'General Hospital'}}"
"{'type': 'node', 'id': 3393514702, 'lat': 25.0316253, 'lon': 98.5095903, 'tags': {'addr:postcode': '679100', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': '腾冲健君医院', 'wheelchair': 'limited'}}"
"{'type': 'node', 'id': 3394718884, 'lat': 25.0189181, 'lon': 98.4970269, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '腾冲市妇幼保健院'}}"
"{'type': 'node', 'id': 3682199914, 'lat': 24.9721892, 'lon': 98.8642717, 'tags': {'amenity': 'hospital'}}"
"{'type': 'node', 'id': 4728968290, 'lat': 23.9914584, 'lon': 97.9114696, 'tags': {'amenity': 'clinic', 'name:en': 'Dr. Phyo Wai Oo'}}"
"{'type': 'node', 'id': 4729005889, 'lat': 23.9970369, 'lon': 97.9000702, 'tags': {'amenity': 'clinic', 'name:en': 'dr. moe kyaw naing'}}"
"{'type': 'node', 'id': 5018273602, 'lat': 24.8069715, 'lon': 98.2984214, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '梁河县人民医院'}}"
"{'type': 'node', 'id': 5018273654, 'lat': 24.8116859, 'lon': 98.2985462, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '梁河县疾控中心'}}"
"{'type': 'node', 'id': 6325155924, 'lat': 25.112753, 'lon': 99.1649348, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 6325156089, 'lat': 25.1108845, 'lon': 99.1658286, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325156118, 'lat': 25.1121787, 'lon': 99.169055, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325156805, 'lat': 25.1140614, 'lon': 99.1607251, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor'}}"
"{'type': 'node', 'id': 6325168792, 'lat': 25.1212051, 'lon': 99.1638424, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325168805, 'lat': 25.1245606, 'lon': 99.1730482, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 6325168807, 'lat': 25.1252674, 'lon': 99.1731694, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 6325175208, 'lat': 25.1139044, 'lon': 99.1739289, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325175215, 'lat': 25.1141194, 'lon': 99.1704647, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325175216, 'lat': 25.1141467, 'lon': 99.1703157, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325175220, 'lat': 25.1145905, 'lon': 99.1700521, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 6325175235, 'lat': 25.1105233, 'lon': 99.1731548, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325179989, 'lat': 25.124828, 'lon': 99.1693478, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325179991, 'lat': 25.1246199, 'lon': 99.169794, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325179992, 'lat': 25.124479, 'lon': 99.1706573, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325179993, 'lat': 25.1239115, 'lon': 99.1730725, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist'}}"
"{'type': 'node', 'id': 6325180288, 'lat': 25.1247095, 'lon': 99.1735054, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325180397, 'lat': 25.1244561, 'lon': 99.1708841, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic'}}"
"{'type': 'node', 'id': 6325180407, 'lat': 25.1264224, 'lon': 99.1746463, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325192387, 'lat': 25.1107862, 'lon': 99.1710359, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 6325197390, 'lat': 25.1102781, 'lon': 99.1730395, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 12513681278, 'lat': 23.9154723, 'lon': 97.9920789, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'ကျေးလက်ကျန်းမာရေးဌာနခွဲ၊မော်\u200cတောင်း', 'name:my': 'ကျေးလက်ကျန်းမာရေးဌာနခွဲ၊မော်\u200cတောင်း'}}"
