OSM_Data
"{'type': 'node', 'id': 2786430441, 'lat': 28.2045708, 'lon': 112.9699269, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 2786430698, 'lat': 28.2047954, 'lon': 112.9699764, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 2786440636, 'lat': 28.2042917, 'lon': 112.968976, 'tags': {'amenity': 'pharmacy', 'brand': 'Kinney Drugs', 'brand:wikidata': 'Q6414090', 'healthcare': 'pharmacy', 'name': 'Kinney Drugs'}}"
"{'type': 'node', 'id': 3133310982, 'lat': 28.1689439, 'lon': 112.939411, 'tags': {'amenity': 'clinic', 'name': '湖南大学医院天马保健所'}}"
"{'type': 'node', 'id': 3145051805, 'lat': 28.1909904, 'lon': 112.9884892, 'tags': {'addr:city': 'Changsha', 'addr:housenumber': '139', 'addr:postcode': '410011', 'addr:street': 'Renmin Road', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'The Second Xiangya Hospital', 'wikidata': 'Q17031457', 'wikipedia': 'zh:湘雅二医院'}}"
"{'type': 'node', 'id': 4398759924, 'lat': 28.1936483, 'lon': 112.9835637, 'tags': {'amenity': 'pharmacy', 'brand': '益丰大药房', 'brand:en': 'Yifeng Pharmacy', 'brand:wikidata': 'Q109766741', 'brand:zh': '益丰大药房', 'healthcare': 'pharmacy', 'name': '益丰大药房', 'name:en': 'Yifeng Pharmacy', 'name:zh': '益丰大药房'}}"
"{'type': 'node', 'id': 4652921412, 'lat': 28.2407943, 'lon': 112.9965172, 'tags': {'addr:city': '长沙市', 'addr:postcode': '410003', 'addr:street': '双拥路', 'amenity': 'clinic', 'healthcare': 'clinic', 'name': '科大佳园综合门诊部', 'phone': '+86 731 8586 1796'}}"
"{'type': 'node', 'id': 5356088243, 'lat': 29.0422926, 'lon': 112.3672304, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '草尾镇医院'}}"
"{'type': 'node', 'id': 5356110387, 'lat': 29.0549167, 'lon': 112.2992132, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '南嘴镇卫生院'}}"
"{'type': 'node', 'id': 5609473947, 'lat': 28.5246627, 'lon': 112.1441312, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '保和堂药店'}}"
"{'type': 'node', 'id': 5609473955, 'lat': 28.5187483, 'lon': 112.1503535, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '桃江资江医院'}}"
"{'type': 'node', 'id': 5704231457, 'lat': 28.2113364, 'lon': 112.9852903, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '贝诺医院'}}"
"{'type': 'node', 'id': 5704231465, 'lat': 28.2115443, 'lon': 112.9833736, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '湖南省体育专科医院'}}"
"{'type': 'node', 'id': 5714680268, 'lat': 28.1668719, 'lon': 112.9273287, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '千金大药房'}}"
"{'type': 'node', 'id': 6070589631, 'lat': 28.1942127, 'lon': 112.9728566, 'tags': {'amenity': 'pharmacy', 'brand': '海王星辰', 'brand:en': 'China Nepstar', 'brand:wikidata': 'Q5099817', 'brand:wikipedia': 'zh:海王星辰', 'brand:zh': '海王星辰', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '海王星辰', 'name:en': 'China Nepstar', 'name:zh': '海王星辰'}}"
"{'type': 'node', 'id': 6091483079, 'lat': 28.2455633, 'lon': 113.0188854, 'tags': {'healthcare': 'psychotherapist', 'name': '长沙学院心理健康教育中心'}}"
"{'type': 'node', 'id': 6091483082, 'lat': 28.2456108, 'lon': 113.017464, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '长沙正骨医院'}}"
"{'type': 'node', 'id': 6091484022, 'lat': 28.2539279, 'lon': 113.0268364, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '洪山桥社区卫生服务站'}}"
