OSM_Data
"{'type': 'node', 'id': 3387641481, 'lat': 12.0808992, 'lon': -1.346669, 'tags': {'amenity': 'hospital', 'name': 'CMA de Kombissiri'}}"
"{'type': 'node', 'id': 5416625541, 'lat': 12.1942294, 'lon': -1.8742071, 'tags': {'amenity': 'pharmacy'}}"
"{'type': 'node', 'id': 5714864332, 'lat': 12.0620441, 'lon': -1.3338494, 'tags': {'amenity': 'hospital', 'name': 'CSPS urbain de KOMBISSIRI', 'name:fr': 'CSPS urbain de KOMBISSIRI'}}"
"{'type': 'node', 'id': 5752925223, 'lat': 11.8773657, 'lon': -1.5163337, 'tags': {'amenity': 'hospital', 'healthcare': 'doctor', 'name': 'CSPS', 'name:fr': 'CSPS'}}"
"{'type': 'node', 'id': 5752960621, 'lat': 12.0584301, 'lon': -1.401912, 'tags': {'amenity': 'hospital', 'healthcare': 'doctor', 'name': 'CSPS', 'name:fr': 'CSPS'}}"
"{'type': 'node', 'id': 5752961322, 'lat': 11.986036, 'lon': -1.5510004, 'tags': {'amenity': 'hospital', 'name': 'csps', 'name:fr': 'csps'}}"
"{'type': 'node', 'id': 5809534196, 'lat': 11.3134769, 'lon': -1.3945609, 'tags': {'healthcare': 'yes', 'name': 'Parc de vaccination'}}"
"{'type': 'node', 'id': 6542893588, 'lat': 10.9795656, 'lon': -1.1057123, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Okam'}}"
"{'type': 'node', 'id': 6680397112, 'lat': 12.068337, 'lon': -1.4598392, 'tags': {'amenity': 'pharmacy', 'name': 'Dépôt pharmaceutique'}}"
"{'type': 'node', 'id': 6937690689, 'lat': 11.1680816, 'lon': -1.136412, 'tags': {'amenity': 'pharmacy', 'contact:phone': '+226 01041060', 'name': ""Pharmacie de l'Hôpital"", 'source': 'survey'}}"
"{'type': 'node', 'id': 7061825258, 'lat': 11.1050958, 'lon': -2.0983994, 'tags': {'amenity': 'pharmacy', 'name': 'Pharmacie Sissili', 'source': 'survey;note 1971556'}}"
"{'type': 'node', 'id': 8140289001, 'lat': 11.9371244, 'lon': -2.0387363, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Sapo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8142791954, 'lat': 12.0052717, 'lon': -2.0442778, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Tim-Tim', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8146833954, 'lat': 12.0064733, 'lon': -2.0207816, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Yil-Yaala (Roundé)', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8171370787, 'lat': 11.9328128, 'lon': -2.1895583, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Sala', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8180640627, 'lat': 11.9094901, 'lon': -1.9471416, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Binyéné', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8189080893, 'lat': 11.9552544, 'lon': -1.9170727, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Yalou-Gouroungo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8210170948, 'lat': 12.0039232, 'lon': -1.9944182, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Yéozanga', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8230420000, 'lat': 11.8523152, 'lon': -1.8827525, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Tayalo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8250215115, 'lat': 11.8363388, 'lon': -1.7541888, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Kinkirsgogo', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8255957410, 'lat': 11.9113797, 'lon': -1.7851093, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Basnéré', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8277361194, 'lat': 11.9951053, 'lon': -1.8113279, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Goumsin'}}"
"{'type': 'node', 'id': 8281337866, 'lat': 12.0396537, 'lon': -1.8250904, 'tags': {'amenity': 'hospital', 'name': 'Dispensaire de Nayiri'}}"
"{'type': 'node', 'id': 8283676587, 'lat': 12.0097711, 'lon': -1.8375894, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Kayao', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8291324173, 'lat': 12.0761663, 'lon': -1.8560994, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Sancé', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8293387566, 'lat': 12.1051237, 'lon': -1.856145, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Koukoulou', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8296306166, 'lat': 12.0861277, 'lon': -1.9127101, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Gounghin', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8303015083, 'lat': 12.1306217, 'lon': -1.9296724, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Nakomtenga', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8319733447, 'lat': 11.9660928, 'lon': -1.7238678, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Lado', 'operator': 'Public'}}"
"{'type': 'node', 'id': 8337652886, 'lat': 12.0572431, 'lon': -2.0114422, 'tags': {'amenity': 'hospital', 'name': 'CSPS de Bourou', 'operator': 'Public'}}"
