OSM_Data
"{'type': 'node', 'id': 1809909143, 'lat': 29.9139692, 'lon': 121.8456621, 'tags': {'amenity': 'hospital', 'name': '宁波港职工医院北仑卫生所'}}"
"{'type': 'node', 'id': 1815541856, 'lat': 29.9068908, 'lon': 121.8239586, 'tags': {'amenity': 'hospital', 'name': '长海综合医院'}}"
"{'type': 'node', 'id': 1817067652, 'lat': 29.9238903, 'lon': 121.8254887, 'tags': {'amenity': 'hospital', 'name': '北仑区中医院'}}"
"{'type': 'node', 'id': 1818458409, 'lat': 29.8794038, 'lon': 121.9105844, 'tags': {'amenity': 'hospital', 'name': '柴桥医院'}}"
"{'type': 'node', 'id': 2471771755, 'lat': 29.9050531, 'lon': 121.856584, 'tags': {'amenity': 'hospital', 'name': '北仑区妇幼保健院'}}"
"{'type': 'node', 'id': 5520000628, 'lat': 29.4731234, 'lon': 121.6487226, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '太和堂大药房', 'name:en': 'Taihe Hall Drug Store', 'name:zh': '太和堂大药房'}}"
"{'type': 'node', 'id': 6545468870, 'lat': 29.3504685, 'lon': 121.910871, 'tags': {'amenity': 'hospital', 'name': '旦门卫生院', 'name:en': 'Danmen Health Center', 'name:zh': '旦门卫生院'}}"
"{'type': 'node', 'id': 7187248140, 'lat': 29.9191718, 'lon': 121.626019, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': '宁波大学校医院北区医务室'}}"
"{'type': 'node', 'id': 10207321106, 'lat': 30.0188225, 'lon': 122.1122834, 'tags': {'healthcare': 'sample_collection', 'name': '核酸采样点'}}"
"{'type': 'node', 'id': 10214548773, 'lat': 30.0300095, 'lon': 122.1001549, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '舟山市妇幼保健院-舟山市干部保健门诊'}}"
"{'type': 'node', 'id': 10214548775, 'lat': 30.0307618, 'lon': 122.0994924, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '舟山市妇幼保健院-门诊楼'}}"
"{'type': 'node', 'id': 10214548776, 'lat': 30.0308779, 'lon': 122.099656, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '舟山市妇幼保健院-体检中心'}}"
"{'type': 'node', 'id': 10214548777, 'lat': 30.0308942, 'lon': 122.0994146, 'tags': {'healthcare': 'sample_collection', 'name': '舟山市妇幼保健院核酸采样点'}}"
"{'type': 'node', 'id': 10252916190, 'lat': 30.0189231, 'lon': 122.1149861, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '惠众口腔'}}"
"{'type': 'node', 'id': 10290672343, 'lat': 29.9974817, 'lon': 122.1924291, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '宁波牙科医院(舟山分院)'}}"
"{'type': 'node', 'id': 10718032680, 'lat': 30.2485394, 'lon': 122.1977092, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '中医院'}}"
"{'type': 'node', 'id': 10755060111, 'lat': 30.2497342, 'lon': 122.2038539, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '岱山县第一人民医院'}}"
"{'type': 'node', 'id': 11710126833, 'lat': 30.0134314, 'lon': 122.2000522, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '仁晟堂诊所'}}"
"{'type': 'node', 'id': 11743444207, 'lat': 30.0095539, 'lon': 122.205133, 'tags': {'amenity': 'pharmacy', 'brand': '海王星辰', 'brand:en': 'China Nepstar', 'brand:wikidata': 'Q5099817', 'brand:zh': '海王星辰', 'healthcare': 'pharmacy', 'name': '海王星辰', 'name:en': 'China Nepstar', 'name:zh': '海王星辰'}}"
"{'type': 'node', 'id': 12090162422, 'lat': 29.9958128, 'lon': 122.1837134, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '舟山市临城街道社区卫生服务中心'}}"
