OSM_Data
"{'type': 'node', 'id': 1398586704, 'lat': 25.0525437, 'lon': 102.7079211, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 1398586708, 'lat': 25.0526652, 'lon': 102.7078352, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 2528936603, 'lat': 25.0425619, 'lon': 102.7074151, 'tags': {'amenity': 'pharmacy', 'description': ""Yunnan's oldest apothecary"", 'healthcare': 'pharmacy', 'name': '福林堂', 'source': 'http://www.gokunming.com/en/blog/item/2990/fulintang_yunnans_oldest_apothecary', 'type': 'protec', 'wikidata': 'Q20063926', 'wikipedia': 'zh:福林堂'}}"
"{'type': 'node', 'id': 2529076105, 'lat': 25.0461937, 'lon': 102.6998207, 'tags': {'brand': '屈臣氏', 'brand:en': 'Watsons', 'brand:wikidata': 'Q7974785', 'brand:wikipedia': 'zh:屈臣氏', 'brand:zh': '屈臣氏', 'healthcare': 'pharmacy', 'name': '屈臣氏', 'name:en': 'Watsons', 'name:zh': '屈臣氏', 'shop': 'chemist'}}"
"{'type': 'node', 'id': 2546434163, 'lat': 25.0627929, 'lon': 102.675998, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 2546435576, 'lat': 25.0572626, 'lon': 102.6827369, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '中山医院'}}"
"{'type': 'node', 'id': 2548038754, 'lat': 25.0699142, 'lon': 102.7072112, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '仁爱医院'}}"
"{'type': 'node', 'id': 2548133834, 'lat': 25.0662674, 'lon': 102.6805253, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '一心堂'}}"
"{'type': 'node', 'id': 2548135936, 'lat': 25.0657389, 'lon': 102.6791715, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '东骏大药房'}}"
"{'type': 'node', 'id': 2551930223, 'lat': 25.0561151, 'lon': 102.6692326, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '健之佳'}}"
"{'type': 'node', 'id': 2758322003, 'lat': 24.9874766, 'lon': 102.6583494, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 2763768293, 'lat': 25.0469566, 'lon': 102.7082122, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name:en': 'Hui Ying Dental Clinic'}}"
"{'type': 'node', 'id': 2763970634, 'lat': 25.0452721, 'lon': 102.7106816, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 3116339925, 'lat': 25.0557266, 'lon': 102.6893227, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '健之佳'}}"
"{'type': 'node', 'id': 3120392173, 'lat': 25.0619643, 'lon': 102.6874482, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
