OSM_Data
"{'type': 'node', 'id': 1765888158, 'lat': 34.2008935, 'lon': 117.1866488, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '同康药店'}}"
"{'type': 'node', 'id': 2784779714, 'lat': 34.2140775, 'lon': 117.1317304, 'tags': {'amenity': 'hospital', 'name': '南湖校医务室'}}"
"{'type': 'node', 'id': 3764959467, 'lat': 35.3982688, 'lon': 116.5879338, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '济宁市第一人民医院'}}"
"{'type': 'node', 'id': 4511501474, 'lat': 34.2879755, 'lon': 117.1856258, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '清云诊所'}}"
"{'type': 'node', 'id': 4511501848, 'lat': 34.2885705, 'lon': 117.1855664, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '恒昌药店', 'wheelchair': 'no'}}"
"{'type': 'node', 'id': 4532638837, 'lat': 34.2645404, 'lon': 117.1716724, 'tags': {'amenity': 'pharmacy', 'drive_through': 'no', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5166718440, 'lat': 34.7849888, 'lon': 116.083371, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '誉天大药房'}}"
"{'type': 'node', 'id': 5217640702, 'lat': 34.7773456, 'lon': 116.1025393, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '单州口腔医院'}}"
"{'type': 'node', 'id': 5570993221, 'lat': 34.2491182, 'lon': 117.1998497, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '徐医附三院'}}"
"{'type': 'node', 'id': 6595034807, 'lat': 35.4099647, 'lon': 116.5840741, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '牙科医院'}}"
"{'type': 'node', 'id': 7413947103, 'lat': 34.2641582, 'lon': 117.1661726, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '徐州市建筑工人医院'}}"
"{'type': 'node', 'id': 7426213631, 'lat': 34.2584924, 'lon': 117.226808, 'tags': {'healthcare': 'yes', 'name': '梅园社区卫生服务站'}}"
"{'type': 'node', 'id': 7456211419, 'lat': 34.2854575, 'lon': 117.1831407, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '鼓楼区妇幼保健所'}}"
"{'type': 'node', 'id': 8785120223, 'lat': 34.9505524, 'lon': 115.8834571, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武县人民医院'}}"
"{'type': 'node', 'id': 8820921453, 'lat': 34.2660499, 'lon': 117.19683, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '徐州市公共卫生医疗中心门诊部'}}"
"{'type': 'node', 'id': 8940453449, 'lat': 34.2632907, 'lon': 117.150505, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '段庄街道卫生服务中心'}}"
"{'type': 'node', 'id': 8953414694, 'lat': 34.9503589, 'lon': 115.8902818, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武县同济医院'}}"
"{'type': 'node', 'id': 8962456909, 'lat': 34.9577881, 'lon': 115.906427, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': '丝织厂医务室'}}"
"{'type': 'node', 'id': 8962549971, 'lat': 34.9545106, 'lon': 115.9343962, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武益民康复医院'}}"
"{'type': 'node', 'id': 8962843923, 'lat': 34.9630624, 'lon': 115.9749463, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '苟村镇中心卫生院'}}"
"{'type': 'node', 'id': 8967820729, 'lat': 35.0227241, 'lon': 115.9139112, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '福兴医院'}}"
"{'type': 'node', 'id': 9040811558, 'lat': 34.9487579, 'lon': 115.9007009, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '好亿家仁和医药N07'}}"
"{'type': 'node', 'id': 9040847614, 'lat': 34.9587323, 'lon': 115.9039031, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': '相合牙科'}}"
"{'type': 'node', 'id': 9040847616, 'lat': 34.9609475, 'lon': 115.9034211, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': '成武县妇幼保健院'}}"
"{'type': 'node', 'id': 9920538932, 'lat': 34.7840658, 'lon': 116.0827844, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': '漱玉平民大药房(健康路店)'}}"
"{'type': 'node', 'id': 9930019114, 'lat': 34.7975609, 'lon': 116.0783348, 'tags': {'healthcare': 'podiatrist', 'name': '良子足疗'}}"
"{'type': 'node', 'id': 10979129314, 'lat': 34.7804684, 'lon': 116.0824318, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': '漱玉平民大药房(单县凤凰城店)'}}"
"{'type': 'node', 'id': 10989595585, 'lat': 34.7937613, 'lon': 116.0884081, 'tags': {'healthcare': 'podiatrist', 'name': '郭氏修脚堂'}}"
"{'type': 'node', 'id': 11984953501, 'lat': 34.9365411, 'lon': 116.7537616, 'tags': {'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'general', 'name': '鱼台县第三人民医院'}}"
