OSM_Data
"{'type': 'node', 'id': 2437697356, 'lat': -17.1479108, 'lon': -49.9899648, 'tags': {'addr:postcode': '75955-000', 'addr:street': 'Rua Simon Bolivar', 'addr:suburb': 'Alto Da Primavera', 'amenity': 'hospital', 'fax': '+55 64 547 1300', 'healthcare': 'hospital', 'name': 'Hospital Municipal de Indiara', 'operator:ref:vatin': 'BR00005959000110', 'phone': '+55 64 547 1300', 'ref:CNES': '2343185'}}"
"{'type': 'node', 'id': 2933118523, 'lat': -15.9428605, 'lon': -50.1359416, 'tags': {'amenity': 'clinic', 'emergency': 'yes', 'healthcare': 'clinic', 'name': 'SAMU'}}"
"{'type': 'node', 'id': 4530629390, 'lat': -15.9338013, 'lon': -50.1406263, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmácia Bom Jesus', 'name:pt': 'Farmácia Bom Jesus'}}"
"{'type': 'node', 'id': 5290092560, 'lat': -17.140697, 'lon': -49.9863993, 'tags': {'addr:city': 'Indiara', 'addr:postcode': '75955-000', 'addr:street': 'Rua Anabel Vieira dos Santos', 'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'general', 'name': 'P.S.F. Indiara', 'operator': 'Município'}}"
"{'type': 'node', 'id': 6322545122, 'lat': -16.9474241, 'lon': -50.4464722, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 6570987097, 'lat': -16.7935031, 'lon': -50.1641974, 'tags': {'addr:postcode': '75990-000', 'addr:street': 'Rua Benjamin Gomes Pereira', 'addr:suburb': 'Centro', 'amenity': 'hospital', 'email': 'smspalminopolis@hotmail.com', 'healthcare': 'hospital', 'healthcare:speciality': 'clinic', 'name': 'Hospital Municipal', 'operator:ref:vatin': 'BR01178573000172', 'phone': '+55 64 3675 1271', 'ref:CNES': '2437775'}}"
"{'type': 'node', 'id': 6570987107, 'lat': -16.7924712, 'lon': -50.1652925, 'tags': {'addr:street': 'Rua Deputado Antônio Queiroz Barretos', 'amenity': 'pharmacy', 'dispensing': 'yes', 'drive_through': 'no', 'healthcare': 'pharmacy', 'name': 'Drogaria Pinheiro'}}"
"{'type': 'node', 'id': 6595254428, 'lat': -16.2027974, 'lon': -50.3131179, 'tags': {'addr:housenumber': '1128', 'addr:postcode': '76160-000', 'addr:street': 'Avenida Norte Sul', 'addr:suburb': 'Centro', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hospital Municipal São Vicente de Paula', 'operator:ref:vatin': 'BR02164804000151', 'phone': '+55 62 3679 1745', 'ref:CNES': '2441500'}}"
"{'type': 'node', 'id': 8560236893, 'lat': -16.5133641, 'lon': -50.3746496, 'tags': {'addr:city': 'São Luis de Montes Belos', 'addr:postcode': '76100-000', 'addr:street': 'Rua 03', 'addr:suburb': 'Vila Popular', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'general', 'name': 'Hospital Regional de São Luís de Montes Belos - Dr. Geraldo Landó', 'operator:ref:vatin': 'BR02529964000157', 'phone': '+55 64 99333-5798', 'ref:CNES': '2382474', 'website': 'https://hospital-drgeraldolando.org.br/'}}"
"{'type': 'node', 'id': 9053737755, 'lat': -16.8057806, 'lon': -49.9238305, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Palmeiras'}}"
"{'type': 'node', 'id': 9053737758, 'lat': -16.8056704, 'lon': -49.9240197, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Drogamil'}}"
"{'type': 'node', 'id': 9057440486, 'lat': -16.8060599, 'lon': -49.9234554, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Valesi'}}"
"{'type': 'node', 'id': 9057440507, 'lat': -16.8061843, 'lon': -49.9230113, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'Dra. Cíntia Cassimiro de Araújo'}}"
"{'type': 'node', 'id': 9057449353, 'lat': -16.8060952, 'lon': -49.9225859, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Central'}}"
"{'type': 'node', 'id': 9064594237, 'lat': -16.8064559, 'lon': -49.9225194, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'ForteFarma'}}"
"{'type': 'node', 'id': 9064594248, 'lat': -16.8069612, 'lon': -49.9215753, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Menor Preço'}}"
"{'type': 'node', 'id': 9071585596, 'lat': -16.8070755, 'lon': -49.9213631, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Dr.Nelzinho Faleiro (Oftamologista)'}}"
"{'type': 'node', 'id': 9071585601, 'lat': -16.8071695, 'lon': -49.9211768, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'MaisVocê'}}"
"{'type': 'node', 'id': 9071585604, 'lat': -16.8072535, 'lon': -49.9210407, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogaria Líder'}}"
"{'type': 'node', 'id': 9071585606, 'lat': -16.807332, 'lon': -49.9209114, 'tags': {'amenity': 'dentist', 'healthcare': 'dentist', 'name': 'Dr. BrunoNunes Santos'}}"
"{'type': 'node', 'id': 9071585608, 'lat': -16.8070729, 'lon': -49.920929, 'tags': {'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'CEMEP'}}"
"{'type': 'node', 'id': 9212243210, 'lat': -16.8075322, 'lon': -49.9200576, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Farmácia Preço Baixo'}}"
"{'type': 'node', 'id': 9212248628, 'lat': -16.8077357, 'lon': -49.9195885, 'tags': {'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Drogapop'}}"
"{'type': 'node', 'id': 9778097614, 'lat': -15.9328542, 'lon': -50.1406453, 'tags': {'amenity': 'pharmacy', 'name': 'Nossa rede'}}"
"{'type': 'node', 'id': 9778107108, 'lat': -15.9347669, 'lon': -50.1430968, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Drogaria Vila Boa'}}"
"{'type': 'node', 'id': 10295098328, 'lat': -16.8084665, 'lon': -49.9183974, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Drogaria Lacerda'}}"
"{'type': 'node', 'id': 10984473117, 'lat': -15.9361165, 'lon': -50.1429343, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farma Vida'}}"
"{'type': 'node', 'id': 10984473118, 'lat': -15.9362196, 'lon': -50.1429224, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Farmácia do Joaquim'}}"
"{'type': 'node', 'id': 11030641096, 'lat': -16.9464162, 'lon': -50.4486911, 'tags': {'addr:city': 'Paraúna', 'addr:housenumber': '01', 'addr:postcode': '75980-000', 'addr:street': 'Avenida Rogerio Gomes da Silva ou Rio Branco', 'addr:suburb': 'Centro', 'amenity': 'dentist', 'healthcare': 'dentist', 'healthcare:speciality': 'orthodontics;dental_oral_maxillo_facial_surgery;dentist', 'name': 'Custódio Odontologia', 'opening_hours': 'Mo-Sa 08:00-18:00', 'operator': 'Amadeu Netto', 'wheelchair': 'yes'}}"
"{'type': 'node', 'id': 11047283086, 'lat': -15.9389995, 'lon': -50.1437443, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': ""Clínica Sant'Ana""}}"
"{'type': 'node', 'id': 11047319863, 'lat': -15.9392757, 'lon': -50.1426416, 'tags': {'healthcare': 'laboratory', 'name': 'Laboratório Cabral'}}"
