OSM_Data
"{'type': 'node', 'id': 6474775908, 'lat': 8.8462295, 'lon': 8.1213505, 'tags': {'healthcare': 'hospital', 'name': 'General Hospital Gakaru', 'operator': 'Public'}}"
"{'type': 'node', 'id': 7840679800, 'lat': 8.8180642, 'lon': 8.1767313, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'gwangwanso healt clinic', 'ownership': 'others', 'state': 'adamawa', 'type': 'primary'}}"
"{'type': 'node', 'id': 9939636703, 'lat': 8.5420592, 'lon': 8.2286235, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939662931, 'lat': 8.4348175, 'lon': 8.1595788, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939662945, 'lat': 8.4350364, 'lon': 8.1595985, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939662961, 'lat': 8.4348067, 'lon': 8.1593622, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939679158, 'lat': 8.4695307, 'lon': 8.1635135, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939679363, 'lat': 8.4365092, 'lon': 8.1584349, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939679366, 'lat': 8.4387808, 'lon': 8.1577216, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939680048, 'lat': 8.2872523, 'lon': 7.9827305, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939680081, 'lat': 8.2890606, 'lon': 7.9829001, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939680094, 'lat': 8.2880956, 'lon': 7.9812393, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685030, 'lat': 8.4679379, 'lon': 8.1656498, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685040, 'lat': 8.4686942, 'lon': 8.1640978, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685044, 'lat': 8.4691558, 'lon': 8.1636055, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
"{'type': 'node', 'id': 9939685049, 'lat': 8.4672203, 'lon': 8.1669395, 'tags': {'amenity': 'pharmacy', 'source': 'nigeriase4all.gov.ng', 'source:date': '2022'}}"
