OSM_Data
"{'type': 'node', 'id': 2483017354, 'lat': 6.6227975, 'lon': -5.913364, 'tags': {'addr:city': 'Sinfra', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Sinfra'}}"
"{'type': 'node', 'id': 3254374039, 'lat': 6.8199171, 'lon': -5.2788645, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'loc_name': 'Pharmacie Agbassi', 'name': 'Pharmacie de Yamoussoukro'}}"
"{'type': 'node', 'id': 3254375322, 'lat': 6.8115904, 'lon': -5.2640088, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie 220 Logements'}}"
"{'type': 'node', 'id': 3254376345, 'lat': 6.8198805, 'lon': -5.2759755, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Sanitas'}}"
"{'type': 'node', 'id': 3281670371, 'lat': 6.7929134, 'lon': -5.2696557, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la fondation'}}"
"{'type': 'node', 'id': 4023332922, 'lat': 6.8210062, 'lon': -5.2778059, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Aboh'}}"
"{'type': 'node', 'id': 4508332523, 'lat': 6.816084, 'lon': -5.2673208, 'tags': {'health_facility:type': 'laboratory', 'healthcare': 'laboratory', 'medical_system:western': 'yes', 'name': ""Laboratoire d'Analyse Medicale des Lacs"", 'phone': '+225-30 64 09 19'}}"
"{'type': 'node', 'id': 4551159691, 'lat': 6.8384767, 'lon': -5.2553333, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Emmanuel'}}"
"{'type': 'node', 'id': 4714184389, 'lat': 6.8801786, 'lon': -5.5814027, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'internet_access': 'wlan', 'name': 'Centre Sante Rurale BOZI SATIMACI', 'opening_hours': '24/7'}}"
"{'type': 'node', 'id': 4741898926, 'lat': 6.818239, 'lon': -5.2576559, 'tags': {'addr:postcode': '225', 'addr:street': 'Carrefour du Bhonheur', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Eben-Ezer'}}"
"{'type': 'node', 'id': 4745947711, 'lat': 6.8103541, 'lon': -5.2692395, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Aibef'}}"
"{'type': 'node', 'id': 4985719449, 'lat': 6.8157511, 'lon': -5.2742657, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie des Lacs'}}"
"{'type': 'node', 'id': 5265622122, 'lat': 6.7849055, 'lon': -5.2743448, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy'}}"
"{'type': 'node', 'id': 5472560822, 'lat': 7.4542361, 'lon': -5.2921311, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': ""Pharmacie de l'amitié""}}"
"{'type': 'node', 'id': 5860743988, 'lat': 6.6482551, 'lon': -4.7063154, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie de Dimbokro', 'name:en': 'Pharmacy of Dimbokro'}}"
"{'type': 'node', 'id': 5861821116, 'lat': 6.6218432, 'lon': -5.9140308, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie Bokosso Nouvelle'}}"
"{'type': 'node', 'id': 5861821161, 'lat': 6.6116807, 'lon': -5.9203798, 'tags': {'addr:city': 'SINFRA', 'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Pharmacie de la Gare'}}"
"{'type': 'node', 'id': 5871311687, 'lat': 6.6471938, 'lon': -4.7062265, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie YOTIKY', 'name:en': 'YOTIKY pharmacy'}}"
"{'type': 'node', 'id': 5978952963, 'lat': 6.3389968, 'lon': -4.8575912, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Depôt de Pharmacie de Kpouebo'}}"
"{'type': 'node', 'id': 6618545143, 'lat': 6.732303, 'lon': -5.3052598, 'tags': {'addr:city': 'akpessekro', 'amenity': 'clinic', 'healthcare': 'clinic', 'healthcare:speciality': 'general', 'name': ""centre de santé d'apkessekro"", 'opening_hours': '24/7', 'operator': 'vilageois', 'operator:type': 'public'}}"
"{'type': 'node', 'id': 6905603285, 'lat': 7.1598709, 'lon': -5.2249589, 'tags': {'addr:postcode': '237', 'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Tiebissou', 'name:en': 'Français', 'name:fr': 'Pharmacie deTiebissou', 'phone': '30623014'}}"
"{'type': 'node', 'id': 7054422161, 'lat': 6.8427884, 'lon': -5.2947275, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Grande Pharmacie Morofé'}}"
"{'type': 'node', 'id': 7101369292, 'lat': 6.652155, 'lon': -5.809276, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de santé'}}"
"{'type': 'node', 'id': 7688748859, 'lat': 7.1090173, 'lon': -5.3487513, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Yadibikro'}}"
"{'type': 'node', 'id': 7689124999, 'lat': 7.1578609, 'lon': -5.3661549, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Urbain de Molonou'}}"
"{'type': 'node', 'id': 7709996118, 'lat': 6.4302656, 'lon': -5.3581155, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Dispensaire Rural de Zangue'}}"
"{'type': 'node', 'id': 7716901653, 'lat': 6.6398966, 'lon': -5.6557391, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Rural de Kayeta'}}"
"{'type': 'node', 'id': 7716903225, 'lat': 6.6502078, 'lon': -5.6095916, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Urbain de Kononfla'}}"
"{'type': 'node', 'id': 7747607203, 'lat': 6.9542883, 'lon': -5.2674315, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé Urbain de Lolobo'}}"
"{'type': 'node', 'id': 7775296053, 'lat': 7.1865787, 'lon': -5.2865498, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital'}}"
"{'type': 'node', 'id': 7869376758, 'lat': 6.4787581, 'lon': -5.7062843, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Centre de Santé de Guepahouo'}}"
"{'type': 'node', 'id': 8168176884, 'lat': 6.5609252, 'lon': -5.0184882, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'Clinique Chinoise'}}"
"{'type': 'node', 'id': 8957467979, 'lat': 7.4506543, 'lon': -5.2919243, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie du Bonheur'}}"
"{'type': 'node', 'id': 8957504957, 'lat': 7.4433262, 'lon': -5.289114, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'District Sanitaire de Sakassou'}}"
"{'type': 'node', 'id': 9007796652, 'lat': 6.6594531, 'lon': -4.7049939, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'District Sanitaire de Dimbokro'}}"
"{'type': 'node', 'id': 9127764899, 'lat': 7.3428823, 'lon': -4.6759324, 'tags': {'amenity': 'hospital', 'fixme': 'Verify location', 'healthcare': 'hospital', 'name': 'Hôpital Général'}}"
"{'type': 'node', 'id': 9222586727, 'lat': 6.9814872, 'lon': -5.7493966, 'tags': {'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Pharmacie saint augustin'}}"
"{'type': 'node', 'id': 9228809141, 'lat': 6.9824095, 'lon': -5.7525726, 'tags': {'amenity': 'hospital', 'healthcare': 'hospital', 'name': ""Institu nationnal d'hygiène publique""}}"
"{'type': 'node', 'id': 9293742091, 'lat': 6.812661, 'lon': -5.267302, 'tags': {'addr:city': 'Yamoussoukro', 'healthcare': 'yes', 'name': 'infirmerie CIE Yamoussoukro', 'website': 'https://www.cie.ci/'}}"
"{'type': 'node', 'id': 10042467976, 'lat': 6.9810072, 'lon': -5.7485123, 'tags': {'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'CSU Privé des Sœurs Dominicaines de l’Anunciata'}}"
