Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Koversada,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,45.1420876,13.6056632
Centralna lekarna,Unknown,Prešernov trg,Ljubljana,1000,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:30-19:30; Sa 08:00-14:00,46.0514519,14.5065666
Unknown,Unknown,Unknown,Kranj,4000,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.2325209,14.3461219
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,43.8662984,18.4143953
Farmacia Altura,Unknown,Via delle Alpi Giulie,Trieste,34149,Unknown,Unknown,pharmacy,pharmacy,+39 040 828428,https://www.farmacia-altura.it/,"Mo-Sa 08:30-13:00,16:00-19:30; Su,PH off",45.6273051,13.8183791
Farmacia Rovis all'Angelo d'Oro,Unknown,Via Silvio Pellico,Trieste,34122,Unknown,Unknown,pharmacy,pharmacy,+39 040 634144,Unknown,Unknown,45.6494511,13.7765603
Farmacia All'Amazzone Trionfante,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+39 040 572015,Unknown,Unknown,45.6542328,13.7874431
Farmacia Lekarna Cermelj,Unknown,Via di Prosecco,Trieste,34151,Unknown,IT,pharmacy,pharmacy,+39 040 214441,https://farmaciacermelj.com/,Mo-Sa 08:00-19:30,45.6885047,13.7885065
Zdravstveni dom Velenje,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,46.3618431,15.1161402
Alla Maddalena,Unknown,Via dell'Istria,Trieste,34137,Unknown,Unknown,pharmacy,pharmacy,+39 040 638454,Unknown,"Mo-Fr 08:00-13:30,15:30-19:30; Sa 08:30-13:00",45.640271,13.7827917
Campi Elisi S.N.C,Unknown,Via Carlo Combi,Trieste,34143,Unknown,Unknown,pharmacy,pharmacy,+39 040 302800,Unknown,Unknown,45.6412271,13.7654065
Lekarna,Unknown,Vodnikova cesta,Ljubljana,1000,Unknown,Unknown,pharmacy,pharmacy,+386 1 522 54 60,https://www.kclj.si/pacienti_in_obiskovalci/klinike_in_oddelki/lekarna_ukc_ljubljana,Mo-Fr 08:00-19:00; Sa 08:00-13:00,46.0673106,14.4872167
Alla Giustizia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+39 040 421125,Unknown,Unknown,45.657042,13.7732207
Farmacia Comunale - Al Cedro,Unknown,Piazza Guglielmo Oberdan,Trieste,34133,Unknown,Unknown,pharmacy,pharmacy,+39 040 364928,Unknown,Unknown,45.6539887,13.7754037
Farmacia Cantò,Unknown,Via Europa,Montesilvano,65015,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.farmaciediturno.org/orariofarmacia.asp?idf=10841,"Mo-Fr 08:30-13:00, 15:30-20:00; Sa 08:30-13:00, 16:00-20:00; PH off",42.5142777,14.1564886
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,45.9595429,17.4626335
Megváltó Gyógyszertár,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.960618,17.4710843
Farmacia Ferretti,Unknown,Viale Genova,Unknown,63084,Unknown,Unknown,pharmacy,Unknown,+39 0736 492196,https://www.farmaciaferrettidrgianpaolo.com/,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 09:00-13:00",42.8206445,13.632576
Lekarna,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,46.0729088,14.4872407
Farmacia all'Obelisco,Unknown,Piazzale Monte Re,Trieste,34151,Unknown,Unknown,pharmacy,Unknown,+39 040 211001,Unknown,Unknown,45.6860973,13.7879671
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,46.2719389,13.9548341
Farmacia Fumaneri,Unknown,Via Eugenio Curiel,Trieste,34148,Unknown,Unknown,pharmacy,pharmacy,+39 040 281256,Unknown,Mo-Sa 08:30-13:00; Mo-Fr 16:00-19:30,45.6203478,13.8246132
Szeder Gyógyszertár,Unknown,Zrínyi Miklós utca,Szedres,7056,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,"Mo,We 08:00-16:00; Tu,Th 10:30-17:00; Fr 10:00-16:00; PH off",46.4744113,18.6817572
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.3820823,16.5565341
Rubino,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+39 040 410515,Unknown,Unknown,45.6694332,13.7670321
Lekarna,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,45.9570149,14.6555299
Zdravstveni dom Podlehnik,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,46.3432726,15.8765192
Picciola Alla Croce Bianca,Unknown,Via Alfredo Oriani,Trieste,34131,Unknown,Unknown,pharmacy,pharmacy,+39 040 764441,Unknown,Unknown,45.6473338,13.7797532
Farmacia Trisi,Unknown,Via San Domenico,Montesilvano,65015,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Su 08:30-13:00,16:00-20:00; PH off",42.5147014,14.1513565
Farmacia Moretti,Unknown,Via Olivers,Mossa,34070,Unknown,Unknown,pharmacy,Unknown,+39 0481 80220,Unknown,Unknown,45.9346772,13.5478569
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.0814469,18.6581866
Z.D. Dornava,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,46.4338986,15.951297
Unknown,Unknown,Венац војводе Радомира Путника,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.7746741,19.112893
Zdravstveni dom Oplotnica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,46.3873098,15.447149
All'Orso Bianco,Unknown,Corso Italia,Gorizia,34170,Unknown,Unknown,pharmacy,Unknown,+39 0481 531576,Unknown,Unknown,45.9421592,13.6195478
Al Giardino,Unknown,Corso Giuseppe Verdi,Gorizia,34170,Unknown,Unknown,pharmacy,Unknown,+39 0481 531879,Unknown,Unknown,45.9451801,13.6220588
Alla Madonna Di Montesanto,Unknown,Via Udine,Gorizia,34170,Unknown,Unknown,pharmacy,Unknown,+39 0481 390170,Unknown,Unknown,45.9362343,13.5748559
Farmacia Alla Redenzione,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+39 040 368647,Unknown,Unknown,45.6457563,13.7803834
Farmacia Alla Borsa,Unknown,Piazza della Borsa,Trieste,34121,Unknown,Unknown,pharmacy,pharmacy,+39 040 367967,Unknown,Unknown,45.6506549,13.7704135
Dom zdravlja studenata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,45.8092991,15.9878854
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.4091513,18.4561125
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.7790464,15.9971302
PrimaPharme,Unknown,Ulica Brune Bušića,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+385 1 6608 360,https://primapharme.hr/,Mo-Fr 07:00-20:00; Sa 08:00-13:00,45.7804652,15.9869314
Gradska ljekarna Zagreb,Unknown,Hrastin prilaz,Zagreb,10010,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:00-20:00; Sa 07:30-15:00,45.7775775,15.9956294
Ljekarna IVF,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.8179106,16.0006658
Mandis pharm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.8175431,15.9975501
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.8182814,16.0062253
Gradska ljekarna Zagreb,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:00-20:00; Sa 07:30-15:00; Su off,45.8113304,15.9740475
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.3273256,14.4392908
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.4242417,15.0068169
Joukhadar,Unknown,Ozaljska ulica,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+385 1 3633 786,https://www.ljekarne-joukhadar.hr/,Mo-Fr 07:00-20:00; Sa 08:00-13:00; Su off,45.7989939,15.9485225
Ljekarna Filipović,Unknown,Zagorska ulica,Zagreb,10000,Unknown,Unknown,pharmacy,pharmacy,+385 1 3692 100,Unknown,"Mo-Fr 07:00-20:00, Sa 07:30-15:00",45.8076207,15.9404818
Tüskevár Patika,Unknown,Hajnóczy József utca,Kaposvár,7400,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Fr 08:00-17:30; Sa 08:00-12:00,46.3681935,17.7671771
Észak-Nyugati Patika,Unknown,Unknown,Unknown,7400,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:00-18:00,46.3652857,17.7872102
Orvosi és védőnői rendelő,Unknown,Dózsa György utca,Kaposfő,7523,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,46.3608692,17.661894
Bernardis Rita,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+39 0432 724131,Unknown,Unknown,46.127119,13.5774252
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.4227364,17.6943404
Ljekarna Mursa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Fr 07:00-20:00; Sa 07:30-15:00,45.5583891,18.6801898
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,45.3257051,14.4432121
Ljekarna Atalić,Unknown,Ulica Matije Gupca,Osijek,31000,Unknown,Unknown,pharmacy,pharmacy,+38531500511,Unknown,Mo-Fr 07:00-20:00; Sa 08:00-13:00,45.5550766,18.7204639
Joukhadar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.3525259,19.0014475
Lekarna Vrhnika,Unknown,Trg Karla Grabeljška,Vrhnika,1360,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:00-19:00; Sa 07:00-13:00,45.9626412,14.2953555
Parafarmacia Farma & Bio,Unknown,Viale Aldo Moro,Unknown,65015,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Su 08:30-13:00, 16:00-20:30",42.5204091,14.1502142
Ljekarna Dominko,Unknown,Pleškovec,Lopatinec,40311,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,46.4401871,16.3783011
Ljekarna,Unknown,Kačićev Trg,Makarska,21300,Unknown,Unknown,pharmacy,pharmacy,+385 21 611 227,Unknown,Unknown,43.2934171,17.020118
vaše zdravlje,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,https://www.vasezdravlje.hr/,Mo-Fr 07:00-20:00; Sa 07:30-15:00; Su off,45.7936206,15.918413
Ordinacija opće / obiteljske medicine,Unknown,Rudeška cesta,Unknown,Unknown,Unknown,Unknown,doctors,doctor,+385 1 5999 499,https://dzz-zapad.hr/a_personal.php?ordinacija_id=414,"Mo-Fr 07:30-12:00 ""neparni dani"", 10:00-10:30 off; Mo-Fr 13:30-18:00 ""parni dani"", 16:00-16:30 off; Sa,Su,PH off",45.7938088,15.9175927
Maja Parlov,Unknown,Travanjska ulica,Unknown,Unknown,Unknown,Unknown,dentist,dentist,+385 1 2097 237,http://drparlov.com,"""prema dogovoru""",45.7915738,15.9192359
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,44.5328441,14.4686697
Hunyor gyógyszertár,Unknown,Kossuth Lajos utca,Nagykozár,7741,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.0704041,18.3164789
Farmacie Linfa,Unknown,Corso Umberto Primo,Montesilvano,65015,Unknown,IT,pharmacy,pharmacy,+39 085 290 6958;+39 085 445 8979,https://www.farmaciediturno.org/orariofarmacia.asp?idf=10845,"Mo-Sa 08:30-20:30; Su, PH off",42.5015035,14.1678415
Fisioter,Unknown,Via Giovanni Giolitti,Montesilvano,65015,Unknown,IT,doctors,doctor,Unknown,Unknown,Unknown,42.5036135,14.1649934
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-20:00; Sa 08:00-15:00,43.2620504,16.6580973
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,43.2621464,16.6580942
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,43.6652274,18.978006
Lekarna Bežigrad,Unknown,Dunajska cesta,Ljubljana,1000,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-19:00; Sa 08:00-13:00,46.0615758,14.5073157
Ljekarna Centar,Unknown,Trg bana Josipa Jelačića,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+38514816198,Unknown,24/7,45.8135635,15.9762461
Farmacia ljekarne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:00-20:00; Sa 08:00-13:00; Su off,45.8125507,15.9791104
Kemig4U,Unknown,Ulica Antuna Bauera,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,https://kemig4u.hr,Mo-Fr 08:00-20:00; Sa 09:00-14:00; Su off,45.8130164,15.9896725
Juice box,Unknown,Vlaška ulica,Zagreb,10000,Unknown,Unknown,Unknown,pharmacy,+385 95 478 4789,https://juicebox.hr/,Mo-Fr 07:30-20:00; Sa-Su 08:00-16:00,45.8137128,15.989149
Lekarna,Unknown,Kolodvorska ulica,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.3952842,15.6612953
