Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Ordrup Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Th 09:00-17:30, Fr 09:00-18:00, Sa 09:00-14:00",55.7615023,12.5741767
Holbæk Sygehus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,55.7113154,11.716941
Närhälsan Kungssten vårdcentral,Unknown,Knipplagatan,Göteborg,414 74,Unknown,SE,clinic,clinic,+46 31 345 03 60,https://www.narhalsan.se/hitta-mottagning/goteborg/goteborg-vastra/narhalsan-kungssten-barnavardscentral/,Mo-Fr 07:45-17:00,57.6821945,11.9083564
Folkebo Apoteksudsalg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Th 09:00-17:30; Fr 09:00-18:00; Sa 09:00-12:00,55.3749032,10.3957189
Dalum Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,55.3721148,10.3706968
Regionshospitalet Ringkøbing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,56.0901366,8.2504954
Frelsens Hærs Krisecenter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,55.6345808,12.4864791
Kastrup Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,55.6376499,12.6350877
Steno Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,55.674526,12.5633101
Hedensted Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,55.7692861,9.7018986
Brøndbyøster Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+4536754070,Unknown,Mo-Fr 09:00-17:30; Sa 09:30-13:30,55.667535,12.4376503
Apoteket Björnen,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,57.7145769,12.0466672
Kronans Apotek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 09:30-18:00; Sa 10:00-14:00,57.6872316,11.9208328
