Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
პსპ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7225499,45.3462938
Alba Dent,Unknown,Z. Chavchavadze St,თბილისი,Unknown,Unknown,GE,dentist,dentist,+995 32 291 01 02,Unknown,Mo-Fr 10:00-22:00,41.7119448,44.7977818
იმპექსი,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7105431,44.7997865
Cardilogical Institute,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,41.7705053,44.7954282
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7060364,44.7703308
პსპ,Unknown,რამაზ ჩხიკვაძის ქუჩა,თბილისი,Unknown,Unknown,GE,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7292523,44.7323815
ავერსი,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.6725271,44.8852573
ავერსი,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7927498,44.7615011
ავერსი,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,41.7163125,44.7921458
ავერსი,Unknown,ზღვის უბანი 3 მრ/3კვ.,თბილისი,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7777745,44.8225363
ავერსი,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.7918462,44.8157005
ფარმადეპო,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,08:00-23:00,41.7243386,44.799808
36.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.6836724,44.9487491
ავერსი,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,41.6887213,44.8279343
ავერსი,Unknown,წმინდა ქეთევან დედოფლის გამზირი,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,08:30-23:00,41.6929776,44.8149813
ჯპს,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Su,PH 08:00-02:00",41.7088043,44.771866
