Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,48.2020547,17.3044105
Lekáreň na námestí,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,https://www.pluslekaren.sk/,Mo 08:00-18:00; Tu-We 08:00-16:00; Th 08:00-18:00; Fr 08:00-16:00; Sa 09:00-12:00,48.189202,17.2588984
Zdravotné stredisko,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,48.1847209,17.2501917
Valentin Gyógyszertár,Unknown,Pántlika utca,Balatonakali,8243,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Fr 08:00-18:00; Sa 08:00-12:00,46.8841216,17.7484586
Lekáreň Trinitas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.trinitas.sk/,Mo-Fr 08:00-17:00,48.3981702,17.3563693
"Nemocnica s Poliklinikou Hlohovec, s. r. o.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,48.4247387,17.7888378
Apotheke Zum heiligen Leonhard,Unknown,Wöllersdorfer Straße,Markt Piesting,2753,Unknown,AT,pharmacy,Unknown,Unknown,Unknown,"Mo-Fr 08:00-12:00,14:00-18:00;Sa 08:00-12:00",47.8722569,16.1295187
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,48.4420265,17.7662103
Paracelsus-Apotheke,Unknown,Schimmelgasse,Enzesfeld-Lindabrunn,2551,Unknown,AT,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:00-12:00,14:00-18:00; Sa 08:00-12:00",47.9207027,16.1837502
Dr. Moser Wolfgang,Unknown,Selzergasse,Wien,1150,Unknown,AT,dentist,dentist,Unknown,Unknown,Unknown,48.1979178,16.3229542
Lekáreň na Rúbanisku,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,48.3338,19.6452557
poliklinika,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,48.3338799,19.6454912
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,47.8722096,18.1905003
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,47.8718283,18.1901363
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,48.2977978,17.2656367
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,48.3289485,19.6596735
"Apotheke ""Zum goldenen Reichsapfel""",Unknown,Singerstraße,Wien,1010,Unknown,AT,pharmacy,pharmacy,+43 1 5124144,https://reichsapfel-apotheke.at/,Mo-Fr 08:00-18:00; Sa 08:00-12:00,48.2069576,16.3746041
Allerheiligen Apotheke,Unknown,Allerheiligenplatz,Unknown,1200,Unknown,AT,pharmacy,pharmacy,+4313304323,https://apotheke.wien,Mo-Fr 08:00-18:00; Sa 08:00-12:00,48.2380608,16.3840794
Walfisch-Apotheke,Unknown,Lerchenfelder Straße,Wien,1070,Unknown,AT,pharmacy,Unknown,+43 (1) 5238179,https://www.walfischapotheke.at/,Mo-Fr 08:00-18:00; Sa 08:00-13:00,48.2062678,16.3496867
St. Richard Apotheke,Unknown,Korneuburger Straße,Bisamberg,2102,Unknown,AT,pharmacy,Unknown,Unknown,https://st-richard-apotheke.at/,Mo-Fr 08:00-18:00; Sa 08:00-12:00,48.3318903,16.3613566
