Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
RS ZR Tedja,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,-6.9057428,107.6201443
Apotek Rahayu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-6.9225909,107.5934155
Farmasi Mesra Maju,Unknown,Unknown,Unknown,40300,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,3.0553058,101.5422999
Klinik Mahkota,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,24/7,2.5166512,102.8108668
Klinik Dr Daris,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,2.1454724,102.7670839
Klinik Desa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,2.1579704,102.7807223
Klinik Desa Jorak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,2.129118,102.6455409
Pusat Perubatan Kajang Plaza (KPMC),Unknown,Unknown,Kajang,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,2.9956053,101.7880498
Poliklinik Az-Zahrah,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,2.9745475,101.8285914
Klinik Desa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,2.5196506,102.9542523
Klinik Ahmad Shah,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Mo-Sa,3.0374837,101.5512356
Medishop Pharmacy,Unknown,Jalan Tun Abdul Aziz,Kajang,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,2.991628,101.7910119
Klinik Baharudin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,24/7,3.0473734,101.527239
Puskesmas Ponggok,Unknown,Jendral Sudirman,Ponggok,64153,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,-8.0414251,112.1028528
Poliklinik Lourdes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,24/7,3.0643589,101.5392495
Klinik Bandaran,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,24/7,3.0641439,101.5384292
Poliklinik Lourdes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,3.0672474,101.5616976
