Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Bandos Medical Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,4.2685,73.490229
Feridhoo Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,4.0527924,72.725078
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,5.6656585,73.0302361
Emergency First Response,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,4.4369146,72.9586756
Sto Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.4381898,72.9621339
Mathiveri Health Centre,Unknown,Sosun Magu,Mathiveri,09040,Unknown,Unknown,hospital,Unknown,+9606660858,Unknown,Unknown,4.1936219,72.7468876
Tree Top Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,4.2121426,73.5389397
City Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2162258,73.5434435
Poli Clinic & Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,4.1739241,73.5086607
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,4.2625744,72.9906215
Kulhudhuffushi Regional Hospital,Unknown,Unknown,Unknown,02110,Unknown,Unknown,hospital,hospital,+960 6528864,Unknown,24/7,6.6176788,73.0690075
Asrafee chemist,Unknown,Unknown,Unknown,02110,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 09:00-00:00,6.6174865,73.0691417
Nolhivaranfaru Health post,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Su-Th 09:00-18:00,6.7020334,73.1202471
Zaas Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.9595207,73.4630091
Dhiraagu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,3.9416434,73.489988
Hulhumalé,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2158541,73.5433414
Sto,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2158407,73.5433961
STO Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,3.9022467,73.4671549
Family Care,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,4.1708825,73.5159113
Dharavandhoo Hospital,Unknown,Unknown,Dharavandhoo,06060,Unknown,Unknown,Unknown,hospital,+9606600040,Unknown,Unknown,5.1578716,73.1349001
First Aid Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,4.348396,73.6172355
Rock Spa Maldives,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,4.1253091,73.4729494
Araaby Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1233433,73.4634029
Marina Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,4.1238351,73.4634291
Advanced Medical Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,+9603007788,Unknown,Unknown,4.1726376,73.5099234
Central Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,+9603312221,Unknown,Unknown,4.1750642,73.5059555
Senahiya Military Hospital,Unknown,"Moonlight Hingun, Malé, Maldives",Unknown,Unknown,Unknown,Unknown,hospital,hospital,+9603019899,https://senahiya.business.site/,Mo-Su 06:00-06:00,4.1716899,73.516507
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,3.6079172,72.9543177
Hussan Abdul Samad memorial clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,3.6079057,72.9543957
Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,6.8433461,72.9950104
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,5.8325093,73.4787503
In-house medical clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,"Mo-Su 09:00-12:00, 14:00-18:00, 20:00-22:00",4.2864865,73.5538025
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2163886,73.5429475
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,4.2161698,73.5437166
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,4.21638,73.5429918
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2164578,73.542767
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,4.1774472,73.5128807
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,4.2163645,73.5430155
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2162424,73.5434038
Maafaru Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,5.8322301,73.4787093
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,4.1756396,73.5172892
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1714718,73.5165238
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,4.1768734,73.5133759
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,4.1773762,73.5131802
Hiraasa chemist 3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1766082,73.5150227
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,4.1768088,73.5133692
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1761234,73.5149988
My chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1750521,73.514721
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,4.2194254,73.5461254
ހުޅުމާލެ އިސްއެރި ފާމަސީ,Unknown,Rabarugas Magu,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2095994,73.5400399
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.2133608,73.5403625
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,4.1883365,73.5268796
sto Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,4.0528018,72.7248484
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,5.216251,73.1260165
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,5.2162658,73.1257392
Point Three Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1747615,73.5146533
Hiraasaa Chemist 4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1750129,73.5147109
Atolls pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1750685,73.5146484
Sosun Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1748676,73.5146801
ADK Pharmacy 1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1748311,73.51479
G.S.A. Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1748153,73.5146859
GKT Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1745803,73.5147651
Faith Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1752682,73.5151923
Health and Glow Pharmacy 3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.1749841,73.5147043
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,4.2006688,73.4132688
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Sa-We 09:00-16:00,7.0831229,72.9258539
