Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
IMSS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.6383592,-105.2318328
Farmacia Guadalajara,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,20.6048808,-105.2337109
Especialidades,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.7160526,-100.349779
Benavides,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,07:00-10:00,25.6673184,-100.3120206
Unidad Asistencial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.722861,-90.643176
Hospital de la Mujer,Unknown,Insurgentes,San Cristóbal de Las Casas,29250,Unknown,Unknown,hospital,hospital,019676783834,http://hdelamujer.salud.gob.mx,Unknown,16.7329086,-92.6368794
Farmacias del Ahorro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,16.7301592,-92.6405926
IMSS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.1048141,-110.9520542
IMSS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.1039329,-110.9534597
Hospital San Angel Inn,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.3403526,-99.199841
Servicios de Salud de Morelos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,18.9198439,-99.2371835
Santa Teresita,Unknown,Calle Acueducto Río Hondo,Cd de México,11000,Unknown,MX,hospital,Unknown,Unknown,Unknown,Unknown,19.4223048,-99.2063529
Farmacias del Ahorro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.3443713,-99.1889425
Farmapronto,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.6408435,-101.5555455
