Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Hitna pomoć,Unknown,Vaka Đurovića,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4456312,19.2626088
Dom zdravlja Konik,Unknown,Aleksandra Puškina,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.437135,19.2819026
Dom zdravlja Pobrežje,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4309282,19.2585181
Dom zdravlja Blok 5,Unknown,Trg Nikole Kovačevića,Podgorica,81000,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4462195,19.2433933
Ordinacija Laboratorija,Unknown,Jadranski put,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,https://milmedika.com,Mo-Su 08:00-20:00,42.2889516,18.8439659
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4461105,19.2435397
Dom zdravlja Cetinje,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.389641,18.9274974
AMF SHEREMET / Nr. 05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.4347732,20.3272679
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.5144385,18.6986482
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su 10:00-14:00,43.1546802,19.1208005
Tea Medica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,030317848,Unknown,Mo-Su 08:00-22:00,42.0981925,19.0960707
Gradska apoteka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.5072077,18.7744504
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.2831361,18.8657439
Herbora,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.2843927,18.8630188
Univerzitetska bolnica Foča,Unknown,Studentska,Foča,73300,Unknown,BA,hospital,Unknown,Unknown,Unknown,Unknown,43.5273085,18.7822921
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.2885641,18.8463214
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.823698,19.5201718
Kalina,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-21:00,42.823867,19.5210991
Institut Dr. Simo Milošević - II Faza,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4573163,18.5089299
"Barnatore ""REMEDIA"" Driton Berisha",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.6551749,20.2929283
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.205514,18.9424408
Vojna bolnica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4521485,18.5574348
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,43.5830227,19.5246777
Dom zdravlja Ustikolina,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,43.5819574,18.7904478
Državna,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5969549,19.9445632
Prima,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5971602,19.9432507
Dom zdravlja,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.5639161,19.8312484
Qendra e Shendetit Mental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,42.6618424,20.2742939
Qendra e Mjeksise Familjare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.6605649,20.2834918
QMF ERENIKU / nr 5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,42.3923535,20.4297363
QMF BREKOC / nr 3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.3668081,20.4172308
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.4592429,18.5159357
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.4595225,18.5167837
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4513054,18.5727494
Apoteka Veselin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.4537339,18.5313029
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4441054,19.2529493
Vali,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0751484,19.5238646
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0732734,19.5210115
Unknown,Unknown,Unknown,Shkodër,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0644616,19.5088019
Barnatore Parruca,Unknown,Unknown,Shkodër,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0647374,19.5081711
Dom zdravlja Prof. dr Savo Bumbić Gacko,Unknown,Solunskih dobrovoljaca,Gacko,Unknown,Unknown,BA,clinic,Unknown,Unknown,Unknown,Unknown,43.168869,18.5271844
Tea Medica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4549895,18.5592001
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.43352,18.6977565
Apoteka HELP,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4309274,18.6989716
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4508902,18.5477048
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4512965,18.5438036
Gradska apoteka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.3874034,18.9257469
Institut za onkologiju i radioterapiju,Unknown,Ljubljanska,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,42.4365125,19.2473278
"Farmaci ""Temali""",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0754955,19.5154284
"Apoteka ""Petanović""",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4412203,19.2513893
Porodilište Meljine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4515472,18.5550552
Asteria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,42.4431821,19.2494116
Benu Apoteka,Unknown,Moskovska,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,067202984,www.benuapoteka.me,24/7,42.4434001,19.2488327
Sv. Vraći,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4415982,19.2473095
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.457104,18.5252114
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4515391,18.536958
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.9291583,19.2192267
D.Z. Budo Tomovic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,41.9291424,19.2193098
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.8425007,20.1651568
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4515961,18.5355284
Rizvanolli,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Sa 08:00-20:00,42.3695469,20.4310036
Bima Bli,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.3697808,20.4308651
Instituti i Shëndetit Mendor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,42.3722023,20.4369482
Apoteka Čukvas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:00-21:00; Su off,42.4519062,18.5365058
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.2078912,18.9419649
Benu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.2080662,18.9421584
Emergency Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.4456953,19.2626488
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4213376,18.7698238
Holos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4353109,19.2766126
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.3695857,20.4311955
Veselinović,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,42.4573688,18.528894
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.4577917,18.5277206
Tourist ambulance,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.290003,18.8403689
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,43.5612066,19.5397285
Institut za javno zdravlje CG,Unknown,Džona Džeksona,Podgorica,81000,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,42.437775,19.247165
Unknown,Unknown,Radosava Burića,Podgorica,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.4286836,19.255001
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.435204,19.2605311
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0350744,19.7477277
Stanić,Unknown,Voja Lješnjaka,Bijelo Polje,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0358422,19.7505313
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0333342,19.7483468
Centar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0347738,19.7498567
Dom Zdravlja,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,43.0355152,19.7513144
Apoteka Lijek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0524597,19.7718382
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.4749962,20.2761967
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.7517727,18.9567629
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,41.9087573,19.4095382
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,41.9091332,19.4104719
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0665696,19.520299
Farmaci,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0666005,19.5126892
Benu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.27801,18.8377188
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,42.0746918,19.5250201
Fizioterapia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,physiotherapist,Unknown,Unknown,Unknown,42.0737183,19.523797
Obsetri-Gjinekologji,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.0749012,19.5247902
Pediatria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.0739724,19.5241977
Sëmundjet e lëkurës,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.0747676,19.5249312
Дрзавна апотека,Unknown,Svetozara Markovica,Sjenica,36310,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.27266,19.9994823
Gušmirović,Unknown,13 Jul,Bijelo Polje,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0357842,19.7514038
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.0363584,19.7475514
Spomenko Zorec,Unknown,Slobode,Bijelo Polje,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,08:00-17:00,43.033116,19.7468795
Unknown,Unknown,Slobodana Penezića,Bijelo Polje,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,43.0369489,19.7494733
Mrdak,Unknown,Industrijska bb,Bijelo Polje,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,43.0469844,19.7659237
Meditas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Fr 07:30-21:00; Sa 08:00-20:30,42.096083,19.0947622
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.045117,19.5732207
Edi Farm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,07:00-20:00,42.3902628,20.4261838
Mena-Med,Unknown,Dëshmorët e Lirisë,Gjakova,50000,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,07:00-23:00,42.369829,20.4308265
Gega Farm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Sa 08:00-21:00,42.3697441,20.4312346
Hygia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.3698875,20.4308025
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.3801813,20.4277115
Dr. Agimi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.3722318,20.4362087
QKMF Gjakovë,Unknown,Vëllezërit Frashëri,Unknown,Unknown,Unknown,Unknown,Unknown,doctor,Unknown,Unknown,Unknown,42.3799704,20.4282039
Instituti i Mjekësis së Punës,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,42.3979405,20.4194589
Diellza pharm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.3882023,20.4316469
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.6614342,19.8851005
FARMACI,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.072814,19.5150427
Farmaci,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0754438,19.5180105
Farmaci,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0758849,19.5158769
Benu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.3558256,19.358953
FARMACI,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0395465,19.495982
Farmaci,Unknown,Rruga Hoxha Tasim,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0760988,19.5029336
FARMACI ANNA,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0558237,19.5007143
Geci,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0663264,19.5151029
Avicena,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0581599,19.5042045
Unknown,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0605816,19.5112945
Unknown,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.070834,19.5074617
Zhabjaku,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.068846,19.5125402
Unknown,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0688874,19.5125945
Unknown,Unknown,Unknown,Shkodër,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0641364,19.5094028
"FARMACI ""Burrja""",Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0641551,19.5050239
Unknown,Unknown,Unknown,Shkoder,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0617007,19.513182
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0683342,19.509873
ZAMA LABORATORI KLINIK-BIOKIMIK,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,42.0681674,19.5108082
Klinikë Dentare malvina spahja,Unknown,Unknown,Shkodër,4001,Unknown,AL,dentist,dentist,Unknown,Unknown,Unknown,42.0660147,19.5117759
Klinikë Dentare naim bejko,Unknown,Unknown,Shkodër,4001,Unknown,AL,dentist,dentist,Unknown,Unknown,Unknown,42.0659753,19.5117885
Klinikë Dentare,Unknown,Unknown,Shkodër,4001,Unknown,AL,dentist,dentist,Unknown,Unknown,Unknown,42.0660946,19.5116936
FARMACI,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0763668,19.5157052
Farmabiocreme,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0652945,19.5184338
Ujka,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.064972,19.5161332
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0640078,19.5174624
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0643888,19.516986
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.8412032,19.8720631
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0661307,19.5196327
Rudina,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0693733,19.5137046
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,Unknown,Unknown,Unknown,42.0686299,19.5121136
"FARMACI ""Laçej""",Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0682455,19.5127005
Dentist Besnik Llukaçej,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,42.0745926,19.5150194
Vali,Unknown,Unknown,Shkodër,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0703282,19.5091665
Meta,Unknown,Unknown,Shkodër,4001,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0700041,19.5086235
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0649182,19.5028337
"FARMACI ""BJONI""",Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0600094,19.5039987
Farmaci Xhabijej,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.0583849,19.5025593
FARMACI,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.061636,19.5026977
Mini Market,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0592736,19.5037179
Qendër Shëndetësore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.0584206,19.5025847
Bar Kafe,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0613015,19.5054903
FARMACI,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0619509,19.5064449
FARMACI,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0591316,19.5141726
Gjonej,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0620729,19.520095
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AL,pharmacy,Unknown,Unknown,Unknown,Unknown,42.0637438,19.5183816
"Antullus, dr. Martinovič ORL ordinacija",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.0831474,19.1206295
Unknown,Unknown,E65,Unknown,85343,Unknown,Unknown,pharmacy,Unknown,+38268161218,Unknown,Mo-Sa 09:00-18:00,42.4549824,18.6552705
Kirurgu i Fëmijëve,Unknown,Ibrahim Fahmiu,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.395666,20.4265846
Xhafer Xhiha - Pulmolog,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,42.3956093,20.4266317
Apoteka AL-HANA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Sa 08:00-16:00,43.5810435,18.7911801
Ginekolog,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,42.289121,18.8439811
BENU,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.2885656,18.8439593
