Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Farmacia Hormilleja Godino,Unknown,Avenida Federico García Lorca,Benalmádena,29631,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.5923361,-4.5269924
Unknown,Unknown,Plaza de las Infantas,San Roque,11300,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.2344671,-5.3167017
Farmacia Confiança - Pharmacy,Unknown,Rua Doutor Fernão de Ornelas,Funchal,9050-449,Unknown,Unknown,pharmacy,pharmacy,(+351) 291 223 586,https://www.farmaciasegura.pt,Mo-Sa 08:00-20:00,32.6493713,-16.9065213
Farmácia Central,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,32.649153,-16.9072036
Unknown,Unknown,Calle El Pozo,Puerto De La Cruz,Unknown,Unknown,ES,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 09:00-21:00,28.4136968,-16.5555824
Farmacia Las Dehesas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.4034544,-16.5640355
Machado,Unknown,Avenida de la Familia Betancourt y Molina,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Su 08:30-22:00,28.4166636,-16.5445427
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.2957309,-16.8153401
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.4123074,-16.5531825
Consultorio Vilaflor,Unknown,Avenida Hermano Pedro,Vilaflor,38613,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Mo-Fr 08:00-15:00,28.156861,-16.637331
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,28.1282499,-16.7564728
