Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
D.G. Boswijk,Unknown,Twijnstraat,Utrecht,3511ZL,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-17:30,52.0828911,5.1235496
Residenz-Apotheke,Unknown,Homberger Straße,Moers,47441,Unknown,DE,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-19:00; Sa 08:30-14:00,51.4501521,6.6368482
Victoire,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 09:00-13:00,14:00-18:30; Sa 09:00-12:30; Su off",50.8313153,4.347231
Marturia Gezondheidsplein,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,centre,Unknown,https://www.marturia.nl/,Unknown,52.9994802,6.5513754
Forst-Apotheke,Unknown,Cranger Straße,Gelsenkirchen,45891,Unknown,DE,pharmacy,Unknown,Unknown,Unknown,"Mo-Fr 08:00-13:00,15:00-18:30; We,Sa 08:00-13:00",51.5561572,7.0960365
Panda-Apotheke,Unknown,Bismarckstraße,Unknown,45888,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Tu 08:30-18:30; Th-Fr 08:30-18:30; We 08:30-13:00; Sa 08:30-13:00,51.5221905,7.1030089
Apotheke am Hohenzollernpark,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:30; Sa 09:00-13:00,51.608779,7.193982
Sankt Paulus Apotheke,Unknown,Hohenzollernstraße,Recklinghausen,45659,Unknown,DE,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:30; We 08:00-13:00; Sa 09:00-13:00,51.6090832,7.1922091
Westend-Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,"Mo-Fr 08:00-19:00, Sa 08:30-14:00",51.4479942,6.9737052
Wickenburgapotheke,Unknown,Mülheimer Straße,Essen,45145,Unknown,DE,pharmacy,Unknown,Unknown,Unknown,Unknown,51.4439537,6.9701986
Marienapotheke,Unknown,Rurdorfer Straße,Linnich,52441,Unknown,DE,pharmacy,pharmacy,+49 2462 8033,Unknown,Unknown,50.9767335,6.2682136
ZIM Jülich,Unknown,Marktplatz,Jülich,52428,Unknown,DE,doctors,doctor,Unknown,Unknown,"Mo-Fr 08:00-10:00 open ""Akutspechstunde"" || Mo-Fr 07:30-13:00 open ""Sprechstunde"", Mo,Tu,Th 14:30-17:00 open ""Sprechstunde"" || ""Nach Vereinbarung""; Sa-Su, PH off",50.9216459,6.3580566
Rosen-Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+49 2173 62103,https://www.rosen-apotheke-baumberg.de/,"Mo-Fr 08:30-13:00,15:00-18:30; Sa 08:30-13:00",51.1224579,6.8947849
Transvaal Alphega-apotheek,Unknown,Krugerstraat,Amsterdam,1091LB,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Th 08:30-17:30; Fr 08:30-15:30,52.3535608,4.9193777
Apotheke am Wall,Unknown,Wallstraße,Ahaus,48683,Unknown,DE,pharmacy,pharmacy,+49 2561 86060,https://www.apotheke-am-wall.de/,"Mo-Fr 08:00-13:00,14:00-18:30; We 08:00-13:00; Sa 08:30-13:00",52.0749744,7.0053667
Helle Apotheke,Unknown,Priamosstraße,Bergheim,50127,Unknown,DE,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:30-18:30; Sa 08:30-13:30; PH off,50.9347666,6.6712621
Kleeblatt-Apotheke,Unknown,Wattenscheider Hellweg,Bochum,44867,Unknown,DE,pharmacy,pharmacy,+49 2327 52361,Unknown,"Mo-Fr 08:00-13:00,14:30-18:30; We 08:00-13:00,15:00-18:30; Sa 08:00-13:00",51.4607476,7.1450301
Sumatra Apotheek,Unknown,Sumatrastraat,Amsterdam,1094NJ,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:00,52.3616998,4.9360633
De Eekmaat,Unknown,Jacob Roggeveenstraat,Enschede,7534CD,Unknown,NL,pharmacy,pharmacy,Unknown,Unknown,Unknown,52.2145121,6.9710111
Elkerliek Ziekenhuis,Unknown,Wesselmanlaan,Helmond,5707HA,Unknown,Unknown,hospital,hospital,+31 492 595 555,https://www.elkerliek.nl,Unknown,51.4818128,5.6424049
Enten Apotheke,Unknown,Karmelitergasse,Wegberg,41844,Unknown,DE,pharmacy,pharmacy,+49 2434 2121,https://www.enten-apotheke.de/,"Mo-Fr 08:00-13:00,14:30-18:30; We 08:00-13:00",51.1404639,6.2776652
Post Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:30-13:00,14:30-18:30; We 08:30-13:00",51.1440672,6.2794335
Apotheke am Golfplatz,Unknown,Unknown,Duisburg,Unknown,Unknown,DE,pharmacy,pharmacy,+49 203/76 39 90,http://www.apotheke-am-golfplatz-duisburg.de/,"Mo,Tu,Th,Fr 08:30-13:00,15:00-18:30; We,Sa 08:30-13:00",51.3723923,6.7810448
Neue Apotheke,Unknown,Solinger Straße,Unknown,42799,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,51.116475,7.1106612
Soma-Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,51.1163939,7.1121888
