Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Fybeca,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-0.9439777,-80.7339239
Clínica La Merced,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,-2.1897712,-79.8822698
Farmacia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-0.9363889,-78.6160564
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-0.9338007,-78.6134118
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,-0.9379157,-78.6144607
Punto dental,Unknown,Belisario Quevedo,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,-0.9320362,-78.6165646
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-0.9313888,-78.6177738
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-13.129675,-72.5942722
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-13.129675,-72.5939117
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,-13.1287556,-72.5937057
Angel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-12.0829411,-77.0670108
Clínica San Lucas,Unknown,Jr. Alonso de Alvarado,Moyobamba,Unknown,Unknown,PE,hospital,Unknown,Unknown,Unknown,Unknown,-6.0296601,-76.9788632
Lluyllucucha,Unknown,Jirón Dos de Mayo,Unknown,Unknown,Unknown,Unknown,clinic,clinic,+51 42 562326,Unknown,Unknown,-6.027368,-76.9828624
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-6.0322568,-76.9722473
