Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,14.5220183,120.9966663
Bentaub Drugstore [small],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,14.5384325,120.9941861
Protacio Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.5241939,120.9965839
Farmacia Baclaran,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,14.5323175,120.9936415
Mercury Drug,Unknown,Senator Gil Puyat Avenue,Makati,1235,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.5562011,121.0038035
Mercury Drug,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.148774,123.7167402
Life Extension Medical Clinic and Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,Unknown,Unknown,Unknown,11.7056627,122.3667368
Ibajay District Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.8116154,122.1537662
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.9633295,121.9262176
Mercury Drug,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,14.5779169,120.9788535
Watsons,Unknown,Lopez Avenue,Los Baños,4031,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.1680371,121.2435152
Ronn Carmel Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.6579206,120.9919955
Mercury Drug,Unknown,Aurora Boulevard,Quezon City,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,14.6211192,121.0498626
Metro Drug,Unknown,Unknown,Pasig,1600,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.596071,121.080688
UST Hospital Clinical Division,Unknown,Unknown,Manila,1015,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.6122477,120.9898193
Sgm Drugstore,Unknown,Unknown,Quezon City,1100,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,14.6445715,121.0222188
Mercury Drug,Unknown,Mayon Street,Quezon City,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.6232875,120.9991911
Miraculous Medal Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,14.553641,120.992988
Mercury Drug,Unknown,Jupiter Street,Makati,1200,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,14.5623488,121.0279034
Napindan Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,health_post,yes,Unknown,Unknown,Unknown,14.5391887,121.0970519
Lady Of  Lourdes Hospital Of Kaybiga,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.719531,121.007156
Our Lady Of Mercy Hospital,Unknown,Unknown,Quezon City,1100,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.721521,121.0397952
Lizardo Childrens Clinic,Unknown,Stella Maris,Pasig,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,14.5778748,121.0825092
Valdez-Padron Clinic,Unknown,Marianito,Quezon City,1100,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,14.708323,121.039645
A. R. Bautista Children And General Hospital,Unknown,Unknown,Kalookan,1400,NCR,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.7303,121.043441
Mercury Drug,Unknown,Amorsolo Street,Makati,1200,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,14.560069,121.0148561
St. John Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.6931601,120.9656248
John-paul Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.659791,120.991958
Joson Medical Clinic,Unknown,Dr. Sixto Antonio Avenue,Pasig,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.5787595,121.081881
Mercury Drug,Unknown,Urban Avenue corner Senator Gil Puyat Avenue,Makati,1200,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,14.5606487,121.0139671
Casual General Hospital,Unknown,Quirino Highway,Quezon City,1118,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.7370013,121.070637
Watsons,Unknown,Unknown,Pasig,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.5727958,121.0639868
Mercury Drug,Unknown,E. Rodriguez Sr. Avenue,Quezon City,1100,NCR,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 07:00-23:00,14.6185863,121.0096947
Mercury Drug,Unknown,Sierra Madre Street,Mandaluyong,1550,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,14.578589,121.0512446
J. P. Sioson General Hospital And Colleges,Unknown,Unknown,Quezon City,1100,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.6599034,121.0250945
