Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Centro de Salud Familiar Dr. Julio Palmieri Ferri,Calle Morse Esqina Valentina Arroyo,Calle Samuel Morse,Arroyo,Unknown,Unknown,Unknown,clinic,clinic,+1 787 839 4150,https://csfapr.com/,Unknown,17.9688019,-66.060166
Naguabo Medical Mall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,18.2138239,-65.7409995
Clinica Dr Rovira,"Calle Luis Munos Marin 2, Carr. 103 Hormiguero",Unknown,Hormigueros,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,18.1391436,-67.1286786
San Juan Medical Imaging LLP,"Ave. De Diego , Esq. Baldorioty, Santurce San Juan",Avenida de Diego,San Juan,00907,PR,Unknown,clinic,Unknown,Unknown,https://sanjuanhealthcentre.com/,Unknown,18.4503418,-66.0658003
Centro de Salud,Unknown,Calle Dr. Santos Defendini,Adjuntas,00601,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,18.1633945,-66.7209526
Centro Ambulatorio Pavía,Munoz Rivera A-1 Caguas,Unknown,Caguas,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,18.2378653,-66.0348803
Hospital Perea,Calle Dr Basora 15 Mayaguez 00680,Calle Dr. Basora,Mayagüez,00681,Unknown,Unknown,hospital,hospital,1-787-834-0101,https://hospitalperea.com/,24/7,18.2027516,-67.1400334
Hospital San Antonio Inc,Calle Post 18 Norte Mayaguez 00681,Calle Ramón Emeterio Betances,Norte Mayagüez,00680,Unknown,Unknown,hospital,hospital,1-787-834-0050,http://www.hsaipr.com/,24/7,18.203175,-67.1409668
Clínica San Francisco de Aguada,Calle Colon 106 Aguada,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,18.3806746,-67.1841248
Professional Hospital,Pr-2 Km 49.5 Interseccion 685 Manati 00674,Unknown,Manatí,00674,Unknown,Unknown,clinic,clinic,1-787-884-0505,http://professionalhospital.org/,Unknown,18.4299585,-66.4938641
Costa Salud Community Health Centers,"Calle Munoz Rivera #28, Rincon",Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,+1-787-823-0909,Unknown,Unknown,18.3387611,-67.2517794
Farmacia Candelero,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.1138972,-65.8216634
Farmacia Caridad,Unknown,Paseo Dr. Gilberto Concepción de Gracia,San Juan,00901,PR,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.463681,-66.1134747
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.9646293,-66.0617571
MultiMed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,17.9933779,-66.6194569
Walgreens,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.3550089,-66.0024522
CDT De Quebradillas,Munoz Rivera Esq. San Justo Quebradill,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,18.4754449,-66.9376297
Clinica Expreso Auxilio Mutuo (CDT),"Carr. PR-199 Este, Km. 14.6, Ave. Las Cum San Juan",Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,"PH,Mo-Su 00:00-24:00",18.3569189,-66.0458568
Best Pharma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.392448,-67.1040138
Walgreens,Unknown,2706 AVE MARUCA,PONCE,00728,Unknown,PR,pharmacy,pharmacy,787-812-5978,Unknown,Unknown,17.9961084,-66.6356904
Walgreens Store Number 12598,Unknown,Ponce Bypass,Ponce,00716,PR,PR,pharmacy,pharmacy,787-841-7791,Unknown,Unknown,17.9951619,-66.6151464
Walgreens,Unknown,379 AVE LOS PATRIOTAS,LARES,00669,Unknown,PR,pharmacy,pharmacy,787-897-2290,Unknown,Unknown,18.2896044,-66.8888734
Walgreens,Unknown,"615 Carr 152 #11, Mercado Plaza",Naranijito,00719,Unknown,PR,pharmacy,pharmacy,787-869-0110,Unknown,Unknown,18.2722557,-66.2736454
Walgreens,Unknown,Carretera Toa Alta - Corozal,Toa Alta,00953,PR,PR,pharmacy,pharmacy,787-870-4776,Unknown,Unknown,18.3442461,-66.2777584
Walgreens Store Number 183,Unknown,4210 CARR 693,DORADO,00646,Unknown,PR,pharmacy,pharmacy,787-278-5811,Unknown,Unknown,18.4639816,-66.2735271
Walgreens,Unknown,"AVE. FD ROOSEVELT. 3ER PISO LOCAL 609, PLAZA LAS AMERICAS",SAN JUAN,00919,PR,PR,pharmacy,pharmacy,787-771-1644,Unknown,Unknown,18.4231169,-66.0746864
Walgreens,Unknown,80 CARRETERA 308,CABO ROJO,00623,Unknown,PR,pharmacy,pharmacy,787-851-3363,Unknown,Unknown,18.0801204,-67.1565168
Walgreens,Unknown,CARR. #2 KM 129.6,AGUADILLA,00603,Unknown,PR,pharmacy,pharmacy,787-882-8044,https://www.walgreens.com/,24/7,18.4090104,-67.1533029
Walgreens,Unknown,35 AVE LOS DOMINICOS,TOA BAJA,00949,Unknown,PR,pharmacy,pharmacy,787-795-2083,Unknown,Unknown,18.4380838,-66.1796552
Walgreens,Unknown,2505 CARR 841,GUAYNABO,00969,Unknown,PR,pharmacy,pharmacy,787-287-0528,Unknown,Unknown,18.375268,-66.0939998
Walgreens,Unknown,Avenida San Patricio,Guaynabo,00968,PR,PR,pharmacy,pharmacy,787-792-2144,Unknown,Unknown,18.4091973,-66.1046949
Walgreens,Unknown,Avenida José de Diego,San Juan,00921,PR,PR,pharmacy,pharmacy,787-708-6176,Unknown,Unknown,18.3925693,-66.0834584
Walgreens,Unknown,400 AVE MUNOZ RIVERA,SAN JUAN,00918,Unknown,PR,pharmacy,pharmacy,787-296-8460,Unknown,Unknown,18.420649,-66.0579316
Walgreens,Unknown,Calle San Francisco,Viejo San Juan,00901,PR,PR,pharmacy,pharmacy,787-722-6290,Unknown,Unknown,18.4655997,-66.1162421
Walgreens,Unknown,Boulevard Los Prados,CAGUAS,00727,Unknown,PR,pharmacy,pharmacy,787-744-2347,Unknown,Unknown,18.2357664,-66.057332
Walgreens,Unknown,Calle Loíza,San Juan,00911,Unknown,PR,pharmacy,pharmacy,+1-787-728-0033,Unknown,Unknown,18.451635,-66.0549794
Walgreens,Unknown,65 INFANTERIA SHOPPING CTR SUITE 101,SAN JUAN,00925,Unknown,PR,pharmacy,pharmacy,787-777-1120,Unknown,Unknown,18.3965643,-66.0403211
Walgreens,Unknown,Avenida Regimiento 65 de Infantería,San Juan,00925,PR,PR,pharmacy,pharmacy,787-767-1636,Unknown,Unknown,18.3960418,-66.0418078
Walgreens,Unknown,Boulevard de la Fuente,RIO PIEDRAS,00926,PR,PR,pharmacy,pharmacy,787-283-2555,Unknown,Unknown,18.3566264,-66.064133
Walgreens,Unknown,"CARR 1. 1000 AVE. J.T. PINERO, CAYEY SHOPPING CENTER",CAYEY,00736,Unknown,PR,pharmacy,pharmacy,787-738-2977,Unknown,Unknown,18.1086475,-66.1576859
Walgreens,Unknown,643 YAUCO PLAZA II,YAUCO,00698,Unknown,PR,pharmacy,pharmacy,787-267-5727,Unknown,Unknown,18.0264094,-66.8532305
Walgreens Store Number 15325,Unknown,NEC OF 2979 AVE EMILIO FAGOT. #1 & (TEMP RX TRAILER),PONCE,00716,Unknown,PR,pharmacy,pharmacy,787-841-2135,Unknown,Unknown,18.0181004,-66.6000379
Farmacia San José,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.4206999,-66.2394636
Emergency Care Dentist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,7877293366,Unknown,Unknown,18.4648303,-66.1170729
Walgreens,Unknown,"AVE. WINSTON CHURCHILL. ESQ. PARANA, EL SENORIAL S/C",RIO PIEDRAS,00925,Unknown,PR,pharmacy,pharmacy,787-751-7219,Unknown,Unknown,18.3709329,-66.0678175
Puerto Rico Drug,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.4655478,-66.1163993
Farmacia Luma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.4659109,-66.1149425
