Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
כפר שאול,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,31.7869237,35.1806941
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,25.5366679,34.6207788
"Saad Specialist Hospital (11,567 patient )",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.3036137,50.2004567
الصحية الجديدة,Unknown,Unknown,بيت لحم,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7112106,35.2031859
مركز الشفاء التخصصي,Unknown,شارع الرأس,بيت ساحور,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7031512,35.2141855
مركز طبي بيت ساحور,Unknown,شارع المدارس,بيت ساحور,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7053394,35.2190824
Red Crescent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6947556,35.1894332
Arab Association for Rehabilitation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7211995,35.1784158
Do'a,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.7274668,35.1357329
Battir Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7281942,35.139477
مؤسسة الضمان الصحي - بيت ساحور,Unknown,Unknown,بيت ساحور,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7014456,35.2231222
Doha treatment center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.701833,35.1779363
Dheisheh Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6951565,35.1839487
"Health Department/Invironmental Health Part "" UNRWA""",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6955132,35.1840235
"Dheisheh Health Center "" UNRWA""",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,31.6952621,35.1834438
Al-Shawawrah Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.691788,35.2646713
Za'tra Medical Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6710638,35.2605675
Military Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6624367,35.2116213
Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7042279,35.1021022
Nahaleen health center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6846882,35.1200139
Nahalin Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6834415,35.1189266
clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.6830843,35.1180266
Obaydia Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.7183313,35.2761456
Al-Khader Center for Rehabilitation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7043778,35.1612877
Haya Health center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.7158972,35.202899
Doha Purity Center of Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.695486,35.1824403
صيدلية مها,Unknown,Unknown,بيت ساحور,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.7010203,35.2237732
Massad Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.7046204,35.2150118
Al-Hekma pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.4451051,35.0923408
Al Hadetha Shyoukh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.5774149,35.1494481
Al Rahmeh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.5274423,35.1027251
Red Crescent Society,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5154879,35.0684283
Tayyba Pharrmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.5975224,35.0281666
Al-Mamon Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.4519913,35.0964957
Alesra' Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.409626,34.9749934
Ibn Haian Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,31.5322211,35.1005851
مستشفى الميزان التخصصي,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.558751,35.1034094
