Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Van Heerden,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-25.7659723,28.2981973
Bougainville Hospital,Unknown,Redelinghuys Street,Pretoria,0030,Unknown,Unknown,hospital,hospital,+27 12 377 5700,http://www.netcarehospitals.co.za/Hospital/Netcare-Bougainville-Hospital,Unknown,-25.7175315,28.1537079
Claremont Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,-33.9866104,18.4665444
Swaziland Red Cross,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,-25.9581793,31.2499653
UCT Private Academic Hospital,Unknown,Anzio Road,Cape Town,7925,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,-33.942054,18.4633143
EL Burro Taqueria Kloof Nek,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-33.9297766,18.4082394
Clicks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+27 21 7821101,Unknown,Unknown,-34.1395998,18.4302702
Kloof Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-29.7923434,30.8328981
Mays Chemist,Unknown,Main Road,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-26.1767172,28.0008288
Dis-Chem Olympus,Unknown,Haymeadow Crescent,Pretoria,0001,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 09:00-18:30; Sa 09:00-15:00; Su 09:00-14:00,-25.7960781,28.3226275
Vitacare Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-33.8741581,18.5787044
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-26.1469631,28.0121093
Link,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-26.1506444,27.9443413
Dischem,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-26.0514836,28.0928879
Groenkloof Dentist,Unknown,George Storrar Drive,Pretoria,0181,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Mo-Fr 08:00-17:00,-25.77228,28.2149499
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-25.77242,28.21527
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,-25.77239,28.21666
Clicks,Unknown,Veale Street,Pretoria,0011,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Sa-Su 09:00-18:00,-25.7728992,28.2337821
Rayton Public Clinic,Unknown,Montrose Street,Rayton,1001,Unknown,Unknown,clinic,clinic,+27 12 734 4274,Unknown,Unknown,-25.73899,28.53191
Clicks,Unknown,"Lois Avenue, Menlyn Retail Park",Pretoria,0161,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-25.78765,28.27663
Clicks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,-25.78873,28.30795
Clicks,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,-25.7443118,28.2939476
