Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Gesundheits-Center Kiene,Unknown,Römerstraße,Bad Bellingen,79415,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,47.7135183,7.5475176
Kinderklinik,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,46.9693422,7.4857403
SanitasVital Physiotherapie,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,physiotherapist,Unknown,Unknown,Unknown,47.6732275,9.0527613
Apotheke zum Rebstock,Unknown,Grundstrasse,Stäfa,8712,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://apothekezumrebstock.ch/,"Mo-Fr 08:00-12:30,13:30-18:30",47.2409751,8.7262277
Herz-Jesu-Apotheke,Unknown,Herrengasse,Feldkirch,6800,Unknown,AT,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-13:00",47.2383127,9.5974849
A.Clessin'sche Stadt-Apotheke,Unknown,Kreuzgasse,Feldkirch,6800,Unknown,AT,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",47.2376393,9.5951902
Fidelis Apotheke,Unknown,Liechtensteiner Straße,Feldkirch,6800,Unknown,AT,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:00-12:00, 14:00-18:00, Sa 08:00-12:00",47.2260358,9.582457
Krankenhaus Maria Ebene,Unknown,Maria Ebene,Frastanz,6820,Unknown,AT,hospital,hospital,+43 5522 727460,https://krankenhaus.mariaebene.at,Unknown,47.2208372,9.6041706
Amavita,Unknown,Bahnhofstrasse,Bülach,8180,Unknown,Unknown,pharmacy,pharmacy,+41 58 878 14 60,https://www.amavita.ch/de/amavita-apotheke-sonnenhof,Mo-Th 09:00-19:00; Fr 08:00-19:00; Sa 08:00-17:00,47.520987,8.540215
"Praxis für Zahnheilkunde, Dr. Christoph Klotz",Unknown,Sonnenstraße,Oberstdorf,87561,Unknown,Unknown,dentist,dentist,+49 2008 322202644,https://drklotz.com/,"Mo-Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00; PH closed",47.4075822,10.2771641
See Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,+49 7545 6736,https://www.see-apotheke-immenstaad.de/,"Mo-Fr 08:30-12:30,14:30-18:30; Sa 08:30-12:30",47.6637104,9.3642244
SunStore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.7879597,6.620956
Pharmacie des Tilleuls,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,45.9214192,6.1449752
Pharmacie du Buisson,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,45.9139575,6.1448227
Medbase Apotheke Zentrum Töss,Unknown,Zürcherstrasse,Winterthur,8406,Unknown,Unknown,pharmacy,Unknown,Unknown,https://www.topwell.ch/medbaseapothekewinterthurzentrum/,"Mo-Fr 08:00-18:30, Sa 08:00-16:00",47.4917575,8.7060655
Adler-Apotheke,Unknown,Untertor,Winterthur,8400,Unknown,CH,pharmacy,Unknown,Unknown,Unknown,Mo-Fr 07:45-20:00; Sa 07:45-18:00; Su 10:00-17:00,47.4990282,8.7242591
Schloss-Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,47.7050827,9.7472624
Farmacia Dr. Bonduri,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.8084729,9.0896917
Drogerie Abderhalden,Unknown,Hauptstrasse,Wildhaus,9658,Unknown,CH,Unknown,pharmacy,Unknown,https://www.drogerie-wildhaus.ch/,"Mo-Fr 08:00-12:00,14:00-18:30; Sa 08:00-12:00,14:00-16:00; Th off",47.2014994,9.3398705
Pharmacie de L'Aiguille du Midi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,45.9188053,6.8692696
TopPharm Apotheke Seengen,Unknown,Unterdorfstrasse,Seengen,5707,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.apotheke.ch/seengen,"Mo-Fr 07:30-12:00,13:30-18:30; Sa 07:30-16:00; Su off",47.3249611,8.2035223
Bodensee-Apotheke,Unknown,Unknown,Unknown,88046,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:00-19:00, Sa 08:30-13:30; Su,PH off",47.6589307,9.4840933
Dropa Hottingen,Unknown,Freiestrasse,Zürich,8032,Unknown,CH,pharmacy,Unknown,Unknown,https://dropa.ch/standorte/dropa-apotheke-post-hottingen,Mo-Fr 08:00-18:30; Sa 08:00-12:00,47.3697086,8.5557788
Rotpunkt Apotheke Dr. Kunz,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-19:00,47.4666519,8.2915686
Pharmacie de Paudex,Unknown,Chemin de la Charrettaz,Paudex,1094,Unknown,CH,pharmacy,pharmacy,Unknown,http://www.pharmaciedepaudex.ch,"Mo-Fr 8:30-12:15,14:00-18:30; Sa 8:30-12:30; Su off",46.5063909,6.6710627
Apotheke Husmatt,Unknown,Husmatt,Dättwil AG,5405,Unknown,Unknown,pharmacy,Unknown,+41 844 844 600,https://www.apotheke-husmatt.ch/de/,Mo-Fr 08:30-18:30; Sa 08:30-17:00; Su 10:00-17:00; PH off,47.4548561,8.2816643
Farmacia Dottor Gallinotto Marco,Unknown,Via Giuseppe Mazzini,Ispra,21027,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Sa 08:30-12:30,15:30-19:30+; Su closed; PH closed",45.8167618,8.6144588
Bahnhof-Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.apotheke-drstoffel.ch/,"Mo-Fr 08:00-12:00,13:00-18:30; Sa 08:00-12:00,13:00-17:00",47.225295,8.8160014
Fachklinik Lindenberg-Ried,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,47.5891154,9.8845632
Bellevue Apotheke,Unknown,Theaterstrasse,Zürich,8001,Unknown,CH,pharmacy,Unknown,Unknown,Unknown,24/7,47.3668025,8.5461401
Sebastian Apotheke,Unknown,Kapfstraße,Feldkirch,6800,Unknown,AT,pharmacy,pharmacy,Unknown,https://www.sebastian-apotheke.at/,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",47.2578696,9.5983908
Dropa Brunnen,Unknown,Brunnenstrasse,Uster,8610,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://dropa.ch/standorte/dropa-apotheke-brunnen,"Mo-Fr 08:00-12:00, 13:30-18:30; Sa 09:00-16:00",47.350967,8.7206281
Vallis Apotheke,Unknown,Poststraße,Oberstdorf,87561,Unknown,DE,pharmacy,pharmacy,+49 8322 940700,http://www.vallisapo.de/,Mo-Fr 08:00-19:00; Sa 08:00-13:00,47.4127724,10.2763991
Engel-Apotheke,Unknown,Nebelhornstraße,Unknown,Unknown,Unknown,DE,pharmacy,pharmacy,+49 8322 2121,https://www.engel-apotheke-oberstdorf.de/,Mo-Sa 08:00-12:30; Mo-Fr 14:00-18:00,47.4096605,10.2778956
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,47.224771,8.984745
Pharmacie du Versoix,Unknown,Rue de l'Industrie,La Chaux-de-Fonds,2300,Unknown,CH,pharmacy,pharmacy,Unknown,Unknown,Unknown,47.1057348,6.8308798
eco Pharma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,47.102792,6.83138
Balgrist Apotheke,Unknown,Forchstrasse,Zürich,8008,Unknown,CH,pharmacy,Unknown,+41 44 388 00 50,https://www.balgrist-apotheke.ch/,Mo-Fr 07:00-19:00; Sa 08:00-16:00; Su off,47.3546412,8.5753312
Hirslanden-Apotheke,Unknown,Forchstrasse,Zürich,8032,Unknown,CH,pharmacy,Unknown,Unknown,Unknown,Mo-Fr 07:45-18:30; Sa 07:45-16:00,47.3604238,8.5676494
Odeon Apotheke,Unknown,Limmatquai,Zürich,8001,Unknown,CH,pharmacy,pharmacy,Unknown,https://achillea.ch/standorte/odeon-apotheke,Mo-Su 08:00-20:00,47.3676704,8.545276
Hornstein,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,47.4929297,7.593537
Blauen Apotheke,Unknown,Therwilerstrasse,Ettingen,4107,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://achillea.ch/standorte/blauen-apotheke,Unknown,47.4848954,7.5478266
faszien.king,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,psychotherapist,Unknown,Unknown,Unknown,47.3845022,9.9013418
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,47.2398075,9.5817976
TopPharm Apotheke Siebnen,Unknown,Glarnerstrasse,Siebnen,8854,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.apotheke.ch/siebnen,Unknown,47.1745757,8.8973622
Pharmacie Fleury,Unknown,Avenue Centrale,Villars-sur-Ollon,1884,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,46.2970263,7.0550567
Bäumlihof Apotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,https://baeumlihof-apotheke.ch/,"Mo-Fr 08:00-12:15,13:30-18:30; Sa 08:00-16:00; PH closed",47.5656243,7.6189179
Pharmacie du Chéran,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,"Mo-Fr 08:30-12:15,14:30-19:00; Sa 08:30-12:30",45.8203898,6.0237197
Pharmacie de la Batelière,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,46.5160768,6.6135526
Scheffel-Apotheke,Unknown,Haselbrunnstraße,Radolfzell am Bodensee,78315,Unknown,DE,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-19:00; Sa 08:00-13:00,47.7449288,8.9637029
Sonnen-Apotheke,Unknown,Hegaustraße,Radolfzell am Bodensee,78315,Unknown,Unknown,pharmacy,pharmacy,+49 7732 971053,https://www.sonnenapotheke-radolfzell.de/,"Mo-Fr 08:30-12:30,14:30-18:15; Sa 08:30-12:30",47.7457414,8.9590859
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,47.237218,9.5820461
Schwarzbubenapotheke,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,47.4082021,7.5446125
